filename_code,division_code,display_name,country
ARGENTINA,ARG,Argentine Primera Division,Argentina
AUT,AUT,Austrian Bundesliga,Austria
BELGIUM,B1,Belgian Pro League,Belgium
BRASIL,BRA,Brazilian Serie A,Brazil
CHN,CHN,Chinese Super League,China
DEN,DEN,Danish Superliga,Denmark
E0,E0,English Premier League,England
E1,E1,English Championship,England
E2,E2,English League 1,England
E3,E3,English League 2,England
EC,EC,English National League,England
FIN,FIN,Finnish Veikkausliiga,Finland
F1,F1,French Ligue 1,France
F2,F2,French Ligue 2,France
D1,D1,German Bundesliga,Germany
D2,D2,German 2. Bundesliga,Germany
GI,G1,Greek Super League,Greece
IRL,IRL,Irish Premier Division,Ireland
I1,I1,Italian Serie A,Italy
I2,I2,Italian Serie B,Italy
JAP,JAP,Japanese J-League,Japan
MEXICO,MEX,Mexican Liga MX,Mexico
N1,N1,Dutch Eredivisie,Netherlands
NOR,NOR,Norwegian Eliteserien,Norway
POL,POL,Polish Ekstraklasa,Poland
P1,P1,Portuguese Primeira Liga,Portugal
ROM,ROM,Romanian Liga 1,Romania
RUS,RUS,Russian Premier League,Russia
SC0,SC0,Scottish Premiership,Scotland
SC1,SC1,Scottish Championship,Scotland
SC2,SC2,Scottish League 1,Scotland
SC3,SC3,Scottish League 2,Scotland
SP1,SP1,Spanish La Liga,Spain
SP2,SP2,Spanish Segunda,Spain
SWE,SWE,Swedish Allsvenskan,Sweden
SUI,SUI,Swiss Super League,Switzerland
T1,T1,Turkish Super Lig,Turkey
USA,USA,American MLS,USA
