Division,MatchDate,MatchTime,HomeTeam,AwayTeam,FTHome,FTAway,FTResult,HTHome,HTAway,HTResult,OddHome,OddDraw,OddAway,MaxHome,MaxDraw,MaxAway,OddUnder25,OddOver25,MaxUnder25,MaxOver25,HomeElo,AwayElo,elo_diff,elo_sum,elo_mismatch,elo_mismatch_flag,Form3Home,Form5Home,Form3Away,Form5Away,Form3Home_ratio,Form5Home_ratio,Form3Away_ratio,Form5Away_ratio,form_diff_3,form_diff_5,form_momentum_home,form_momentum_away,form_momentum,home_rest_days,away_rest_days,rest_diff,rest_diff_nonlinear,home_congestion_14d,away_congestion_14d,is_midweek,is_early_kickoff,is_evening_match,winter_period,season_phase,match_week,h2h_home_wins,h2h_away_wins,h2h_draws,h2h_home_goals_diff,h2h_home_venue_record,h2h_matches_count,home_team_home_ppg,home_team_goals_scored_avg,home_team_goals_conceded_avg,away_team_away_ppg,away_team_goals_scored_avg,away_team_goals_conceded_avg,venue_ppg_diff,overround,odds_disagreement,sharp_money_home,sharp_money_away,elo_vs_odds_home,home_shots_avg,home_shots_against_avg,away_shots_avg,away_shots_against_avg,shots_dominance_home,shots_dominance_away,corners_diff,discipline_diff,target_home,target_draw,target_away,target_UNDER25
ARG,2012-01-09,00:30:00,All Boys,Union de Santa Fe,3.0,1.0,H,,,,1.9,3.22,4.09,2.04,3.45,4.59,,,,,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,1,2,24,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0814,0.1222,0.0737,0.1222,0.1127,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0,0
ARG,2012-01-09,20:15:00,Newells Old Boys,Estudiantes L.P.,1.0,0.0,H,,,,2.1,3.06,3.59,2.25,3.25,4.13,,,,,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,1,2,24,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0815,0.1504,0.0714,0.1504,0.1591,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0,1
ARG,2012-01-09,23:00:00,Arsenal Sarandi,Lanus,1.0,0.0,H,,,,2.28,3.03,3.2,2.5,3.25,3.5,,,,,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,1,2,24,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0811,0.0965,0.0965,0.0937,0.1937,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0,1
ARG,2012-01-12,20:00:00,Godoy Cruz,Quilmes,0.0,0.0,D,,,,1.98,3.16,3.83,2.06,3.35,4.66,,,,,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,1,2,24,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0826,0.2167,0.0404,0.2167,0.1329,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0,1
ARG,2012-01-12,22:15:00,Colon Santa FE,Argentinos Jrs,3.0,1.0,H,,,,1.83,3.28,4.34,1.91,3.6,5.0,,,,,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,1,2,24,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0817,0.1521,0.0437,0.1521,0.0942,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0,0
ARG,2012-02-09,00:20:00,Velez Sarsfield,Belgrano,2.0,1.0,H,,,,1.75,3.33,4.76,1.9,3.68,6.04,,,,,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,1,2,28,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0818,0.2689,0.0857,0.2689,0.0712,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0,0
ARG,2012-02-09,18:10:00,Tigre,San Lorenzo,1.0,1.0,D,,,,2.29,3.07,3.16,2.52,3.35,3.45,,,,,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,1,2,28,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0789,0.1004,0.1004,0.0918,0.1946,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0,1
ARG,2012-02-09,20:15:00,Boca Juniors,Atl. Rafaela,2.0,1.0,H,,,,1.59,3.64,5.63,1.65,4.05,6.8,,,,,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,1,2,28,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0813,0.2078,0.0377,0.2078,0.0177,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0,0
ARG,2012-02-09,22:15:00,Godoy Cruz,Independiente,2.0,1.0,H,,,,2.03,3.14,3.73,2.15,3.55,4.45,,,,,1498.1,1500.0,-1.9,2998.1,0.0006,0,1,1,3,5,0.1111,0.0667,0.3333,0.3333,-2,-4,1,1,0,28,7,21,2,0,0,0,0,0,1,2,28,0,0,0,0,0.5,0,1.0,0.0,0.0,1.0,1.0,1.4,0.0,1.0792,0.193,0.0591,0.193,0.1403,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0,0
ARG,2012-02-11,21:00:00,Atl. Rafaela,Belgrano,1.0,3.0,A,,,,2.44,3.01,2.94,2.66,3.2,3.2,,,,,1491.9,1491.9,0.0,2983.9,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,2,2,0,0,1,1,0,0,0,1,2,28,0,0,0,0,0.5,0,1.5,1.3,1.1,0.0,1.0,2.0,1.5,1.0822,0.0902,0.0902,0.0884,0.2207,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1,0
