Division,MatchDate,MatchTime,HomeTeam,AwayTeam,FTHome,FTAway,FTResult,HTHome,HTAway,HTResult,OddHome,OddDraw,OddAway,MaxHome,MaxDraw,MaxAway,HomeElo,AwayElo,elo_diff,elo_sum,elo_mismatch,elo_mismatch_flag,Form3Home,Form5Home,Form3Away,Form5Away,Form3Home_ratio,Form5Home_ratio,Form3Away_ratio,Form5Away_ratio,form_diff_3,form_diff_5,form_momentum_home,form_momentum_away,form_momentum,home_rest_days,away_rest_days,rest_diff,rest_diff_nonlinear,home_congestion_14d,away_congestion_14d,is_midweek,is_early_kickoff,is_evening_match,winter_period,season_phase,match_week,h2h_home_wins,h2h_away_wins,h2h_draws,h2h_home_goals_diff,h2h_home_venue_record,h2h_matches_count,home_team_home_ppg,home_team_goals_scored_avg,home_team_goals_conceded_avg,away_team_away_ppg,away_team_goals_scored_avg,away_team_goals_conceded_avg,venue_ppg_diff,overround,odds_disagreement,sharp_money_home,sharp_money_away,elo_vs_odds_home,home_shots_avg,home_shots_against_avg,away_shots_avg,away_shots_against_avg,shots_dominance_home,shots_dominance_away,corners_diff,discipline_diff,target_home,target_draw,target_away
AUT,2012-01-09,17:30:00,Admira,Wolfsberger AC,1.0,1.0,D,,,,1.57,4.0,5.29,1.65,4.9,5.8,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,1,2,24,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.076,0.225,0.051,0.0964,0.0074,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0
AUT,2012-01-09,17:30:00,Neustadt,Austria Vienna,0.0,2.0,A,,,,4.62,3.51,1.74,5.6,4.3,1.8,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,1,2,24,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0761,0.2251,0.2121,0.0345,0.3982,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1
AUT,2012-01-09,17:30:00,Ried,Sturm Graz,0.0,1.0,A,,,,2.34,3.17,3.0,2.54,3.4,3.18,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,1,2,24,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0761,0.0855,0.0855,0.06,0.2023,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1
AUT,2012-01-09,17:30:00,Wacker Innsbruck,Salzburg,0.0,4.0,A,,,,3.7,3.35,1.96,4.5,3.57,2.06,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,1,2,24,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.079,0.2162,0.2162,0.051,0.3489,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1
AUT,2012-01-12,15:00:00,Wolfsberger AC,Wacker Innsbruck,2.0,2.0,D,,,,2.0,3.29,3.7,2.16,3.5,4.0,1501.8,1476.4,25.4,2978.3,0.0085,0,1,1,0,0,0.1111,0.0667,0.0,0.0,1,1,1,0,1,3,3,0,0,1,1,0,0,0,1,2,24,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0742,0.0811,0.08,0.0811,0.1685,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0
AUT,2012-01-12,17:30:00,Mattersburg,Admira,3.0,0.0,H,,,,3.02,3.29,2.28,3.42,3.5,2.5,1500.0,1498.2,1.8,2998.2,0.0006,0,3,5,1,1,0.3333,0.3333,0.1111,0.0667,2,4,1,1,0,7,3,4,1,0,1,0,0,0,1,2,24,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0737,0.1325,0.1325,0.0965,0.2935,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
AUT,2012-01-12,17:30:00,SK Rapid,Ried,4.0,3.0,H,,,,1.67,3.69,4.92,1.75,4.33,5.5,1500.0,1488.2,11.8,2988.2,0.004,0,3,5,0,0,0.3333,0.3333,0.0,0.0,3,5,1,0,1,7,3,4,1,0,1,0,0,0,1,2,24,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0731,0.1734,0.0479,0.1179,0.0576,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
AUT,2012-01-12,17:30:00,Sturm Graz,Neustadt,3.0,1.0,H,,,,1.49,4.18,6.11,1.58,4.8,7.6,1511.8,1483.2,28.6,2995.1,0.0095,0,3,3,0,0,0.3333,0.2,0.0,0.0,3,3,3,0,3,3,3,0,0,1,1,0,0,0,1,2,24,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.074,0.2439,0.0604,0.2439,0.0133,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
AUT,2012-02-09,15:00:00,SK Rapid,Mattersburg,3.0,0.0,H,,,,1.52,3.99,6.01,1.57,4.59,6.75,1507.9,1514.2,-6.3,3022.1,0.0021,0,3,3,3,3,0.3333,0.2,0.3333,0.2,0,0,3,3,0,28,28,0,0,0,0,0,0,0,1,2,28,0,0,0,0,0.5,0,3.0,4.0,3.0,1.0,1.0,1.4,2.0,1.0749,0.1504,0.0329,0.1231,-0.0214,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
AUT,2012-02-12,15:00:00,Salzburg,Austria Vienna,0.0,0.0,D,,,,1.99,3.38,3.61,2.04,3.69,3.88,1523.6,1516.8,6.8,3040.3,0.0022,0,3,3,3,3,0.3333,0.2,0.3333,0.2,0,0,3,3,0,30,30,0,0,0,0,0,0,0,1,2,28,0,0,0,0,0.5,0,1.5,1.3,1.1,3.0,2.0,0.0,-1.5,1.0754,0.0917,0.0251,0.0748,0.1415,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0
