Division,MatchDate,MatchTime,HomeTeam,AwayTeam,FTHome,FTAway,FTResult,HTHome,HTAway,HTResult,OddHome,OddDraw,OddAway,MaxHome,MaxDraw,MaxAway,HomeElo,AwayElo,elo_diff,elo_sum,elo_mismatch,elo_mismatch_flag,Form3Home,Form5Home,Form3Away,Form5Away,Form3Home_ratio,Form5Home_ratio,Form3Away_ratio,Form5Away_ratio,form_diff_3,form_diff_5,form_momentum_home,form_momentum_away,form_momentum,home_rest_days,away_rest_days,rest_diff,rest_diff_nonlinear,home_congestion_14d,away_congestion_14d,is_midweek,is_early_kickoff,is_evening_match,winter_period,season_phase,match_week,h2h_home_wins,h2h_away_wins,h2h_draws,h2h_home_goals_diff,h2h_home_venue_record,h2h_matches_count,home_team_home_ppg,home_team_goals_scored_avg,home_team_goals_conceded_avg,away_team_away_ppg,away_team_goals_scored_avg,away_team_goals_conceded_avg,venue_ppg_diff,overround,odds_disagreement,sharp_money_home,sharp_money_away,elo_vs_odds_home,home_shots_avg,home_shots_against_avg,away_shots_avg,away_shots_against_avg,shots_dominance_home,shots_dominance_away,corners_diff,discipline_diff,target_home,target_draw,target_away
B1,2000-08-12,,Beveren,Charleroi,1.0,2.0,A,1.0,1.0,D,2.2,3.5,2.5,,,,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.1403,0.0,0.0,0.0,0.2008,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1
B1,2000-08-12,,Mechelen,Genk,0.0,0.0,D,0.0,0.0,D,2.0,3.6,2.65,,,,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.1551,0.0,0.0,0.0,0.1665,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0
B1,2000-08-12,,Louvieroise,Lokeren,0.0,0.0,D,0.0,0.0,D,2.3,3.3,2.45,,,,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.146,0.0,0.0,0.0,0.22,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0
B1,2000-08-12,,Mouscron,Germinal,3.0,0.0,H,1.0,0.0,H,1.9,3.3,3.5,,,,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.1151,0.0,0.0,0.0,0.1274,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
B1,2000-08-12,,Westerlo,Antwerp,2.0,1.0,H,1.0,0.0,H,1.41,4.1,4.7,,,,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.1659,0.0,0.0,0.0,-0.0089,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
B1,2000-08-13,,Aalst,Lierse,1.0,3.0,A,0.0,1.0,A,2.7,3.3,2.1,,,,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.1496,0.0,0.0,0.0,0.2772,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1
B1,2000-08-13,,Club Brugge,Gent,6.0,2.0,H,3.0,0.0,H,1.8,3.4,3.5,,,,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.1354,0.0,0.0,0.0,0.1101,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
B1,2000-08-13,,Harelbeke,Standard,3.0,4.0,A,1.0,2.0,A,2.6,3.2,2.2,,,,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.1517,0.0,0.0,0.0,0.2654,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1
B1,2000-08-13,,St Truiden,Anderlecht,0.0,0.0,D,0.0,0.0,D,4.0,3.0,1.75,,,,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.1548,0.0,0.0,0.0,0.3829,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0
B1,2000-08-19,,Standard,Louvieroise,3.0,0.0,H,0.0,0.0,D,1.35,4.0,6.3,,,,1511.9,1498.2,13.7,3010.0,0.0045,0,3,3,1,1,0.3333,0.2,0.1111,0.0667,2,2,3,1,2,6,7,-1,0,1,1,0,0,0,0,1,3,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.1495,0.0,0.0,0.0,-0.0263,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
