Division,MatchDate,MatchTime,HomeTeam,AwayTeam,FTHome,FTAway,FTResult,HTHome,HTAway,HTResult,OddHome,OddDraw,OddAway,MaxHome,MaxDraw,MaxAway,HomeElo,AwayElo,elo_diff,elo_sum,elo_mismatch,elo_mismatch_flag,Form3Home,Form5Home,Form3Away,Form5Away,Form3Home_ratio,Form5Home_ratio,Form3Away_ratio,Form5Away_ratio,form_diff_3,form_diff_5,form_momentum_home,form_momentum_away,form_momentum,home_rest_days,away_rest_days,rest_diff,rest_diff_nonlinear,home_congestion_14d,away_congestion_14d,is_midweek,is_early_kickoff,is_evening_match,winter_period,season_phase,match_week,h2h_home_wins,h2h_away_wins,h2h_draws,h2h_home_goals_diff,h2h_home_venue_record,h2h_matches_count,home_team_home_ppg,home_team_goals_scored_avg,home_team_goals_conceded_avg,away_team_away_ppg,away_team_goals_scored_avg,away_team_goals_conceded_avg,venue_ppg_diff,overround,odds_disagreement,sharp_money_home,sharp_money_away,elo_vs_odds_home,home_shots_avg,home_shots_against_avg,away_shots_avg,away_shots_against_avg,shots_dominance_home,shots_dominance_away,corners_diff,discipline_diff,target_home,target_draw,target_away
BRA,2012-01-07,20:00:00,Bahia,Internacional,1.0,1.0,D,,,,2.9,3.16,2.38,3.1,3.5,2.56,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,1,2,23,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0815,0.1076,0.069,0.0756,0.2805,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0
BRA,2012-01-07,20:00:00,Coritiba,Sport Recife,2.0,3.0,A,,,,1.66,3.58,5.01,1.71,4.2,5.64,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,1,2,23,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0813,0.1732,0.0301,0.1257,0.0423,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1
BRA,2012-01-07,20:00:00,Portuguesa,Santos,0.0,0.0,D,,,,3.52,3.32,2.02,4.01,3.7,2.1,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,1,2,23,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0803,0.1392,0.1392,0.0396,0.3364,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0
BRA,2012-01-07,22:30:00,Flamengo RJ,Atletico GO,3.0,2.0,H,,,,1.59,3.71,5.44,1.76,4.5,6.0,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,1,2,23,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0823,0.2129,0.1069,0.1029,0.0183,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
BRA,2012-01-07,22:30:00,Gremio,Atletico-MG,0.0,1.0,A,,,,1.93,3.31,3.8,2.0,3.8,4.42,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,1,2,23,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0834,0.1632,0.0363,0.1632,0.1212,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1
BRA,2012-01-07,22:30:00,Palmeiras,Figueirense,3.0,1.0,H,,,,2.0,3.28,3.64,2.22,3.55,4.33,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,1,2,23,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0796,0.1896,0.11,0.1896,0.1363,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
BRA,2012-01-09,22:30:00,Figueirense,Fluminense,2.0,2.0,D,,,,3.05,3.18,2.29,3.45,3.45,2.46,1488.4,1500.0,-11.6,2988.4,0.0039,0,0,0,3,5,0.0,0.0,0.3333,0.3333,-3,-5,0,1,-1,2,7,-5,-2,1,0,0,0,0,1,2,24,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.079,0.1311,0.1311,0.0742,0.2794,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0
BRA,2012-01-09,22:30:00,Palmeiras,Gremio,0.0,0.0,D,,,,2.46,3.16,2.8,2.72,3.43,2.99,1511.6,1488.2,23.4,2999.7,0.0078,0,3,3,0,0,0.3333,0.2,0.0,0.0,3,3,3,0,3,2,2,0,0,1,1,0,0,0,1,2,24,0,0,0,0,0.5,0,3.0,3.0,1.0,1.0,1.0,1.4,2.0,1.0801,0.1057,0.1057,0.0679,0.2549,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0
BRA,2012-01-12,21:30:00,Flamengo RJ,Botafogo RJ,2.0,2.0,D,,,,2.33,3.22,2.9,2.54,3.38,3.2,1508.2,1500.0,8.2,3008.2,0.0027,0,3,3,3,5,0.3333,0.2,0.3333,0.3333,0,-2,3,1,2,5,7,-2,-1,1,0,0,0,0,1,2,24,0,0,0,0,0.5,0,3.0,3.0,2.0,1.0,1.0,1.4,2.0,1.0846,0.1034,0.0901,0.1034,0.2149,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0
BRA,2012-01-12,21:30:00,Santos,Palmeiras,3.0,1.0,H,,,,1.57,3.89,5.33,1.65,4.59,6.0,1501.8,1509.1,-7.3,3010.9,0.0024,0,1,1,4,4,0.1111,0.0667,0.4444,0.2667,-3,-3,1,4,-3,5,3,2,0,1,2,0,0,0,1,2,24,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0816,0.1799,0.051,0.1257,0.0004,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
BRA,2012-02-09,22:30:00,Ponte Preta,Atletico GO,3.0,1.0,H,,,,2.0,3.29,3.59,2.15,3.5,4.34,1500.0,1491.8,8.2,2991.8,0.0027,0,3,5,0,0,0.3333,0.3333,0.0,0.0,3,5,1,0,1,7,30,-23,-2,0,0,0,0,0,1,2,28,0,0,0,0,0.5,0,1.5,1.3,1.1,0.0,2.0,3.0,1.5,1.0825,0.2089,0.075,0.2089,0.1488,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
BRA,2012-02-09,22:30:00,Botafogo RJ,Coritiba,2.0,0.0,H,,,,1.88,3.4,3.94,1.98,3.8,4.5,1502.1,1488.2,13.9,2990.2,0.0046,0,1,1,0,0,0.1111,0.0667,0.0,0.0,1,1,1,0,1,28,30,-2,-1,0,0,0,0,0,1,2,28,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0798,0.1421,0.0532,0.1421,0.1259,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
BRA,2012-02-09,20:00:00,Sport Recife,Santos,2.0,1.0,H,,,,2.43,3.15,2.82,2.6,3.4,3.32,1511.8,1513.7,-1.8,3025.5,0.0006,0,3,3,4,4,0.3333,0.2,0.4444,0.2667,-1,-1,3,4,-1,30,28,2,0,0,0,0,0,0,1,2,28,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,0.0,0.0,0.5,1.0836,0.1773,0.07,0.1773,0.2171,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
BRA,2012-02-09,22:30:00,Cruzeiro,Nautico,3.0,0.0,H,,,,1.56,3.8,5.67,1.63,4.34,6.8,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,1,2,28,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0806,0.1993,0.0449,0.1993,0.0062,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
BRA,2012-02-09,20:00:00,Corinthians,Atletico-MG,1.0,0.0,H,,,,2.24,3.22,3.08,2.4,3.45,3.6,1500.0,1511.8,-11.8,3011.8,0.0039,0,3,5,3,3,0.3333,0.3333,0.3333,0.2,0,2,1,3,-2,7,30,-23,-2,0,0,0,0,0,1,2,28,0,0,0,0,0.5,0,1.5,1.3,1.1,3.0,1.0,0.0,-1.5,1.0817,0.1688,0.0714,0.1688,0.1702,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
BRA,2012-02-09,20:00:00,Bahia,Sao Paulo,1.0,0.0,H,,,,2.85,3.17,2.4,3.1,3.37,2.54,1498.2,1500.0,-1.8,2998.2,0.0006,0,1,1,3,5,0.1111,0.0667,0.3333,0.3333,-2,-4,1,1,0,30,7,23,2,0,0,0,0,0,1,2,28,0,0,0,0,0.5,0,1.0,1.0,1.0,1.0,1.0,1.4,0.0,1.083,0.0877,0.0877,0.0583,0.2729,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
BRA,2012-02-09,01:00:00,Vasco,Portuguesa,2.0,0.0,H,,,,1.64,3.61,5.18,1.7,4.0,6.4,1500.0,1498.2,1.8,2998.2,0.0006,0,3,5,1,1,0.3333,0.3333,0.1111,0.0667,2,4,1,1,0,7,30,-23,-2,0,0,0,0,0,1,2,28,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0798,0.2355,0.0366,0.2355,0.0372,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
BRA,2012-02-09,20:00:00,Internacional,Flamengo RJ,4.0,1.0,H,,,,1.65,3.61,5.07,1.75,4.0,6.4,1501.8,1506.1,-4.3,3008.0,0.0014,0,1,1,4,4,0.1111,0.0667,0.4444,0.2667,-3,-3,1,4,-3,30,28,2,0,0,0,0,0,0,1,2,28,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0803,0.2623,0.0606,0.2623,0.0325,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
BRA,2012-02-12,19:00:00,Sao Paulo,Corinthians,3.0,1.0,H,,,,3.07,3.23,2.23,3.4,3.5,2.38,1491.9,1508.4,-16.5,3000.3,0.0055,0,0,0,3,3,0.0,0.0,0.3333,0.2,-3,-3,0,3,-3,3,3,0,0,1,1,0,0,0,1,2,28,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0838,0.1075,0.1075,0.0673,0.2758,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
BRA,2012-02-12,19:00:00,Portuguesa,Ponte Preta,0.0,0.0,D,,,,1.77,3.37,4.56,1.85,3.6,5.4,1486.9,1511.2,-24.3,2998.1,0.0081,0,1,1,3,3,0.1111,0.0667,0.3333,0.2,-2,-2,1,3,-2,3,3,0,0,1,1,0,0,0,1,2,28,0,0,0,0,0.5,0,1.0,0.0,0.0,1.0,1.0,1.4,0.0,1.081,0.1842,0.0452,0.1842,0.0427,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0
