Division,MatchDate,MatchTime,HomeTeam,AwayTeam,FTHome,FTAway,FTResult,HTHome,HTAway,HTResult,OddHome,OddDraw,OddAway,MaxHome,MaxDraw,MaxAway,HomeElo,AwayElo,elo_diff,elo_sum,elo_mismatch,elo_mismatch_flag,Form3Home,Form5Home,Form3Away,Form5Away,Form3Home_ratio,Form5Home_ratio,Form3Away_ratio,Form5Away_ratio,form_diff_3,form_diff_5,form_momentum_home,form_momentum_away,form_momentum,home_rest_days,away_rest_days,rest_diff,rest_diff_nonlinear,home_congestion_14d,away_congestion_14d,is_midweek,is_early_kickoff,is_evening_match,winter_period,season_phase,match_week,h2h_home_wins,h2h_away_wins,h2h_draws,h2h_home_goals_diff,h2h_home_venue_record,h2h_matches_count,home_team_home_ppg,home_team_goals_scored_avg,home_team_goals_conceded_avg,away_team_away_ppg,away_team_goals_scored_avg,away_team_goals_conceded_avg,venue_ppg_diff,overround,odds_disagreement,sharp_money_home,sharp_money_away,elo_vs_odds_home,home_shots_avg,home_shots_against_avg,away_shots_avg,away_shots_against_avg,shots_dominance_home,shots_dominance_away,corners_diff,discipline_diff,target_home,target_draw,target_away
CHN,2014-02-08,12:30:00,Shandong Luneng,Tianjin Jinmen Tiger,2.0,2.0,D,,,,2.03,3.2,3.48,2.3,3.3,4.04,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,1,2,28,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0925,0.1609,0.133,0.1609,0.1485,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0
CHN,2014-02-08,12:45:00,Shanghai Shenhua,Beijing Guoan,0.0,3.0,A,,,,3.46,3.34,1.99,4.13,3.6,2.15,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,1,2,28,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0909,0.1936,0.1936,0.0804,0.3345,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1
CHN,2014-02-11,07:35:00,Beijing Guoan,Henan Songshan Longmen,0.0,0.0,D,,,,1.3,4.98,8.13,1.38,6.3,10.97,1520.5,1500.0,20.5,3020.5,0.0068,0,3,3,3,5,0.3333,0.2,0.3333,0.3333,0,-2,3,1,2,3,7,-4,-2,1,0,1,0,0,1,2,28,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.093,0.3493,0.0615,0.3493,-0.0764,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0
CHN,2014-02-11,07:35:00,Beijing Renhe,Zhejiang Yiteng,3.0,2.0,H,,,,1.2,5.93,11.19,1.25,8.0,15.0,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,1,0,0,1,2,28,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0913,0.3491,0.0417,0.3405,-0.1642,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
CHN,2014-02-11,07:35:00,Hangzhou Greentown,Changchun Yatai,1.0,1.0,D,,,,3.46,2.54,2.6,4.55,3.0,3.25,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,1,0,0,1,2,28,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0673,0.315,0.315,0.25,0.3286,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0
CHN,2014-02-11,07:35:00,Jiangsu Suning,Guangzhou R&F,1.0,3.0,A,,,,2.79,3.34,2.29,3.2,3.66,2.53,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,1,0,0,1,2,28,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0945,0.147,0.147,0.1048,0.2719,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1
CHN,2014-02-11,07:35:00,Liaoning,Shanghai Shenhua,1.0,1.0,D,,,,3.19,3.36,2.08,3.65,3.6,2.3,1500.0,1479.5,20.5,2979.5,0.0069,0,3,5,0,0,0.3333,0.3333,0.0,0.0,3,5,1,0,1,7,3,4,1,0,1,1,0,0,1,2,28,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0919,0.1442,0.1442,0.1058,0.3403,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0
CHN,2014-02-11,07:35:00,Shandong Luneng,Guangzhou Evergrande,1.0,1.0,D,,,,4.88,3.73,1.61,5.84,4.2,1.66,1498.2,1500.0,-1.8,2998.2,0.0006,0,1,1,3,5,0.1111,0.0667,0.3333,0.3333,-2,-4,1,1,0,3,7,-4,-2,1,0,1,0,0,1,2,28,0,0,0,0,0.5,0,1.0,2.0,2.0,1.0,1.0,1.4,0.0,1.0941,0.1967,0.1967,0.0311,0.4095,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0
CHN,2014-02-11,07:35:00,Shanghai Shenxin,Dalian Yifang F.C.,1.0,1.0,D,,,,2.66,3.17,2.47,2.9,3.38,2.66,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,1,0,0,1,2,28,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0963,0.0902,0.0902,0.0769,0.2565,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0
CHN,2014-02-11,07:35:00,Tianjin Jinmen Tiger,Shanghai SIPG,3.0,3.0,D,,,,2.37,3.33,2.69,2.56,3.71,2.94,1501.8,1500.0,1.8,3001.8,0.0006,0,1,1,3,5,0.1111,0.0667,0.3333,0.3333,-2,-4,1,1,0,3,7,-4,-2,1,0,1,0,0,1,2,28,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.094,0.1141,0.0802,0.0929,0.2163,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0
