Division,MatchDate,MatchTime,HomeTeam,AwayTeam,FTHome,FTAway,FTResult,HTHome,HTAway,HTResult,OddHome,OddDraw,OddAway,MaxHome,MaxDraw,MaxAway,HomeElo,AwayElo,elo_diff,elo_sum,elo_mismatch,elo_mismatch_flag,Form3Home,Form5Home,Form3Away,Form5Away,Form3Home_ratio,Form5Home_ratio,Form3Away_ratio,Form5Away_ratio,form_diff_3,form_diff_5,form_momentum_home,form_momentum_away,form_momentum,home_rest_days,away_rest_days,rest_diff,rest_diff_nonlinear,home_congestion_14d,away_congestion_14d,is_midweek,is_early_kickoff,is_evening_match,winter_period,season_phase,match_week,h2h_home_wins,h2h_away_wins,h2h_draws,h2h_home_goals_diff,h2h_home_venue_record,h2h_matches_count,home_team_home_ppg,home_team_goals_scored_avg,home_team_goals_conceded_avg,away_team_away_ppg,away_team_goals_scored_avg,away_team_goals_conceded_avg,venue_ppg_diff,overround,odds_disagreement,sharp_money_home,sharp_money_away,elo_vs_odds_home,home_shots_avg,home_shots_against_avg,away_shots_avg,away_shots_against_avg,shots_dominance_home,shots_dominance_away,corners_diff,discipline_diff,target_home,target_draw,target_away
D2,2000-08-11,,Hannover,Nurnberg,1.0,1.0,D,0.0,0.0,D,2.4,3.0,2.6,,,,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.1346,0.0,0.0,0.0,0.2322,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0
D2,2000-08-11,,Stuttgarter K,Oberhausen,1.0,0.0,H,1.0,0.0,H,1.8,3.1,3.8,,,,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.1413,0.0,0.0,0.0,0.1126,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
D2,2000-08-12,,Ahlen,St Pauli,3.0,6.0,A,2.0,2.0,D,,,,,,,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.06,0.0,0.0,0.0,0.0,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1
D2,2000-08-12,,MGladbach,Saarbrucken,0.0,0.0,D,0.0,0.0,D,1.4,3.7,6.5,,,,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.1384,0.0,0.0,0.0,-0.028,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0
D2,2000-08-13,,Bielefeld,Osnabruck,3.0,1.0,H,1.0,1.0,D,1.55,3.7,4.5,,,,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.1377,0.0,0.0,0.0,0.0323,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
D2,2000-08-13,,Greuther Furth,Chemnitz,4.0,1.0,H,1.0,0.0,H,2.0,2.9,3.1,,,,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.1674,0.0,0.0,0.0,0.1711,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
D2,2000-08-13,,Mannheim,Aachen,3.0,0.0,H,1.0,0.0,H,1.85,3.1,3.6,,,,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.1409,0.0,0.0,0.0,0.1256,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
D2,2000-08-13,,Reutlingen,Mainz,3.0,2.0,H,1.0,1.0,D,2.3,3.2,2.55,,,,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.1394,0.0,0.0,0.0,0.2178,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
D2,2000-08-14,,Duisburg,Ulm,1.0,2.0,A,0.0,1.0,A,2.0,3.0,3.4,,,,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.1275,0.0,0.0,0.0,0.1559,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1
D2,2000-08-18,,Chemnitz,Hannover,0.0,2.0,A,0.0,0.0,D,2.05,3.05,3.0,,,,1485.9,1498.2,-12.3,2984.0,0.0041,0,0,0,1,1,0.0,0.0,0.1111,0.0667,-1,-1,0,1,-1,5,7,-2,-1,1,1,0,0,0,0,1,3,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.149,0.0,0.0,0.0,0.1578,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1
