Division,MatchDate,MatchTime,HomeTeam,AwayTeam,FTHome,FTAway,FTResult,HTHome,HTAway,HTResult,OddHome,OddDraw,OddAway,MaxHome,MaxDraw,MaxAway,HomeElo,AwayElo,elo_diff,elo_sum,elo_mismatch,elo_mismatch_flag,Form3Home,Form5Home,Form3Away,Form5Away,Form3Home_ratio,Form5Home_ratio,Form3Away_ratio,Form5Away_ratio,form_diff_3,form_diff_5,form_momentum_home,form_momentum_away,form_momentum,home_rest_days,away_rest_days,rest_diff,rest_diff_nonlinear,home_congestion_14d,away_congestion_14d,is_midweek,is_early_kickoff,is_evening_match,winter_period,season_phase,match_week,h2h_home_wins,h2h_away_wins,h2h_draws,h2h_home_goals_diff,h2h_home_venue_record,h2h_matches_count,home_team_home_ppg,home_team_goals_scored_avg,home_team_goals_conceded_avg,away_team_away_ppg,away_team_goals_scored_avg,away_team_goals_conceded_avg,venue_ppg_diff,overround,odds_disagreement,sharp_money_home,sharp_money_away,elo_vs_odds_home,home_shots_avg,home_shots_against_avg,away_shots_avg,away_shots_against_avg,shots_dominance_home,shots_dominance_away,corners_diff,discipline_diff,target_home,target_draw,target_away
DEN,2012-01-09,16:00:00,Silkeborg,Aarhus,0.0,4.0,A,,,,2.51,3.31,2.68,2.67,3.64,2.85,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,1,2,24,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0737,0.0997,0.0637,0.0634,0.2283,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1
DEN,2012-01-10,18:00:00,Midtjylland,Sonderjyske,1.0,3.0,A,,,,1.92,3.48,3.83,2.04,3.75,4.33,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,1,0,0,1,2,24,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0693,0.1305,0.0625,0.1305,0.1123,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1
DEN,2012-01-12,16:00:00,Odense,Esbjerg,3.0,0.0,H,,,,2.23,3.27,3.14,2.42,3.5,3.5,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,1,2,24,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0727,0.1146,0.0852,0.1146,0.1814,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
DEN,2012-02-09,12:00:00,Randers FC,Horsens,0.0,1.0,A,,,,2.43,3.34,2.77,2.62,3.63,2.95,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,1,2,28,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0719,0.0868,0.0782,0.065,0.2155,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1
DEN,2012-02-09,14:00:00,Midtjylland,Esbjerg,1.0,0.0,H,,,,1.94,3.47,3.74,2.06,3.81,4.0,1483.3,1485.7,-2.4,2969.0,0.0008,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,30,28,2,0,0,0,0,0,0,1,2,28,0,0,0,0,0.5,0,0.0,1.0,3.0,0.0,0.0,3.0,0.0,1.071,0.098,0.0619,0.0695,0.1148,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
DEN,2012-02-09,16:00:00,Nordsjaelland,Brondby,0.0,0.0,D,,,,1.54,3.89,6.06,1.58,4.5,6.88,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,1,2,28,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0714,0.1568,0.026,0.1353,-0.0067,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0
DEN,2012-02-09,18:00:00,Odense,FC Copenhagen,2.0,2.0,D,,,,3.73,3.48,1.95,4.38,3.88,2.0,1514.3,1500.0,14.3,3014.3,0.0047,0,3,3,3,5,0.3333,0.2,0.3333,0.3333,0,-2,3,1,2,28,7,21,2,0,0,0,0,0,1,2,28,0,0,0,0,0.5,0,3.0,3.0,0.0,1.0,1.0,1.4,2.0,1.0683,0.1743,0.1743,0.0256,0.368,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0
DEN,2012-02-11,17:30:00,Esbjerg,Silkeborg,1.0,0.0,H,,,,2.13,3.39,3.27,2.2,3.63,3.6,1477.4,1476.3,1.1,2953.7,0.0004,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,2,30,-28,-2,1,0,0,0,0,1,2,28,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0703,0.1009,0.0329,0.1009,0.1623,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
DEN,2012-02-12,18:00:00,Nordsjaelland,Brondby,3.0,0.0,H,,,,2.01,3.36,3.55,2.2,3.6,3.8,1498.2,1501.8,-3.6,3000.0,0.0012,0,1,1,1,1,0.1111,0.0667,0.1111,0.0667,0,0,1,1,0,3,3,0,0,1,1,0,0,0,1,2,28,0,0,1,0,0.0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0768,0.0945,0.0945,0.0704,0.1324,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
DEN,2012-02-12,16:00:00,FC Copenhagen,Randers FC,2.0,0.0,H,,,,1.41,4.32,7.69,1.47,4.8,9.0,1502.2,1488.2,14.0,2990.4,0.0047,0,1,1,0,0,0.1111,0.0667,0.0,0.0,1,1,1,0,1,3,3,0,0,1,1,0,0,0,1,2,28,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0707,0.1704,0.0426,0.1704,-0.0438,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
