Division,MatchDate,MatchTime,HomeTeam,AwayTeam,FTHome,FTAway,FTResult,HTHome,HTAway,HTResult,OddHome,OddDraw,OddAway,MaxHome,MaxDraw,MaxAway,HomeElo,AwayElo,elo_diff,elo_sum,elo_mismatch,elo_mismatch_flag,Form3Home,Form5Home,Form3Away,Form5Away,Form3Home_ratio,Form5Home_ratio,Form3Away_ratio,Form5Away_ratio,form_diff_3,form_diff_5,form_momentum_home,form_momentum_away,form_momentum,home_rest_days,away_rest_days,rest_diff,rest_diff_nonlinear,home_congestion_14d,away_congestion_14d,is_midweek,is_early_kickoff,is_evening_match,winter_period,season_phase,match_week,h2h_home_wins,h2h_away_wins,h2h_draws,h2h_home_goals_diff,h2h_home_venue_record,h2h_matches_count,home_team_home_ppg,home_team_goals_scored_avg,home_team_goals_conceded_avg,away_team_away_ppg,away_team_goals_scored_avg,away_team_goals_conceded_avg,venue_ppg_diff,overround,odds_disagreement,sharp_money_home,sharp_money_away,elo_vs_odds_home,home_shots_avg,home_shots_against_avg,away_shots_avg,away_shots_against_avg,shots_dominance_home,shots_dominance_away,corners_diff,discipline_diff,target_home,target_draw,target_away
EC,2011-08-12,,Forest Green,Stockport,1.0,1.0,D,1.0,0.0,H,2.38,3.3,2.9,2.41,3.62,3.0,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.068,0.097,0.0126,0.0345,0.206,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0
EC,2011-08-13,,Wrexham,Cambridge,1.0,1.0,D,1.0,0.0,H,2.1,3.4,3.4,2.2,3.49,3.85,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0644,0.1324,0.0476,0.1324,0.152,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0
EC,2011-08-13,,Southport,Lincoln,2.0,2.0,D,1.0,1.0,D,3.0,3.4,2.3,3.2,3.61,2.48,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0622,0.0783,0.0667,0.0783,0.2856,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0
EC,2011-08-13,,Kidderminster,Gateshead,2.0,3.0,A,2.0,2.0,D,1.83,3.6,4.2,1.91,3.79,4.4,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0623,0.0528,0.0437,0.0476,0.085,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1
EC,2011-08-13,,Kettering Town,Newport County,3.0,2.0,H,0.0,1.0,A,2.88,3.4,2.38,3.0,3.5,2.47,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0615,0.0417,0.0417,0.0378,0.2723,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
EC,2011-08-13,,Mansfield,Bath City,1.0,1.0,D,1.0,1.0,D,1.75,3.75,4.5,1.8,4.0,5.0,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0603,0.1111,0.0286,0.1111,0.0605,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0
EC,2011-08-13,,Grimsby,Fleetwood Town,0.0,2.0,A,0.0,0.0,D,2.5,3.3,2.75,2.63,3.44,2.8,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0667,0.052,0.052,0.0182,0.2244,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1
EC,2011-08-13,,Ebbsfleet,York,1.0,2.0,A,0.0,0.0,D,3.5,3.3,2.1,3.62,3.46,2.22,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0649,0.0571,0.0343,0.0571,0.3311,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1
EC,2011-08-13,,Darlington,Braintree Town,1.0,0.0,H,0.0,0.0,D,1.53,4.0,6.0,1.56,4.24,7.0,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0703,0.1667,0.0196,0.1667,-0.0113,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
EC,2011-08-13,,Barrow,Tamworth,1.0,1.0,D,0.0,1.0,A,2.1,3.4,3.4,2.17,3.58,3.8,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0644,0.1176,0.0333,0.1176,0.152,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0
