Division,MatchDate,MatchTime,HomeTeam,AwayTeam,FTHome,FTAway,FTResult,HTHome,HTAway,HTResult,OddHome,OddDraw,OddAway,MaxHome,MaxDraw,MaxAway,HomeElo,AwayElo,elo_diff,elo_sum,elo_mismatch,elo_mismatch_flag,Form3Home,Form5Home,Form3Away,Form5Away,Form3Home_ratio,Form5Home_ratio,Form3Away_ratio,Form5Away_ratio,form_diff_3,form_diff_5,form_momentum_home,form_momentum_away,form_momentum,home_rest_days,away_rest_days,rest_diff,rest_diff_nonlinear,home_congestion_14d,away_congestion_14d,is_midweek,is_early_kickoff,is_evening_match,winter_period,season_phase,match_week,h2h_home_wins,h2h_away_wins,h2h_draws,h2h_home_goals_diff,h2h_home_venue_record,h2h_matches_count,home_team_home_ppg,home_team_goals_scored_avg,home_team_goals_conceded_avg,away_team_away_ppg,away_team_goals_scored_avg,away_team_goals_conceded_avg,venue_ppg_diff,overround,odds_disagreement,sharp_money_home,sharp_money_away,elo_vs_odds_home,home_shots_avg,home_shots_against_avg,away_shots_avg,away_shots_against_avg,shots_dominance_home,shots_dominance_away,corners_diff,discipline_diff,target_home,target_draw,target_away
F1,2000-07-28,,Marseille,Troyes,3.0,1.0,H,2.0,1.0,H,1.65,3.3,4.3,,,,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,0,3,46,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.1416,0.0,0.0,0.0,0.0685,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
F1,2000-07-28,,Paris SG,Strasbourg,3.0,1.0,H,1.0,1.0,D,1.6,3.4,4.6,,,,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,0,3,46,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.1365,0.0,0.0,0.0,0.0495,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
F1,2000-07-29,,Auxerre,Sedan,0.0,1.0,A,0.0,1.0,A,1.7,3.3,3.9,,,,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,0,3,46,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.1477,0.0,0.0,0.0,0.0869,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1
F1,2000-07-29,,Bordeaux,Metz,1.0,1.0,D,1.0,0.0,H,1.65,3.3,4.3,,,,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,0,3,46,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.1416,0.0,0.0,0.0,0.0685,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0
F1,2000-07-29,,Guingamp,St Etienne,2.0,2.0,D,2.0,1.0,H,2.25,3.0,2.75,,,,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,0,3,46,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.1414,0.0,0.0,0.0,0.21,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0
F1,2000-07-29,,Lille,Monaco,1.0,1.0,D,0.0,1.0,A,2.75,3.0,2.25,,,,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,0,3,46,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.1414,0.0,0.0,0.0,0.2808,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0
F1,2000-07-29,,Lyon,Rennes,2.0,2.0,D,0.0,2.0,A,1.6,3.4,4.6,,,,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,0,3,46,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.1365,0.0,0.0,0.0,0.0495,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0
F1,2000-07-29,,Nantes,Lens,0.0,2.0,A,0.0,0.0,D,2.15,3.0,3.0,,,,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,0,3,46,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.1318,0.0,0.0,0.0,0.1884,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1
F1,2000-07-29,,Toulouse,Bastia,0.0,1.0,A,0.0,0.0,D,2.0,3.0,3.5,,,,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,0,3,46,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.119,0.0,0.0,0.0,0.1526,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1
F1,2000-08-03,,Sedan,Lyon,1.0,1.0,D,0.0,0.0,D,2.1,3.1,3.2,,,,1511.9,1498.1,13.8,3010.0,0.0046,0,3,3,1,1,0.3333,0.2,0.1111,0.0667,2,2,3,1,2,5,5,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.1113,0.0,0.0,0.0,0.1897,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0
F1,2000-08-04,,Monaco,Nantes,2.0,5.0,A,1.0,4.0,A,1.4,4.0,6.0,,,,1501.9,1483.2,18.6,2985.1,0.0062,0,1,1,0,0,0.1111,0.0667,0.0,0.0,1,1,1,0,1,6,6,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.131,0.0,0.0,0.0,-0.0067,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1
F1,2000-08-04,,St Etienne,Marseille,3.0,0.0,H,1.0,0.0,H,2.35,3.0,2.75,,,,1501.9,1511.5,-9.7,3013.4,0.0032,0,1,1,3,3,0.1111,0.0667,0.3333,0.2,-2,-2,1,3,-2,6,7,-1,0,1,1,0,0,0,0,1,1,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.1225,0.0,0.0,0.0,0.2069,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
F1,2000-08-05,,Troyes,Toulouse,1.0,1.0,D,1.0,1.0,D,2.15,3.2,2.9,,,,1488.5,1488.2,0.3,2976.7,0.0001,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,8,7,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.1224,0.0,0.0,0.0,0.1854,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0
F1,2000-08-05,,Strasbourg,Lille,0.0,4.0,A,0.0,1.0,A,1.7,3.1,4.4,,,,1488.5,1498.1,-9.6,2986.6,0.0032,0,0,0,1,1,0.0,0.0,0.1111,0.0667,-1,-1,0,1,-1,8,7,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.1381,0.0,0.0,0.0,0.0692,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1
