Division,MatchDate,MatchTime,HomeTeam,AwayTeam,FTHome,FTAway,FTResult,HTHome,HTAway,HTResult,OddHome,OddDraw,OddAway,MaxHome,MaxDraw,MaxAway,HomeElo,AwayElo,elo_diff,elo_sum,elo_mismatch,elo_mismatch_flag,Form3Home,Form5Home,Form3Away,Form5Away,Form3Home_ratio,Form5Home_ratio,Form3Away_ratio,Form5Away_ratio,form_diff_3,form_diff_5,form_momentum_home,form_momentum_away,form_momentum,home_rest_days,away_rest_days,rest_diff,rest_diff_nonlinear,home_congestion_14d,away_congestion_14d,is_midweek,is_early_kickoff,is_evening_match,winter_period,season_phase,match_week,h2h_home_wins,h2h_away_wins,h2h_draws,h2h_home_goals_diff,h2h_home_venue_record,h2h_matches_count,home_team_home_ppg,home_team_goals_scored_avg,home_team_goals_conceded_avg,away_team_away_ppg,away_team_goals_scored_avg,away_team_goals_conceded_avg,venue_ppg_diff,overround,odds_disagreement,sharp_money_home,sharp_money_away,elo_vs_odds_home,home_shots_avg,home_shots_against_avg,away_shots_avg,away_shots_against_avg,shots_dominance_home,shots_dominance_away,corners_diff,discipline_diff,target_home,target_draw,target_away
FIN,2012-01-10,16:30:00,Haka,HJK,2.0,2.0,D,,,,6.81,4.34,1.43,9.1,4.8,1.5,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,1,0,0,1,2,24,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0766,0.3363,0.3363,0.049,0.463,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0
FIN,2012-01-10,16:30:00,JJK Jyvaskyla,Mariehamn,3.0,2.0,H,,,,2.46,3.39,2.65,2.72,3.66,2.89,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,1,0,0,1,2,24,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0788,0.1057,0.1057,0.0906,0.2226,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
FIN,2012-01-10,16:30:00,Lahti,TPS,1.0,0.0,H,,,,3.41,3.46,2.02,3.9,3.78,2.1,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,1,0,0,1,2,24,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0773,0.1437,0.1437,0.0396,0.3272,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
FIN,2012-01-10,16:30:00,VPS,Jaro,2.0,1.0,H,,,,2.2,3.24,3.17,2.35,3.5,3.45,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,1,0,0,1,2,24,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0786,0.0883,0.0682,0.0883,0.178,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
FIN,2012-02-05,16:30:00,Jaro,Inter Turku,0.0,1.0,A,,,,4.02,3.52,1.84,4.41,3.84,1.9,1491.9,1500.0,-8.1,2991.9,0.0027,0,0,0,3,5,0.0,0.0,0.3333,0.3333,-3,-5,0,1,-1,26,7,19,2,0,0,0,0,0,1,2,27,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0763,0.097,0.097,0.0326,0.357,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1
FIN,2012-02-05,16:30:00,KuPS,HJK,0.0,3.0,A,,,,4.01,3.52,1.82,4.76,3.89,1.91,1500.0,1501.8,-1.8,3001.8,0.0006,0,3,5,1,1,0.3333,0.3333,0.1111,0.0667,2,4,1,1,0,7,26,-19,-2,0,0,0,0,0,1,2,27,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,2.0,2.0,0.5,1.0829,0.187,0.187,0.0495,0.3666,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1
FIN,2012-02-07,16:30:00,Haka,TPS,1.0,0.0,H,,,,3.0,3.33,2.25,3.3,3.6,2.36,1498.2,1491.9,6.3,2990.0,0.0021,0,1,1,0,0,0.1111,0.0667,0.0,0.0,1,1,1,0,1,28,28,0,0,0,0,1,0,0,1,2,28,0,0,0,0,0.5,0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0781,0.1,0.1,0.0489,0.2989,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
FIN,2012-02-07,16:30:00,HJK,MyPa,1.0,1.0,D,,,,1.31,4.82,9.47,1.34,5.68,11.08,1522.3,1500.0,22.3,3022.3,0.0074,0,4,4,3,5,0.4444,0.2667,0.3333,0.3333,1,-1,4,1,3,2,7,-5,-2,1,0,1,0,0,1,2,28,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0764,0.1784,0.0229,0.17,-0.0793,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0
FIN,2012-02-07,16:30:00,KuPS,Jaro,1.0,0.0,H,,,,1.87,3.49,3.92,1.94,3.82,4.17,1479.5,1480.2,-0.7,2959.7,0.0002,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,2,2,0,0,1,1,1,0,0,1,2,28,0,0,0,0,0.5,0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,1.0764,0.0946,0.0374,0.0638,0.1016,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
FIN,2012-02-07,16:30:00,Lahti,Inter Turku,4.0,3.0,H,,,,3.64,3.46,1.95,3.87,3.68,2.02,1508.1,1511.7,-3.5,3019.8,0.0012,0,3,3,3,3,0.3333,0.2,0.3333,0.2,0,0,3,3,0,28,2,26,2,0,1,1,0,0,1,2,28,0,0,0,0,0.5,0,3.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0766,0.0636,0.0632,0.0359,0.3393,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
