Division,MatchDate,MatchTime,HomeTeam,AwayTeam,FTHome,FTAway,FTResult,HTHome,HTAway,HTResult,OddHome,OddDraw,OddAway,MaxHome,MaxDraw,MaxAway,OddUnder25,OddOver25,MaxUnder25,MaxOver25,HomeElo,AwayElo,elo_diff,elo_sum,elo_mismatch,elo_mismatch_flag,Form3Home,Form5Home,Form3Away,Form5Away,Form3Home_ratio,Form5Home_ratio,Form3Away_ratio,Form5Away_ratio,form_diff_3,form_diff_5,form_momentum_home,form_momentum_away,form_momentum,home_rest_days,away_rest_days,rest_diff,rest_diff_nonlinear,home_congestion_14d,away_congestion_14d,is_midweek,is_early_kickoff,is_evening_match,winter_period,season_phase,match_week,h2h_home_wins,h2h_away_wins,h2h_draws,h2h_home_goals_diff,h2h_home_venue_record,h2h_matches_count,home_team_home_ppg,home_team_goals_scored_avg,home_team_goals_conceded_avg,away_team_away_ppg,away_team_goals_scored_avg,away_team_goals_conceded_avg,venue_ppg_diff,overround,odds_disagreement,sharp_money_home,sharp_money_away,elo_vs_odds_home,home_shots_avg,home_shots_against_avg,away_shots_avg,away_shots_against_avg,shots_dominance_home,shots_dominance_away,corners_diff,discipline_diff,target_home,target_draw,target_away,target_UNDER25
G1,2005-08-27,,Kallithea,Egaleo,1.0,1.0,D,0.0,1.0,A,2.37,3.0,2.75,2.5,3.2,2.9,1.6,2.2,1.6,2.2,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.1189,0.0667,0.0549,0.0545,0.2223,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0,1
G1,2005-08-27,,Xanthi,PAOK,1.0,0.0,H,1.0,0.0,H,2.37,3.0,2.75,2.45,3.3,2.9,1.95,1.95,1.95,1.95,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.1189,0.1,0.0338,0.0545,0.2223,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0,1
G1,2005-08-28,,Akratitos,Iraklis,3.0,1.0,H,1.0,0.0,H,2.75,3.0,2.37,3.1,3.2,2.45,1.65,2.06,1.7,2.1,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.1189,0.1273,0.1273,0.0338,0.2744,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0,0
G1,2005-08-28,,Kalamaria,OFI,2.0,1.0,H,1.0,1.0,D,2.6,3.0,2.5,2.75,3.2,2.6,1.69,2.0,1.75,2.0,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.1179,0.0667,0.0577,0.04,0.2554,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0,0
G1,2005-08-28,,Panathinaikos,Olympiakos,0.0,2.0,A,0.0,1.0,A,2.37,3.0,2.75,2.5,3.1,3.0,1.7,2.01,1.75,2.05,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.1189,0.0909,0.0549,0.0909,0.2223,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1,1
G1,2005-08-28,,Panionios,Larisa,1.0,1.0,D,0.0,0.0,D,2.0,3.2,3.2,2.15,3.2,3.6,1.63,2.08,1.65,2.15,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.125,0.125,0.075,0.125,0.155,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0,1
G1,2005-08-29,,Atromitos,AEK,0.0,0.0,D,0.0,0.0,D,4.2,3.25,1.72,5.25,3.5,1.7,1.7,1.99,1.75,2.08,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.1272,0.25,0.25,0.0,0.3882,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0,1
G1,2005-09-04,,Levadeiakos,Ionikos,1.0,1.0,D,0.0,1.0,A,2.1,3.2,3.0,2.25,3.25,3.5,1.64,2.03,1.7,2.25,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.122,0.1667,0.0714,0.1667,0.175,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0,1
G1,2005-09-10,,Olympiakos,Panionios,5.0,0.0,H,1.0,0.0,H,1.16,5.5,11.0,1.17,6.5,16.0,2.27,1.54,2.45,1.7,1516.8,1498.1,18.7,3015.0,0.0062,0,3,3,1,1,0.3333,0.2,0.1111,0.0667,2,2,3,1,2,13,13,0,0,1,1,0,0,0,0,1,6,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.1348,0.4545,0.0086,0.4545,-0.1347,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0,0
G1,2005-09-10,,PAOK,Atromitos,2.0,2.0,D,2.0,0.0,H,1.44,3.75,6.0,1.45,4.0,8.0,1.79,1.96,1.9,2.16,1491.8,1498.1,-6.3,2990.0,0.0021,0,0,0,1,1,0.0,0.0,0.1111,0.0667,-1,-1,0,1,-1,14,12,2,0,1,1,0,0,0,0,1,6,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.1278,0.3333,0.0069,0.3333,-0.0251,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0,0
