Division,MatchDate,MatchTime,HomeTeam,AwayTeam,FTHome,FTAway,FTResult,HTHome,HTAway,HTResult,OddHome,OddDraw,OddAway,MaxHome,MaxDraw,MaxAway,OddUnder25,OddOver25,MaxUnder25,MaxOver25,HomeElo,AwayElo,elo_diff,elo_sum,elo_mismatch,elo_mismatch_flag,Form3Home,Form5Home,Form3Away,Form5Away,Form3Home_ratio,Form5Home_ratio,Form3Away_ratio,Form5Away_ratio,form_diff_3,form_diff_5,form_momentum_home,form_momentum_away,form_momentum,home_rest_days,away_rest_days,rest_diff,rest_diff_nonlinear,home_congestion_14d,away_congestion_14d,is_midweek,is_early_kickoff,is_evening_match,winter_period,season_phase,match_week,h2h_home_wins,h2h_away_wins,h2h_draws,h2h_home_goals_diff,h2h_home_venue_record,h2h_matches_count,home_team_home_ppg,home_team_goals_scored_avg,home_team_goals_conceded_avg,away_team_away_ppg,away_team_goals_scored_avg,away_team_goals_conceded_avg,venue_ppg_diff,overround,odds_disagreement,sharp_money_home,sharp_money_away,elo_vs_odds_home,home_shots_avg,home_shots_against_avg,away_shots_avg,away_shots_against_avg,shots_dominance_home,shots_dominance_away,corners_diff,discipline_diff,target_home,target_draw,target_away,target_UNDER25
I1,2000-09-30,,Bari,Verona,1.0,1.0,D,0.0,0.0,D,1.9,2.9,3.7,,,,,,,,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.1414,0.0,0.0,0.0,0.1383,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0,1
I1,2000-09-30,,Napoli,Juventus,1.0,2.0,A,1.0,0.0,H,3.4,2.9,1.95,,,,,,,,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.1518,0.0,0.0,0.0,0.344,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1,0
I1,2000-10-01,,Atalanta,Lazio,2.0,2.0,D,1.0,1.0,D,,,,,,,,,,,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.06,0.0,0.0,0.0,0.0,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0,0
I1,2000-10-01,,Milan,Vicenza,2.0,0.0,H,1.0,0.0,H,1.2,5.0,10.0,,,,,,,,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.1333,0.0,0.0,0.0,-0.1359,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0,1
I1,2000-10-01,,Parma,Fiorentina,2.0,2.0,D,1.0,0.0,H,1.7,3.1,4.6,,,,,,,,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.1282,0.0,0.0,0.0,0.078,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0,0
I1,2000-10-01,,Perugia,Lecce,1.0,1.0,D,0.0,1.0,A,1.85,3.05,3.8,,,,,,,,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.1316,0.0,0.0,0.0,0.1217,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0,1
I1,2000-10-01,,Reggina,Inter,2.0,1.0,H,1.0,1.0,D,3.8,2.9,1.9,,,,,,,,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.1343,0.0,0.0,0.0,0.3674,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0,0
I1,2000-10-01,,Roma,Bologna,2.0,0.0,H,1.0,0.0,H,1.43,3.3,6.5,,,,,,,,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.1562,0.0,0.0,0.0,-0.0054,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0,1
I1,2000-10-01,,Udinese,Brescia,4.0,2.0,H,1.0,0.0,H,1.57,3.3,5.2,,,,,,,,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.1323,0.0,0.0,0.0,0.0369,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0,0
I1,2000-10-14,,Inter,Napoli,3.0,1.0,H,3.0,0.0,H,1.25,4.55,8.5,,,,,,,,1491.8,1488.2,3.7,2980.0,0.0012,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,13,14,-1,0,1,1,0,0,0,0,1,11,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.1374,0.0,0.0,0.0,-0.0989,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0,0
