Division,MatchDate,MatchTime,HomeTeam,AwayTeam,FTHome,FTAway,FTResult,HTHome,HTAway,HTResult,OddHome,OddDraw,OddAway,MaxHome,MaxDraw,MaxAway,HomeElo,AwayElo,elo_diff,elo_sum,elo_mismatch,elo_mismatch_flag,Form3Home,Form5Home,Form3Away,Form5Away,Form3Home_ratio,Form5Home_ratio,Form3Away_ratio,Form5Away_ratio,form_diff_3,form_diff_5,form_momentum_home,form_momentum_away,form_momentum,home_rest_days,away_rest_days,rest_diff,rest_diff_nonlinear,home_congestion_14d,away_congestion_14d,is_midweek,is_early_kickoff,is_evening_match,winter_period,season_phase,match_week,h2h_home_wins,h2h_away_wins,h2h_draws,h2h_home_goals_diff,h2h_home_venue_record,h2h_matches_count,home_team_home_ppg,home_team_goals_scored_avg,home_team_goals_conceded_avg,away_team_away_ppg,away_team_goals_scored_avg,away_team_goals_conceded_avg,venue_ppg_diff,overround,odds_disagreement,sharp_money_home,sharp_money_away,elo_vs_odds_home,home_shots_avg,home_shots_against_avg,away_shots_avg,away_shots_against_avg,shots_dominance_home,shots_dominance_away,corners_diff,discipline_diff,target_home,target_draw,target_away
MEX,2012-01-09,01:30:00,Club Tijuana,Chiapas,2.0,0.0,H,,,,1.87,3.35,4.01,2.02,3.7,5.5,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,1,2,24,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0826,0.3716,0.0802,0.3716,0.1055,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
MEX,2012-01-09,03:30:00,Monarcas,U.N.A.M.- Pumas,0.0,1.0,A,,,,1.94,3.34,3.71,2.04,3.7,5.2,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,1,2,24,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0844,0.4016,0.0515,0.4016,0.1241,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1
MEX,2012-01-09,23:00:00,Cruz Azul,Pachuca,1.0,1.0,D,,,,1.83,3.44,4.03,1.9,3.7,4.7,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,1,2,24,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0853,0.1663,0.0383,0.1663,0.0959,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0
MEX,2012-01-09,23:00:00,Queretaro,Atlante,0.0,1.0,A,,,,3.28,3.29,2.1,3.58,3.62,2.2,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,1,2,24,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.085,0.1003,0.0915,0.0476,0.3184,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1
MEX,2012-01-10,00:00:00,Atlante,Santos Laguna,1.0,3.0,A,,,,2.5,3.22,2.67,2.77,3.7,2.8,1511.8,1500.0,11.8,3011.8,0.0039,0,3,3,3,5,0.3333,0.2,0.3333,0.3333,0,-2,3,1,2,1,7,-6,-2,1,0,1,0,0,1,2,24,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0851,0.1491,0.108,0.0487,0.247,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1
MEX,2012-02-09,01:00:00,Monterrey,Atlas,1.0,1.0,D,,,,1.56,3.78,5.62,1.63,4.32,6.4,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,1,2,28,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0835,0.1429,0.0449,0.1388,0.0078,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0
MEX,2012-02-09,01:00:00,Santos Laguna,U.A.N.L.- Tigres,3.0,1.0,H,,,,2.57,3.17,2.64,2.94,3.36,2.9,1517.2,1500.0,17.2,3017.2,0.0057,0,3,3,3,5,0.3333,0.2,0.3333,0.3333,0,-2,3,1,2,30,7,23,2,0,0,0,0,0,1,2,28,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0834,0.144,0.144,0.0985,0.2637,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
MEX,2012-02-09,03:00:00,Atl. San Luis,Club Leon,0.0,2.0,A,,,,3.06,3.27,2.21,3.4,3.74,2.35,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,1,2,28,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0851,0.1437,0.1111,0.0633,0.2982,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1
MEX,2012-02-09,18:00:00,Toluca,Club America,1.0,1.0,D,,,,2.34,3.22,2.88,2.52,3.55,3.2,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,1,2,28,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0851,0.1111,0.0769,0.1111,0.2056,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0
MEX,2012-02-09,23:00:00,Guadalajara Chivas,Puebla,1.0,1.0,D,,,,1.82,3.37,4.18,1.9,3.73,5.0,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,1,2,28,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0854,0.1962,0.044,0.1962,0.0932,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0
