Division,MatchDate,MatchTime,HomeTeam,AwayTeam,FTHome,FTAway,FTResult,HTHome,HTAway,HTResult,OddHome,OddDraw,OddAway,MaxHome,MaxDraw,MaxAway,OddUnder25,OddOver25,MaxUnder25,MaxOver25,HomeElo,AwayElo,elo_diff,elo_sum,elo_mismatch,elo_mismatch_flag,Form3Home,Form5Home,Form3Away,Form5Away,Form3Home_ratio,Form5Home_ratio,Form3Away_ratio,Form5Away_ratio,form_diff_3,form_diff_5,form_momentum_home,form_momentum_away,form_momentum,home_rest_days,away_rest_days,rest_diff,rest_diff_nonlinear,home_congestion_14d,away_congestion_14d,is_midweek,is_early_kickoff,is_evening_match,winter_period,season_phase,match_week,h2h_home_wins,h2h_away_wins,h2h_draws,h2h_home_goals_diff,h2h_home_venue_record,h2h_matches_count,home_team_home_ppg,home_team_goals_scored_avg,home_team_goals_conceded_avg,away_team_away_ppg,away_team_goals_scored_avg,away_team_goals_conceded_avg,venue_ppg_diff,overround,odds_disagreement,sharp_money_home,sharp_money_away,elo_vs_odds_home,home_shots_avg,home_shots_against_avg,away_shots_avg,away_shots_against_avg,shots_dominance_home,shots_dominance_away,corners_diff,discipline_diff,target_home,target_draw,target_away,target_UNDER25
N1,2000-08-18,,Sparta,Roda JC,2.0,2.0,D,1.0,1.0,D,2.35,3.2,2.55,,,,,,,,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.1302,0.0,0.0,0.0,0.2229,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0,0
N1,2000-08-19,,Graafschap,PSV Eindhoven,2.0,0.0,H,0.0,0.0,D,5.0,3.5,1.5,,,,,,,,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.1524,0.0,0.0,0.0,0.4258,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0,1
N1,2000-08-19,,Feyenoord,AZ Alkmaar,2.0,0.0,H,1.0,0.0,H,1.33,4.35,5.6,,,,,,,,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.1603,0.0,0.0,0.0,-0.0486,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0,1
N1,2000-08-19,,NAC Breda,Waalwijk,0.0,1.0,A,0.0,0.0,D,2.2,3.3,2.6,,,,,,,,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.1422,0.0,0.0,0.0,0.2014,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1,1
N1,2000-08-20,,Groningen,Willem II,1.0,1.0,D,0.0,0.0,D,2.3,3.3,2.6,,,,,,,,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.1224,0.0,0.0,0.0,0.212,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0,1
N1,2000-08-20,,Roosendaal,Nijmegen,2.0,3.0,A,1.0,2.0,A,2.2,3.45,2.6,,,,,,,,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.129,0.0,0.0,0.0,0.1968,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1,0
N1,2000-08-20,,Utrecht,Heerenveen,2.0,0.0,H,1.0,0.0,H,2.5,3.3,2.35,,,,,,,,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.1286,0.0,0.0,0.0,0.245,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0,1
N1,2000-08-20,,Vitesse,Twente,3.0,1.0,H,1.0,1.0,D,1.7,3.15,4.55,,,,,,,,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.1255,0.0,0.0,0.0,0.0767,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0,0
N1,2000-08-22,,Ajax,For Sittard,5.0,0.0,H,1.0,0.0,H,1.25,4.05,7.0,,,,,,,,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,1,0,0,0,1,4,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.1898,0.0,0.0,0.0,-0.073,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0,0
N1,2000-08-23,,Groningen,Nijmegen,4.0,4.0,D,2.0,2.0,D,1.9,3.2,3.5,,,,,,,,1498.1,1511.9,-13.7,3010.0,0.0046,0,1,1,3,3,0.1111,0.0667,0.3333,0.2,-2,-2,1,3,-2,3,3,0,0,1,1,1,0,0,0,1,4,0,0,0,0,0.5,0,1.0,1.0,1.0,3.0,3.0,2.0,-2.0,1.1245,0.0,0.0,0.0,0.1122,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0,0
N1,2000-08-26,,Willem II,Waalwijk,2.0,0.0,H,0.0,0.0,D,1.75,3.6,3.65,,,,,,,,1501.9,1511.9,-10.0,3013.8,0.0033,0,1,1,3,3,0.1111,0.0667,0.3333,0.2,-2,-2,1,3,-2,6,7,-1,0,1,1,0,0,0,0,1,4,0,0,0,0,0.5,0,1.5,1.3,1.1,3.0,1.0,0.0,-1.5,1.1232,0.0,0.0,0.0,0.0767,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0,1
N1,2000-08-26,,For Sittard,Heerenveen,0.0,2.0,A,0.0,1.0,A,3.0,3.3,2.05,,,,,,,,1481.9,1488.5,-6.6,2970.3,0.0022,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,4,6,-2,-1,1,1,0,0,0,0,1,4,0,0,0,0,0.5,0,1.5,1.3,1.1,0.0,0.0,2.0,1.5,1.1242,0.0,0.0,0.0,0.2937,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1,1
N1,2000-08-26,,NAC Breda,Groningen,5.0,1.0,H,1.0,1.0,D,2.0,3.3,3.0,,,,,,,,1488.1,1496.6,-8.5,2984.7,0.0028,0,0,0,2,2,0.0,0.0,0.2222,0.1333,-2,-2,0,2,-2,7,3,4,1,1,2,0,0,0,0,1,4,0,0,0,0,0.5,0,0.0,0.0,1.0,1.0,1.0,1.4,-1.0,1.1364,0.0,0.0,0.0,0.1476,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0,0
N1,2000-08-26,,AZ Alkmaar,Roosendaal,3.0,0.0,H,1.0,0.0,H,1.43,3.8,5.2,,,,,,,,1488.5,1488.1,0.4,2976.6,0.0001,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,7,6,1,0,1,1,0,0,0,0,1,4,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.1548,0.0,0.0,0.0,-0.0057,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0,0
N1,2000-08-26,,Graafschap,Roda JC,1.0,3.0,A,0.0,2.0,A,2.5,3.4,2.3,,,,,,,,1511.5,1501.8,9.7,3013.4,0.0032,0,3,3,1,1,0.3333,0.2,0.1111,0.0667,2,2,3,1,2,7,8,-1,0,1,1,0,0,0,0,1,4,0,0,0,0,0.5,0,3.0,2.0,0.0,1.0,2.0,2.0,2.0,1.1289,0.0,0.0,0.0,0.2584,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1,0
N1,2000-08-27,,Nijmegen,Vitesse,4.0,1.0,H,2.0,0.0,H,3.0,3.0,2.1,,,,,,,,1513.4,1511.5,1.9,3024.9,0.0006,0,4,4,3,3,0.4444,0.2667,0.3333,0.2,1,1,4,3,1,4,7,-3,-1,2,1,0,0,0,0,1,4,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.1429,0.0,0.0,0.0,0.3104,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0,0
N1,2000-08-27,,Sparta,Ajax,3.0,0.0,H,0.0,0.0,D,3.8,3.5,1.7,,,,,,,,1498.2,1518.1,-20.0,3016.3,0.0066,0,1,1,3,3,0.1111,0.0667,0.3333,0.2,-2,-2,1,3,-2,9,5,4,1,1,1,0,0,0,0,1,4,0,0,0,0,0.5,0,1.0,2.0,2.0,1.0,1.0,1.4,0.0,1.1371,0.0,0.0,0.0,0.3401,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0,0
N1,2000-08-27,,Twente,Feyenoord,1.0,2.0,A,1.0,1.0,D,2.45,3.05,2.5,,,,,,,,1488.5,1511.5,-23.0,3000.0,0.0077,0,0,0,3,3,0.0,0.0,0.3333,0.2,-3,-3,0,3,-3,7,8,-1,0,1,1,0,0,0,0,1,4,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.136,0.0,0.0,0.0,0.2079,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1,0
N1,2000-08-27,,Utrecht,PSV Eindhoven,1.0,3.0,A,1.0,0.0,H,3.65,3.3,1.8,,,,,,,,1511.5,1488.5,23.1,3000.0,0.0077,0,3,3,0,0,0.3333,0.2,0.0,0.0,3,3,3,0,3,7,8,-1,0,1,1,0,0,0,0,1,4,0,0,0,0,0.5,0,3.0,2.0,0.0,0.0,0.0,2.0,3.0,1.1326,0.0,0.0,0.0,0.3889,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1,0
N1,2000-09-03,,Waalwijk,Roosendaal,2.0,1.0,H,1.0,0.0,H,1.45,3.65,5.6,,,,,,,,1500.1,1474.2,25.9,2974.3,0.0087,0,3,3,0,0,0.3333,0.2,0.0,0.0,3,3,3,0,3,8,8,0,0,1,2,0,0,0,0,1,5,0,0,0,0,0.5,0,1.5,1.3,1.1,0.0,0.0,3.0,1.5,1.1422,0.0,0.0,0.0,0.0308,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0,0
N1,2000-09-05,,PSV Eindhoven,Willem II,2.0,2.0,D,1.0,0.0,H,1.33,3.9,7.2,,,,,,,,1506.3,1513.7,-7.4,3020.0,0.0024,0,3,3,4,4,0.3333,0.2,0.4444,0.2667,-1,-1,3,4,-1,9,10,-1,0,1,1,1,0,0,0,1,6,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.0,0.5,1.1472,0.0,0.0,0.0,-0.0663,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0,0
N1,2000-09-06,,Twente,Heerenveen,2.0,2.0,D,1.0,0.0,H,2.15,3.2,2.65,,,,,,,,1477.1,1505.1,-28.0,2982.2,0.0094,0,0,0,3,3,0.0,0.0,0.3333,0.2,-3,-3,0,3,-3,10,11,-1,0,1,1,1,0,0,0,1,6,0,0,0,0,0.5,0,0.0,1.0,2.0,1.5,1.0,1.0,-1.5,1.155,0.0,0.0,0.0,0.1575,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0,0
N1,2000-09-06,,Ajax,Nijmegen,0.0,0.0,D,0.0,0.0,D,1.25,4.4,7.0,,,,,,,,1503.3,1527.3,-24.0,3030.5,0.0079,0,3,3,7,7,0.3333,0.2,0.7778,0.4667,-4,-4,3,7,-4,10,10,0,0,1,2,1,0,0,0,1,6,0,0,0,0,0.5,0,3.0,5.0,0.0,2.0,3.5,3.0,1.0,1.1701,0.0,0.0,0.0,-0.1179,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0,1
N1,2000-09-06,,Groningen,Graafschap,1.0,0.0,H,0.0,0.0,D,2.2,3.3,2.7,,,,,,,,1479.9,1494.2,-14.3,2974.2,0.0048,0,2,2,3,3,0.2222,0.1333,0.3333,0.2,-1,-1,2,3,-1,11,11,0,0,2,1,1,0,0,0,1,6,0,0,0,0,0.5,0,1.0,2.5,2.5,1.0,1.0,1.4,0.0,1.1279,0.0,0.0,0.0,0.1765,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0,1
N1,2000-09-06,,NAC Breda,Roda JC,1.0,1.0,D,1.0,0.0,H,2.35,3.2,2.55,,,,,,,,1504.8,1519.2,-14.4,3023.9,0.0048,0,3,3,4,4,0.3333,0.2,0.4444,0.2667,-1,-1,3,4,-1,11,11,0,0,1,1,1,0,0,0,1,6,0,0,0,0,0.5,0,1.5,2.5,1.0,2.0,2.5,1.5,-0.5,1.1302,0.0,0.0,0.0,0.2028,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0,1
