Division,MatchDate,MatchTime,HomeTeam,AwayTeam,FTHome,FTAway,FTResult,HTHome,HTAway,HTResult,OddHome,OddDraw,OddAway,MaxHome,MaxDraw,MaxAway,HomeElo,AwayElo,elo_diff,elo_sum,elo_mismatch,elo_mismatch_flag,Form3Home,Form5Home,Form3Away,Form5Away,Form3Home_ratio,Form5Home_ratio,Form3Away_ratio,Form5Away_ratio,form_diff_3,form_diff_5,form_momentum_home,form_momentum_away,form_momentum,home_rest_days,away_rest_days,rest_diff,rest_diff_nonlinear,home_congestion_14d,away_congestion_14d,is_midweek,is_early_kickoff,is_evening_match,winter_period,season_phase,match_week,h2h_home_wins,h2h_away_wins,h2h_draws,h2h_home_goals_diff,h2h_home_venue_record,h2h_matches_count,home_team_home_ppg,home_team_goals_scored_avg,home_team_goals_conceded_avg,away_team_away_ppg,away_team_goals_scored_avg,away_team_goals_conceded_avg,venue_ppg_diff,overround,odds_disagreement,sharp_money_home,sharp_money_away,elo_vs_odds_home,home_shots_avg,home_shots_against_avg,away_shots_avg,away_shots_against_avg,shots_dominance_home,shots_dominance_away,corners_diff,discipline_diff,target_home,target_draw,target_away
NOR,2012-01-04,17:00:00,Fredrikstad,Stabaek,5.0,1.0,H,,,,1.92,3.45,3.67,2.0,3.81,4.15,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,1,0,0,1,2,23,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0832,0.1308,0.0417,0.1308,0.1186,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
NOR,2012-01-04,17:00:00,Haugesund,Molde,2.0,0.0,H,,,,2.21,3.36,3.02,2.4,3.64,3.21,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,1,0,0,1,2,23,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0812,0.086,0.086,0.0629,0.1809,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
NOR,2012-01-04,17:00:00,Sogndal,Honefoss,0.0,0.0,D,,,,1.95,3.37,3.67,2.04,3.6,4.2,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,1,0,0,1,2,23,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.082,0.1444,0.0462,0.1444,0.1255,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0
NOR,2012-01-04,17:00:00,Viking,Odd,1.0,0.0,H,,,,1.76,3.56,4.29,1.85,3.88,5.25,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,1,0,0,1,2,23,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0822,0.2238,0.0511,0.2238,0.0744,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
NOR,2012-01-04,19:00:00,Lillestrom,Rosenborg,2.0,2.0,D,,,,3.16,3.36,2.14,3.43,3.6,2.33,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,1,0,0,1,2,23,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0814,0.0888,0.0854,0.0888,0.3068,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0
NOR,2012-01-09,17:00:00,Lillestrom,Fredrikstad,1.0,2.0,A,,,,1.68,3.81,4.72,1.78,4.2,5.4,1498.1,1516.3,-18.2,3014.4,0.006,0,1,1,3,3,0.1111,0.0667,0.3333,0.2,-2,-2,1,3,-2,5,5,0,0,1,1,0,0,0,1,2,24,0,0,0,0,0.5,0,1.0,2.0,2.0,1.0,1.0,1.4,0.0,1.0696,0.1441,0.0595,0.1441,0.0174,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1
NOR,2012-01-10,18:00:00,Fredrikstad,Valerenga,1.0,2.0,A,,,,2.13,3.42,3.2,2.29,3.68,3.53,1527.7,1500.0,27.7,3027.7,0.0092,0,6,6,3,5,0.6667,0.4,0.3333,0.3333,3,1,6,1,5,1,7,-6,-2,2,0,1,0,0,1,2,24,0,0,0,0,0.5,0,3.0,5.0,1.0,1.0,1.0,1.4,2.0,1.0744,0.1031,0.0751,0.1031,0.2,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1
NOR,2012-02-04,18:00:00,Aalesund,Tromso,0.0,0.0,D,,,,2.15,3.27,3.22,2.29,3.52,3.6,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,1,2,27,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0815,0.118,0.0651,0.118,0.1693,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0
NOR,2012-02-07,18:00:00,Valerenga,Aalesund,0.0,0.0,D,,,,2.09,3.37,3.34,2.24,3.64,3.7,1512.6,1498.1,14.5,3010.8,0.0048,0,3,3,1,1,0.3333,0.2,0.1111,0.0667,2,2,3,1,2,28,3,25,2,0,1,1,0,0,1,2,28,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0746,0.1078,0.0718,0.1078,0.174,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0
NOR,2012-02-09,18:00:00,Brann,Molde,4.0,1.0,H,,,,2.89,3.44,2.29,3.26,3.74,2.4,1500.0,1488.5,11.5,2988.5,0.0038,0,3,5,0,0,0.3333,0.3333,0.0,0.0,3,5,1,0,1,7,30,-23,-2,0,0,0,0,0,1,2,28,0,0,0,0,0.5,0,1.5,1.3,1.1,0.0,0.0,2.0,1.5,1.0734,0.128,0.128,0.048,0.2928,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
