Division,MatchDate,MatchTime,HomeTeam,AwayTeam,FTHome,FTAway,FTResult,HTHome,HTAway,HTResult,OddHome,OddDraw,OddAway,MaxHome,MaxDraw,MaxAway,OddUnder25,OddOver25,MaxUnder25,MaxOver25,HomeElo,AwayElo,elo_diff,elo_sum,elo_mismatch,elo_mismatch_flag,Form3Home,Form5Home,Form3Away,Form5Away,Form3Home_ratio,Form5Home_ratio,Form3Away_ratio,Form5Away_ratio,form_diff_3,form_diff_5,form_momentum_home,form_momentum_away,form_momentum,home_rest_days,away_rest_days,rest_diff,rest_diff_nonlinear,home_congestion_14d,away_congestion_14d,is_midweek,is_early_kickoff,is_evening_match,winter_period,season_phase,match_week,h2h_home_wins,h2h_away_wins,h2h_draws,h2h_home_goals_diff,h2h_home_venue_record,h2h_matches_count,home_team_home_ppg,home_team_goals_scored_avg,home_team_goals_conceded_avg,away_team_away_ppg,away_team_goals_scored_avg,away_team_goals_conceded_avg,venue_ppg_diff,overround,odds_disagreement,sharp_money_home,sharp_money_away,elo_vs_odds_home,home_shots_avg,home_shots_against_avg,away_shots_avg,away_shots_against_avg,shots_dominance_home,shots_dominance_away,corners_diff,discipline_diff,target_home,target_draw,target_away,target_UNDER25
P1,2000-08-18,,Beira Mar,Boavista,2.0,4.0,A,0.0,1.0,A,2.65,3.15,2.2,,,,,,,,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.1494,0.0,0.0,0.0,0.2711,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1,0
P1,2000-08-19,,Porto,Benfica,2.0,0.0,H,2.0,0.0,H,1.66,3.6,4.1,,,,,,,,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.1241,0.0,0.0,0.0,0.0635,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0,1
P1,2000-08-19,,Sp Braga,Guimaraes,1.0,0.0,H,0.0,0.0,D,2.15,3.4,2.7,,,,,,,,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.1296,0.0,0.0,0.0,0.1876,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0,1
P1,2000-08-20,,Alverca,Maritimo,0.0,0.0,D,0.0,0.0,D,2.0,3.0,3.4,,,,,,,,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.1275,0.0,0.0,0.0,0.1559,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0,1
P1,2000-08-20,,Aves,Belenenses,0.0,1.0,A,0.0,1.0,A,2.0,3.15,3.2,,,,,,,,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.13,0.0,0.0,0.0,0.1569,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1,1
P1,2000-08-20,,Gil Vicente,Campomaiorense,1.0,1.0,D,0.0,1.0,A,1.4,3.65,5.6,,,,,,,,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.1668,0.0,0.0,0.0,-0.0128,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0,1
P1,2000-08-20,,Salgueiros,Pacos Ferreira,1.0,0.0,H,1.0,0.0,H,1.9,3.2,3.3,,,,,,,,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.1418,0.0,0.0,0.0,0.1385,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0,1
P1,2000-08-20,,Sp Lisbon,Farense,1.0,0.0,H,0.0,0.0,D,1.25,4.65,9.5,,,,,,,,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.1203,0.0,0.0,0.0,-0.1147,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0,1
P1,2000-08-20,,Leiria,Est Amadora,2.0,0.0,H,1.0,0.0,H,2.05,3.15,2.85,,,,,,,,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.1561,0.0,0.0,0.0,0.1775,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0,1
P1,2000-08-25,,Est Amadora,Sp Braga,0.0,1.0,A,0.0,0.0,D,1.9,3.05,3.6,,,,,,,,1488.5,1508.2,-19.7,2996.6,0.0066,0,0,0,3,3,0.0,0.0,0.3333,0.2,-3,-3,0,3,-3,5,6,-1,0,1,1,0,0,0,0,1,4,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.132,0.0,0.0,0.0,0.107,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1,1
P1,2000-08-26,,Guimaraes,Sp Lisbon,1.0,4.0,A,0.0,3.0,A,3.55,3.15,1.8,,,,,,,,1491.8,1508.2,-16.3,3000.0,0.0054,0,0,0,3,3,0.0,0.0,0.3333,0.2,-3,-3,0,3,-3,7,6,1,0,1,1,0,0,0,0,1,4,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.1547,0.0,0.0,0.0,0.3327,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1,0
P1,2000-08-26,,Campomaiorense,Salgueiros,2.0,3.0,A,0.0,3.0,A,2.05,3.15,2.9,,,,,,,,1501.8,1508.2,-6.3,3010.0,0.0021,0,1,1,3,3,0.1111,0.0667,0.3333,0.2,-2,-2,1,3,-2,6,6,0,0,1,1,0,0,0,0,1,4,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.1501,0.0,0.0,0.0,0.1664,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1,0
P1,2000-08-27,,Belenenses,Porto,2.0,0.0,H,1.0,0.0,H,4.4,3.05,1.66,,,,,,,,1511.9,1511.6,0.3,3023.4,0.0001,0,3,3,3,3,0.3333,0.2,0.3333,0.2,0,0,3,3,0,7,8,-1,0,1,1,0,0,0,0,1,4,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.1576,0.0,0.0,0.0,0.4034,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0,1
