Division,MatchDate,MatchTime,HomeTeam,AwayTeam,FTHome,FTAway,FTResult,HTHome,HTAway,HTResult,OddHome,OddDraw,OddAway,MaxHome,MaxDraw,MaxAway,HomeElo,AwayElo,elo_diff,elo_sum,elo_mismatch,elo_mismatch_flag,Form3Home,Form5Home,Form3Away,Form5Away,Form3Home_ratio,Form5Home_ratio,Form3Away_ratio,Form5Away_ratio,form_diff_3,form_diff_5,form_momentum_home,form_momentum_away,form_momentum,home_rest_days,away_rest_days,rest_diff,rest_diff_nonlinear,home_congestion_14d,away_congestion_14d,is_midweek,is_early_kickoff,is_evening_match,winter_period,season_phase,match_week,h2h_home_wins,h2h_away_wins,h2h_draws,h2h_home_goals_diff,h2h_home_venue_record,h2h_matches_count,home_team_home_ppg,home_team_goals_scored_avg,home_team_goals_conceded_avg,away_team_away_ppg,away_team_goals_scored_avg,away_team_goals_conceded_avg,venue_ppg_diff,overround,odds_disagreement,sharp_money_home,sharp_money_away,elo_vs_odds_home,home_shots_avg,home_shots_against_avg,away_shots_avg,away_shots_against_avg,shots_dominance_home,shots_dominance_away,corners_diff,discipline_diff,target_home,target_draw,target_away
POL,2012-01-09,12:30:00,Korona Kielce,Lechia Gdansk,0.0,1.0,A,,,,2.13,3.15,3.4,2.25,3.3,3.75,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,1,2,24,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0811,0.1029,0.0563,0.1029,0.1651,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1
POL,2012-01-09,14:45:00,Widzew Lodz,GKS Belchatow,1.0,0.0,H,,,,2.0,3.21,3.73,2.06,3.35,4.32,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,1,2,24,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0796,0.1582,0.03,0.1582,0.1363,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
POL,2012-01-09,17:00:00,Jagiellonia,Zaglebie,0.0,0.0,D,,,,2.24,3.19,3.16,2.8,3.33,3.55,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,1,2,24,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0764,0.25,0.25,0.1234,0.1846,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0
POL,2012-01-10,17:30:00,Piast Gliwice,Wisla,2.0,0.0,H,,,,2.99,3.11,2.36,3.35,3.3,2.56,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,1,0,0,1,2,24,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0797,0.1204,0.1204,0.0847,0.2896,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
POL,2012-01-12,12:30:00,Pogon Szczecin,Podbeskidzie,2.0,0.0,H,,,,1.83,3.3,4.34,1.91,3.52,5.05,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,1,2,24,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0799,0.1636,0.0437,0.1636,0.0934,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
POL,2012-01-12,14:45:00,Widzew Lodz,Korona Kielce,1.0,0.0,H,,,,2.44,3.1,2.88,2.67,3.25,3.1,1508.2,1488.2,20.0,2996.3,0.0067,0,3,3,0,0,0.3333,0.2,0.0,0.0,3,3,3,0,3,3,3,0,0,1,1,0,0,0,1,2,24,0,0,0,0,0.5,0,3.0,1.0,0.0,1.0,1.0,1.4,2.0,1.0796,0.0943,0.0943,0.0764,0.2471,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
POL,2012-01-12,17:00:00,Wisla,Gornik Z.,1.0,3.0,A,,,,2.37,3.05,3.05,2.56,3.25,3.5,1488.5,1500.0,-11.5,2988.5,0.0039,0,0,0,3,5,0.0,0.0,0.3333,0.3333,-3,-5,0,1,-1,2,7,-5,-2,1,0,0,0,0,1,2,24,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0777,0.1475,0.0802,0.1475,0.1918,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1
POL,2012-02-09,13:30:00,Lech Poznan,Gornik Z.,0.0,0.0,D,,,,1.58,3.58,5.99,1.65,4.09,6.75,1500.0,1516.4,-16.4,3016.4,0.0054,0,3,5,3,3,0.3333,0.3333,0.3333,0.2,0,2,1,3,-2,7,28,-21,-2,0,0,0,0,0,1,2,28,0,0,0,0,0.5,0,1.5,1.3,1.1,3.0,3.0,1.0,-1.5,1.0792,0.1425,0.0443,0.1269,-0.0099,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0
POL,2012-02-09,16:00:00,Slask Wroclaw,Ruch,1.0,0.0,H,,,,1.97,3.31,3.71,2.04,3.5,4.09,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,1,2,28,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0793,0.1024,0.0355,0.1024,0.1291,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
POL,2012-02-11,17:00:00,Gornik Z.,GKS Belchatow,2.0,0.0,H,,,,1.34,4.58,8.97,1.4,5.12,11.0,1517.8,1491.8,26.0,3009.6,0.0086,0,4,4,0,0,0.4444,0.2667,0.0,0.0,4,4,4,0,4,2,30,-28,-2,1,0,0,0,0,1,2,28,0,0,0,0,0.5,0,1.5,1.3,1.1,0.0,0.0,1.0,1.5,1.0761,0.2263,0.0448,0.2263,-0.0588,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
