Division,MatchDate,MatchTime,HomeTeam,AwayTeam,FTHome,FTAway,FTResult,HTHome,HTAway,HTResult,OddHome,OddDraw,OddAway,MaxHome,MaxDraw,MaxAway,HomeElo,AwayElo,elo_diff,elo_sum,elo_mismatch,elo_mismatch_flag,Form3Home,Form5Home,Form3Away,Form5Away,Form3Home_ratio,Form5Home_ratio,Form3Away_ratio,Form5Away_ratio,form_diff_3,form_diff_5,form_momentum_home,form_momentum_away,form_momentum,home_rest_days,away_rest_days,rest_diff,rest_diff_nonlinear,home_congestion_14d,away_congestion_14d,is_midweek,is_early_kickoff,is_evening_match,winter_period,season_phase,match_week,h2h_home_wins,h2h_away_wins,h2h_draws,h2h_home_goals_diff,h2h_home_venue_record,h2h_matches_count,home_team_home_ppg,home_team_goals_scored_avg,home_team_goals_conceded_avg,away_team_away_ppg,away_team_goals_scored_avg,away_team_goals_conceded_avg,venue_ppg_diff,overround,odds_disagreement,sharp_money_home,sharp_money_away,elo_vs_odds_home,home_shots_avg,home_shots_against_avg,away_shots_avg,away_shots_against_avg,shots_dominance_home,shots_dominance_away,corners_diff,discipline_diff,target_home,target_draw,target_away
ROM,2012-01-09,17:00:00,FC Brasov,Gaz Metan Medias,3.0,1.0,H,,,,1.84,3.22,4.1,2.0,3.5,5.13,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,1,2,24,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0979,0.2512,0.087,0.2512,0.1044,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
ROM,2012-01-09,19:30:00,Pandurii,FC Rapid Bucuresti,2.0,0.0,H,,,,2.28,3.15,2.92,2.4,3.32,3.38,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,1,2,24,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0985,0.1575,0.0526,0.1575,0.2001,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
ROM,2012-01-10,16:00:00,Ceahlaul,Astra,3.0,2.0,H,,,,3.45,3.35,1.97,3.9,3.6,2.06,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,1,0,0,1,2,24,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.096,0.1304,0.1304,0.0457,0.3349,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
ROM,2012-01-10,18:30:00,Din. Bucuresti,Pandurii,3.0,0.0,H,,,,2.0,3.28,3.4,2.06,3.53,4.0,1500.0,1511.5,-11.5,3011.5,0.0038,0,3,5,3,3,0.3333,0.3333,0.3333,0.2,0,2,1,3,-2,7,1,6,2,0,1,1,0,0,1,2,24,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.099,0.1765,0.03,0.1765,0.1285,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
ROM,2012-01-12,16:00:00,FC Brasov,Viitorul Constanta,3.0,1.0,H,,,,1.9,3.29,3.73,2.0,3.6,4.5,1511.5,1500.0,11.5,3011.5,0.0038,0,3,3,3,5,0.3333,0.2,0.3333,0.3333,0,-2,3,1,2,3,7,-4,-2,1,0,0,0,0,1,2,24,0,0,0,0,0.5,0,3.0,3.0,1.0,1.0,1.0,1.4,2.0,1.0984,0.2064,0.0526,0.2064,0.136,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
ROM,2012-01-12,18:30:00,Gaz Metan Medias,CFR Cluj,1.0,1.0,D,,,,2.77,3.12,2.4,3.1,3.25,2.57,1488.5,1500.0,-11.5,2988.5,0.0039,0,0,0,3,5,0.0,0.0,0.3333,0.3333,-3,-5,0,1,-1,3,7,-4,-2,1,0,0,0,0,1,2,24,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0982,0.1191,0.1191,0.0708,0.2546,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0
ROM,2012-02-09,15:00:00,Astra,Din. Bucuresti,1.0,0.0,H,,,,2.66,3.18,2.45,2.9,3.3,2.83,1491.9,1514.6,-22.7,3006.5,0.0075,0,0,0,3,3,0.0,0.0,0.3333,0.2,-3,-3,0,3,-3,30,30,0,0,0,0,0,0,0,1,2,28,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0986,0.1551,0.0902,0.1551,0.2255,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
ROM,2012-02-09,16:55:00,FCSB,Otelul,2.0,1.0,H,,,,1.45,3.88,6.92,1.55,4.37,10.21,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,1,2,28,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0919,0.4754,0.069,0.4754,-0.0322,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
ROM,2012-02-09,18:50:00,CFR Cluj,Petrolul,2.0,2.0,D,,,,1.69,3.58,4.47,1.8,3.82,5.32,1501.6,1500.0,1.6,3001.6,0.0005,0,1,1,3,5,0.1111,0.0667,0.3333,0.3333,-2,-4,1,1,0,28,7,21,2,0,0,0,0,0,1,2,28,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0948,0.1902,0.0651,0.1902,0.0612,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0
ROM,2012-02-09,19:45:00,Concordia,U. Cluj,0.0,2.0,A,,,,2.03,3.27,3.37,2.1,3.5,3.98,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,1,2,28,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0952,0.181,0.0345,0.181,0.1496,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1
