Division,MatchDate,MatchTime,HomeTeam,AwayTeam,FTHome,FTAway,FTResult,HTHome,HTAway,HTResult,OddHome,OddDraw,OddAway,MaxHome,MaxDraw,MaxAway,OddUnder25,OddOver25,MaxUnder25,MaxOver25,HomeElo,AwayElo,elo_diff,elo_sum,elo_mismatch,elo_mismatch_flag,Form3Home,Form5Home,Form3Away,Form5Away,Form3Home_ratio,Form5Home_ratio,Form3Away_ratio,Form5Away_ratio,form_diff_3,form_diff_5,form_momentum_home,form_momentum_away,form_momentum,home_rest_days,away_rest_days,rest_diff,rest_diff_nonlinear,home_congestion_14d,away_congestion_14d,is_midweek,is_early_kickoff,is_evening_match,winter_period,season_phase,match_week,h2h_home_wins,h2h_away_wins,h2h_draws,h2h_home_goals_diff,h2h_home_venue_record,h2h_matches_count,home_team_home_ppg,home_team_goals_scored_avg,home_team_goals_conceded_avg,away_team_away_ppg,away_team_goals_scored_avg,away_team_goals_conceded_avg,venue_ppg_diff,overround,odds_disagreement,sharp_money_home,sharp_money_away,elo_vs_odds_home,home_shots_avg,home_shots_against_avg,away_shots_avg,away_shots_against_avg,shots_dominance_home,shots_dominance_away,corners_diff,discipline_diff,target_home,target_draw,target_away,target_UNDER25
RUS,2012-01-09,11:00:00,Rubin Kazan,Akhmat Grozny,1.0,2.0,A,,,,1.37,4.37,8.17,1.45,4.93,10.08,,,,,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,1,2,24,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0812,0.2338,0.0584,0.2338,-0.0757,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1,0
RUS,2012-01-09,13:30:00,Volga N. Novgorod,FK Rostov,1.0,1.0,D,,,,2.71,3.05,2.59,2.94,3.18,2.78,,,,,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,1,2,24,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.083,0.0849,0.0849,0.0734,0.2587,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0,1
RUS,2012-01-09,16:00:00,Vladikavkaz,Amkar,1.0,1.0,D,,,,2.14,3.18,3.36,2.29,3.35,4.0,,,,,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,1,2,24,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0794,0.1905,0.0701,0.1905,0.1665,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0,1
RUS,2012-01-10,14:30:00,Krylya Sovetov,Krasnodar,2.0,2.0,D,,,,2.59,3.16,2.65,2.84,3.34,2.8,,,,,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,1,0,0,1,2,24,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0799,0.0965,0.0965,0.0566,0.2419,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0,0
RUS,2012-01-10,17:00:00,M. Saransk,Vladikavkaz,1.0,1.0,D,,,,2.27,3.31,2.95,2.44,3.51,3.2,,,,,1500.0,1498.2,1.8,2998.2,0.0006,0,3,5,1,1,0.3333,0.3333,0.1111,0.0667,2,4,1,1,0,7,1,6,2,0,1,1,0,0,1,2,24,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0816,0.0847,0.0749,0.0847,0.1946,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0,1
RUS,2012-01-12,09:30:00,Dynamo Moscow,Rubin Kazan,3.0,0.0,H,,,,2.51,3.02,2.83,2.75,3.15,3.3,,,,,1500.0,1488.2,11.8,2988.2,0.004,0,3,5,0,0,0.3333,0.3333,0.0,0.0,3,5,1,0,1,7,3,4,1,0,1,0,0,0,1,2,24,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0829,0.1661,0.0956,0.1661,0.2477,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0,0
RUS,2012-01-12,12:00:00,Vladikavkaz,Lokomotiv Moscow,0.0,1.0,A,,,,4.47,3.45,1.76,5.24,4.0,1.9,,,,,1500.0,1500.0,0.0,3000.0,0.0,0,2,2,3,5,0.2222,0.1333,0.3333,0.3333,-1,-3,2,1,1,2,7,-5,-2,2,0,0,0,0,1,2,24,0,0,0,0,0.5,0,1.0,1.0,1.0,1.0,1.0,1.4,0.0,1.0818,0.1723,0.1723,0.0795,0.3926,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1,1
RUS,2012-01-12,14:30:00,Volga N. Novgorod,Akhmat Grozny,1.0,1.0,D,,,,3.2,3.15,2.22,3.64,3.4,2.33,,,,,1498.2,1511.8,-13.7,3010.0,0.0045,0,1,1,3,3,0.1111,0.0667,0.3333,0.2,-2,-2,1,3,-2,3,3,0,0,1,1,0,0,0,1,2,24,0,0,0,0,0.5,0,1.0,1.0,1.0,3.0,2.0,1.0,-2.0,1.0804,0.1375,0.1375,0.0495,0.2911,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0,1
RUS,2012-02-09,17:30:00,Lokomotiv Moscow,Spartak Moscow,2.0,1.0,H,,,,2.53,3.24,2.64,2.85,3.44,2.82,,,,,1511.8,1500.0,11.8,3011.8,0.0039,0,3,3,3,5,0.3333,0.2,0.3333,0.3333,0,-2,3,1,2,28,7,21,2,0,0,0,0,0,1,2,28,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0827,0.1265,0.1265,0.0682,0.2506,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0,0
RUS,2012-02-09,15:15:00,Krylya Sovetov,FK Anzi Makhackala,1.0,2.0,A,,,,4.63,3.35,1.76,5.9,3.75,1.85,,,,,1498.2,1500.0,-1.8,2998.2,0.0006,0,1,1,3,5,0.1111,0.0667,0.3333,0.3333,-2,-4,1,1,0,30,7,23,2,0,0,0,0,0,1,2,28,0,0,0,0,0.5,0,1.0,2.0,2.0,1.0,1.0,1.4,0.0,1.0827,0.2743,0.2743,0.0511,0.3974,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1,0
