Division,MatchDate,MatchTime,HomeTeam,AwayTeam,FTHome,FTAway,FTResult,HTHome,HTAway,HTResult,OddHome,OddDraw,OddAway,MaxHome,MaxDraw,MaxAway,OddUnder25,OddOver25,MaxUnder25,MaxOver25,HomeElo,AwayElo,elo_diff,elo_sum,elo_mismatch,elo_mismatch_flag,Form3Home,Form5Home,Form3Away,Form5Away,Form3Home_ratio,Form5Home_ratio,Form3Away_ratio,Form5Away_ratio,form_diff_3,form_diff_5,form_momentum_home,form_momentum_away,form_momentum,home_rest_days,away_rest_days,rest_diff,rest_diff_nonlinear,home_congestion_14d,away_congestion_14d,is_midweek,is_early_kickoff,is_evening_match,winter_period,season_phase,match_week,h2h_home_wins,h2h_away_wins,h2h_draws,h2h_home_goals_diff,h2h_home_venue_record,h2h_matches_count,home_team_home_ppg,home_team_goals_scored_avg,home_team_goals_conceded_avg,away_team_away_ppg,away_team_goals_scored_avg,away_team_goals_conceded_avg,venue_ppg_diff,overround,odds_disagreement,sharp_money_home,sharp_money_away,elo_vs_odds_home,home_shots_avg,home_shots_against_avg,away_shots_avg,away_shots_against_avg,shots_dominance_home,shots_dominance_away,corners_diff,discipline_diff,target_home,target_draw,target_away,target_UNDER25
SC2,2001-08-04,,Berwick,Alloa,0.0,4.0,A,0.0,1.0,A,,,,,,,,,,,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.06,0.0,0.0,0.0,0.0,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1,0
SC2,2001-08-04,,Forfar,Clydebank,1.0,2.0,A,1.0,1.0,D,,,,,,,,,,,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.06,0.0,0.0,0.0,0.0,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1,0
SC2,2001-08-04,,Hamilton,Queen of Sth,1.0,1.0,D,0.0,1.0,A,,,,,,,,,,,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.06,0.0,0.0,0.0,0.0,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0,1
SC2,2001-08-04,,Morton,Stenhousemuir,4.0,1.0,H,1.0,0.0,H,,,,,,,,,,,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.06,0.0,0.0,0.0,0.0,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0,0
SC2,2001-08-04,,Stranraer,Cowdenbeath,3.0,0.0,H,1.0,0.0,H,,,,,,,,,,,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.06,0.0,0.0,0.0,0.0,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0,0
SC2,2001-08-11,,Alloa,Morton,1.0,1.0,D,1.0,0.0,H,,,,,,,,,,,1523.7,1514.3,9.4,3038.0,0.0031,0,3,3,3,3,0.3333,0.2,0.3333,0.2,0,0,3,3,0,7,7,0,0,1,1,0,0,0,0,1,2,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.06,0.0,0.0,0.0,0.0,10.0,14.0,11.0,10.0,-4.0,1.0,-3.0,0.0,0,1,0,1
SC2,2001-08-11,,Clydebank,Hamilton,3.0,2.0,H,1.0,2.0,A,,,,,,,,,,,1511.8,1498.2,13.6,3010.0,0.0045,0,3,3,1,1,0.3333,0.2,0.1111,0.0667,2,2,3,1,2,7,7,0,0,1,1,0,0,0,0,1,2,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.06,0.0,0.0,0.0,0.0,5.0,5.0,14.0,4.0,0.0,10.0,3.0,0.0,1,0,0,0
SC2,2001-08-11,,Cowdenbeath,Berwick,2.0,1.0,H,1.0,1.0,D,,,,,,,,,,,1485.8,1476.3,9.5,2962.1,0.0032,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,7,7,0,0,1,1,0,0,0,0,1,2,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.06,0.0,0.0,0.0,0.0,10.0,15.0,14.0,10.0,-5.0,4.0,1.0,1.0,1,0,0,0
SC2,2001-08-11,,Queen of Sth,Forfar,1.0,2.0,A,0.0,1.0,A,,,,,,,,,,,1501.8,1488.2,13.6,2990.0,0.0045,0,1,1,0,0,0.1111,0.0667,0.0,0.0,1,1,1,0,1,7,7,0,0,1,1,0,0,0,0,1,2,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.06,0.0,0.0,0.0,0.0,4.0,14.0,5.0,5.0,-10.0,0.0,-2.0,-1.0,0,0,1,0
SC2,2001-08-11,,Stenhousemuir,Stranraer,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,1485.7,1514.2,-28.5,2999.9,0.0095,0,0,0,3,3,0.0,0.0,0.3333,0.2,-3,-3,0,3,-3,7,7,0,0,1,1,0,0,0,0,1,2,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.06,0.0,0.0,0.0,0.0,10.0,11.0,15.0,10.0,-1.0,5.0,-1.0,0.0,0,1,0,1
