Division,MatchDate,MatchTime,HomeTeam,AwayTeam,FTHome,FTAway,FTResult,HTHome,HTAway,HTResult,OddHome,OddDraw,OddAway,MaxHome,MaxDraw,MaxAway,HomeElo,AwayElo,elo_diff,elo_sum,elo_mismatch,elo_mismatch_flag,Form3Home,Form5Home,Form3Away,Form5Away,Form3Home_ratio,Form5Home_ratio,Form3Away_ratio,Form5Away_ratio,form_diff_3,form_diff_5,form_momentum_home,form_momentum_away,form_momentum,home_rest_days,away_rest_days,rest_diff,rest_diff_nonlinear,home_congestion_14d,away_congestion_14d,is_midweek,is_early_kickoff,is_evening_match,winter_period,season_phase,match_week,h2h_home_wins,h2h_away_wins,h2h_draws,h2h_home_goals_diff,h2h_home_venue_record,h2h_matches_count,home_team_home_ppg,home_team_goals_scored_avg,home_team_goals_conceded_avg,away_team_away_ppg,away_team_goals_scored_avg,away_team_goals_conceded_avg,venue_ppg_diff,overround,odds_disagreement,sharp_money_home,sharp_money_away,elo_vs_odds_home,home_shots_avg,home_shots_against_avg,away_shots_avg,away_shots_against_avg,shots_dominance_home,shots_dominance_away,corners_diff,discipline_diff,target_home,target_draw,target_away
SP1,2000-09-09,,Barcelona,Malaga,2.0,1.0,H,2.0,0.0,H,1.28,3.9,7.9,,,,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.1642,0.0,0.0,0.0,-0.0716,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
SP1,2000-09-09,,La Coruna,Ath Bilbao,2.0,0.0,H,0.0,0.0,D,1.51,3.2,6.2,,,,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.136,0.0,0.0,0.0,0.0165,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
SP1,2000-09-09,,Real Madrid,Valencia,2.0,1.0,H,0.0,0.0,D,1.65,3.2,4.1,,,,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.1625,0.0,0.0,0.0,0.078,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
SP1,2000-09-09,,Sociedad,Santander,2.0,2.0,D,0.0,0.0,D,1.85,3.15,3.45,,,,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.1479,0.0,0.0,0.0,0.1285,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0
SP1,2000-09-09,,Zaragoza,Espanol,1.0,2.0,A,0.0,0.0,D,1.7,3.1,4.3,,,,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.1434,0.0,0.0,0.0,0.0849,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1
SP1,2000-09-10,,Villarreal,Vallecano,1.0,5.0,A,0.0,3.0,A,2.25,3.1,2.75,,,,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.1307,0.0,0.0,0.0,0.2063,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1
SP1,2000-09-10,,Numancia,Oviedo,1.0,0.0,H,0.0,0.0,D,2.0,3.1,3.3,,,,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.1256,0.0,0.0,0.0,0.1552,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
SP1,2000-09-10,,Osasuna,Celta,0.0,2.0,A,0.0,0.0,D,2.65,2.9,2.35,,,,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.1477,0.0,0.0,0.0,0.2706,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1
SP1,2000-09-10,,Las Palmas,Alaves,0.0,3.0,A,0.0,1.0,A,2.35,3.15,2.6,,,,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.1276,0.0,0.0,0.0,0.222,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1
SP1,2000-09-10,,Mallorca,Valladolid,1.0,1.0,D,1.0,0.0,H,1.8,3.1,3.9,,,,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.1345,0.0,0.0,0.0,0.1097,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0
