Division,MatchDate,MatchTime,HomeTeam,AwayTeam,FTHome,FTAway,FTResult,HTHome,HTAway,HTResult,OddHome,OddDraw,OddAway,MaxHome,MaxDraw,MaxAway,HomeElo,AwayElo,elo_diff,elo_sum,elo_mismatch,elo_mismatch_flag,Form3Home,Form5Home,Form3Away,Form5Away,Form3Home_ratio,Form5Home_ratio,Form3Away_ratio,Form5Away_ratio,form_diff_3,form_diff_5,form_momentum_home,form_momentum_away,form_momentum,home_rest_days,away_rest_days,rest_diff,rest_diff_nonlinear,home_congestion_14d,away_congestion_14d,is_midweek,is_early_kickoff,is_evening_match,winter_period,season_phase,match_week,h2h_home_wins,h2h_away_wins,h2h_draws,h2h_home_goals_diff,h2h_home_venue_record,h2h_matches_count,home_team_home_ppg,home_team_goals_scored_avg,home_team_goals_conceded_avg,away_team_away_ppg,away_team_goals_scored_avg,away_team_goals_conceded_avg,venue_ppg_diff,overround,odds_disagreement,sharp_money_home,sharp_money_away,elo_vs_odds_home,home_shots_avg,home_shots_against_avg,away_shots_avg,away_shots_against_avg,shots_dominance_home,shots_dominance_away,corners_diff,discipline_diff,target_home,target_draw,target_away
SUI,2012-01-09,18:45:00,Lausanne,Grasshoppers,0.0,2.0,A,,,,3.13,3.28,2.2,3.4,3.54,2.39,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,1,2,24,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0789,0.0864,0.0863,0.0864,0.3033,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1
SUI,2012-01-09,18:45:00,Sion,St. Gallen,0.0,3.0,A,,,,1.82,3.37,4.34,2.0,3.6,5.09,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,1,2,24,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0766,0.1728,0.0989,0.1728,0.089,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1
SUI,2012-01-10,18:45:00,Grasshoppers,St. Gallen,1.0,0.0,H,,,,2.13,3.27,3.29,2.25,3.4,3.5,1516.8,1520.5,-3.7,3037.2,0.0012,0,3,3,3,3,0.3333,0.2,0.3333,0.2,0,0,3,3,0,1,1,0,0,1,1,1,0,0,1,2,24,0,0,0,0,0.5,0,1.5,1.3,1.1,3.0,3.0,0.0,-1.5,1.0792,0.0638,0.0563,0.0638,0.1593,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
SUI,2012-01-12,18:45:00,Basel,St. Gallen,1.0,0.0,H,,,,1.58,3.84,5.39,1.68,4.24,6.5,1500.0,1512.1,-12.1,3012.1,0.004,0,3,5,3,3,0.3333,0.3333,0.3333,0.2,0,2,1,3,-2,7,2,5,2,0,2,0,0,0,1,2,24,0,0,0,0,0.5,0,1.5,1.3,1.1,1.5,1.5,0.5,0.0,1.0789,0.2059,0.0633,0.2059,-0.0041,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
SUI,2012-01-12,18:45:00,Luzern,Lausanne,0.0,0.0,D,,,,1.67,3.69,4.88,1.85,4.09,5.63,1500.0,1483.2,16.8,2983.2,0.0056,0,3,5,0,0,0.3333,0.3333,0.0,0.0,3,5,1,0,1,7,3,4,1,0,1,0,0,0,1,2,24,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0747,0.1537,0.1078,0.1537,0.0652,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0
SUI,2012-02-09,12:45:00,Luzern,Young Boys,1.0,2.0,A,,,,2.74,3.25,2.47,2.98,3.44,2.6,1497.7,1500.0,-2.3,2997.7,0.0008,0,1,1,3,5,0.1111,0.0667,0.3333,0.3333,-2,-4,1,1,0,28,7,21,2,0,0,0,0,0,1,2,28,0,0,0,0,0.5,0,1.0,0.0,0.0,1.0,1.0,1.4,0.0,1.0775,0.0876,0.0876,0.0526,0.2575,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1
SUI,2012-02-09,12:45:00,Thun,Servette,3.0,0.0,H,,,,1.87,3.37,4.07,2.0,3.6,4.95,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,0,0,0,1,2,28,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0772,0.2162,0.0695,0.2162,0.103,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
SUI,2012-02-09,15:00:00,Basel,Zurich,0.0,0.0,D,,,,1.63,3.78,5.0,1.81,4.25,5.75,1508.6,1500.0,8.6,3008.6,0.0028,0,3,3,3,5,0.3333,0.2,0.3333,0.3333,0,-2,3,1,2,28,7,21,2,0,0,0,0,0,1,2,28,0,0,0,0,0.5,0,3.0,1.0,0.0,1.0,1.0,1.4,2.0,1.078,0.15,0.1104,0.15,0.0421,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0
SUI,2012-02-12,12:45:00,Servette,Thun,0.0,0.0,D,,,,2.55,3.21,2.67,2.76,3.42,2.94,1485.8,1514.2,-28.5,3000.0,0.0095,0,0,0,3,3,0.0,0.0,0.3333,0.2,-3,-3,0,3,-3,3,3,0,0,1,1,0,0,0,1,2,28,0,1,0,-3,0.5,1,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0782,0.1011,0.0824,0.1011,0.1958,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0
SUI,2012-02-12,12:45:00,Young Boys,Sion,3.0,1.0,H,,,,2.08,3.36,3.34,2.17,3.64,3.65,1511.7,1479.5,32.2,2991.3,0.0108,0,3,3,0,0,0.3333,0.2,0.0,0.0,3,3,3,0,3,3,30,-27,-2,1,0,0,0,0,1,2,28,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0778,0.0928,0.0433,0.0928,0.1969,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
SUI,2012-02-12,15:00:00,Grasshoppers,Zurich,1.0,0.0,H,,,,2.59,3.17,2.64,2.89,3.31,2.88,1525.1,1502.0,23.0,3027.1,0.0076,0,6,6,1,1,0.6667,0.4,0.1111,0.0667,5,5,6,1,5,30,3,27,2,0,1,0,0,0,1,2,28,0,0,0,0,0.5,0,3.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0803,0.1158,0.1158,0.0909,0.2734,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
SUI,2012-03-11,18:45:00,Basel,Young Boys,2.0,0.0,H,,,,1.94,3.48,3.68,2.14,3.75,4.5,1506.5,1522.1,-15.6,3028.6,0.0051,0,4,4,6,6,0.4444,0.2667,0.6667,0.4,-2,-2,4,6,-2,30,28,2,0,0,0,0,0,0,0,3,32,0,0,0,0,0.5,0,2.0,0.5,0.0,3.0,2.0,1.0,-1.0,1.0746,0.2228,0.1031,0.2228,0.098,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
SUI,2012-03-11,18:45:00,Grasshoppers,Lausanne,1.0,1.0,D,,,,1.57,3.81,5.66,1.62,4.09,6.7,1532.6,1485.5,47.1,3018.1,0.0156,0,9,9,1,1,1.0,0.6,0.1111,0.0667,8,8,9,1,8,28,30,-2,-1,0,0,0,0,0,0,3,32,1,0,0,2,0.5,1,3.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0761,0.1837,0.0318,0.1837,0.0705,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0
