Division,MatchDate,MatchTime,HomeTeam,AwayTeam,FTHome,FTAway,FTResult,HTHome,HTAway,HTResult,OddHome,OddDraw,OddAway,MaxHome,MaxDraw,MaxAway,OddUnder25,OddOver25,MaxUnder25,MaxOver25,HomeElo,AwayElo,elo_diff,elo_sum,elo_mismatch,elo_mismatch_flag,Form3Home,Form5Home,Form3Away,Form5Away,Form3Home_ratio,Form5Home_ratio,Form3Away_ratio,Form5Away_ratio,form_diff_3,form_diff_5,form_momentum_home,form_momentum_away,form_momentum,home_rest_days,away_rest_days,rest_diff,rest_diff_nonlinear,home_congestion_14d,away_congestion_14d,is_midweek,is_early_kickoff,is_evening_match,winter_period,season_phase,match_week,h2h_home_wins,h2h_away_wins,h2h_draws,h2h_home_goals_diff,h2h_home_venue_record,h2h_matches_count,home_team_home_ppg,home_team_goals_scored_avg,home_team_goals_conceded_avg,away_team_away_ppg,away_team_goals_scored_avg,away_team_goals_conceded_avg,venue_ppg_diff,overround,odds_disagreement,sharp_money_home,sharp_money_away,elo_vs_odds_home,home_shots_avg,home_shots_against_avg,away_shots_avg,away_shots_against_avg,shots_dominance_home,shots_dominance_away,corners_diff,discipline_diff,target_home,target_draw,target_away,target_UNDER25
SWE,2012-01-04,13:00:00,AIK,Mjallby,0.0,0.0,D,,,,1.71,3.43,4.99,1.75,3.63,5.75,,,,,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,1,0,0,1,2,23,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0767,0.1523,0.0234,0.1523,0.0563,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0,1
SWE,2012-01-04,16:30:00,Syrianska,Goteborg,2.0,1.0,H,,,,4.63,3.41,1.77,5.01,3.65,1.89,,,,,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,1,0,0,1,2,23,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0742,0.0821,0.0821,0.0678,0.3983,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0,0
SWE,2012-01-09,15:00:00,Malmo FF,Mjallby,1.0,1.0,D,,,,1.42,4.26,7.43,1.47,4.59,8.4,,,,,1500.0,1501.8,-1.8,3001.8,0.0006,0,3,5,1,1,0.3333,0.3333,0.1111,0.0667,2,4,1,1,0,7,5,2,0,0,1,0,0,0,1,2,24,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,0.0,0.0,0.5,1.0736,0.1306,0.0352,0.1306,-0.0591,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0,1
SWE,2012-01-10,18:00:00,Djurgarden,Mjallby,0.0,1.0,A,,,,1.95,3.34,3.85,2.02,3.55,4.33,,,,,1500.0,1503.7,-3.7,3003.7,0.0012,0,3,5,2,2,0.3333,0.3333,0.2222,0.1333,1,3,1,2,-1,7,1,6,2,0,2,1,0,0,1,2,24,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,0.5,0.5,0.5,1.072,0.1247,0.0359,0.1247,0.1159,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1,1
SWE,2012-01-10,18:00:00,Norrkoping,GAIS,7.0,2.0,H,,,,1.4,4.46,7.56,1.45,4.9,9.0,,,,,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,1,0,0,1,2,24,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0708,0.1905,0.0357,0.1905,-0.0677,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0,0
SWE,2012-01-10,18:00:00,Syrianska,Malmo FF,0.0,2.0,A,,,,3.95,3.4,1.91,4.33,3.65,2.04,,,,,1508.2,1498.2,10.0,3006.3,0.0033,0,3,3,1,1,0.3333,0.2,0.1111,0.0667,2,2,3,1,2,6,1,5,2,1,1,1,0,0,1,2,24,0,0,0,0,0.5,0,3.0,2.0,1.0,1.0,1.0,1.4,2.0,1.0708,0.0962,0.0962,0.0681,0.3767,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1,1
SWE,2012-01-10,18:05:00,Goteborg,Hacken,1.0,1.0,D,,,,2.76,3.37,2.41,2.98,3.72,2.5,,,,,1491.8,1500.0,-8.2,2991.8,0.0027,0,0,0,3,5,0.0,0.0,0.3333,0.3333,-3,-5,0,1,-1,6,7,-1,0,1,0,1,0,0,1,2,24,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.074,0.1039,0.0797,0.0373,0.2507,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0,1
SWE,2012-01-11,19:05:00,Hacken,AIK,1.0,1.0,D,,,,2.01,3.46,3.45,2.1,3.8,3.7,,,,,1501.6,1498.2,3.5,2999.8,0.0012,0,1,1,1,1,0.1111,0.0667,0.1111,0.0667,0,0,1,1,0,1,7,-6,-2,1,1,1,0,0,1,2,24,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0764,0.0983,0.0448,0.0725,0.142,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0,1
SWE,2012-01-11,17:00:00,Mjallby,Elfsborg,2.0,3.0,A,,,,4.15,3.54,1.81,4.7,3.85,1.9,,,,,1515.4,1500.0,15.4,3015.4,0.0051,0,5,5,3,5,0.5556,0.3333,0.3333,0.3333,2,0,5,1,4,1,7,-6,-2,3,0,1,0,0,1,2,24,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0759,0.1325,0.1325,0.0497,0.3965,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1,0
SWE,2012-01-11,19:05:00,Malmo FF,Orebro,1.0,1.0,D,,,,1.16,7.25,13.7,1.2,8.74,19.14,,,,,1515.4,1500.0,15.4,3015.4,0.0051,0,4,4,3,5,0.4444,0.2667,0.3333,0.3333,1,-1,4,1,3,1,7,-6,-2,2,0,1,0,0,1,2,24,0,0,0,0,0.5,0,1.0,1.0,1.0,1.0,1.0,1.4,0.0,1.073,0.3971,0.0345,0.3971,-0.183,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0,1
SWE,2012-01-11,12:00:00,Atvidabergs,Sundsvall,2.0,2.0,D,,,,2.25,3.39,2.99,2.35,3.7,3.3,,,,,1500.0,1500.0,0.0,3000.0,0.0,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,7,7,0,0,0,0,1,0,0,1,2,24,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0739,0.1037,0.0444,0.1037,0.1855,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0,0
SWE,2012-01-11,17:00:00,GAIS,Gefle,2.0,3.0,A,,,,3.82,3.28,1.97,4.2,3.6,2.13,,,,,1481.7,1500.0,-18.3,2981.7,0.0061,0,0,0,3,5,0.0,0.0,0.3333,0.3333,-3,-5,0,1,-1,1,7,-6,-2,1,0,1,0,0,1,2,24,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0743,0.0995,0.0995,0.0812,0.3302,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1,0
SWE,2012-02-04,18:00:00,Malmo FF,Gefle,0.0,0.0,D,,,,1.39,4.33,8.15,1.45,4.97,9.66,,,,,1513.1,1511.3,1.9,3024.4,0.0006,0,5,5,3,3,0.5556,0.3333,0.3333,0.2,2,2,5,3,2,24,24,0,0,0,0,0,0,0,1,2,27,0,0,0,0,0.5,0,1.0,1.0,1.0,3.0,3.0,2.0,-2.0,1.0731,0.1853,0.0432,0.1853,-0.0685,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0,1
SWE,2012-02-04,18:00:00,Orebro,Atvidabergs,3.0,4.0,A,,,,2.1,3.2,3.51,2.29,3.5,4.0,,,,,1502.2,1498.2,4.0,3000.4,0.0013,0,1,1,1,1,0.1111,0.0667,0.1111,0.0667,0,0,1,1,0,24,24,0,0,0,0,0,0,0,1,2,27,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.4,0.5,1.0736,0.1396,0.0905,0.1396,0.1614,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1,0
SWE,2012-02-04,18:05:00,Norrkoping,Helsingborg,1.0,0.0,H,,,,3.63,3.34,2.0,3.91,3.67,2.09,,,,,1518.3,1500.0,18.3,3018.3,0.006,0,3,3,3,5,0.3333,0.2,0.3333,0.3333,0,-2,3,1,2,25,7,18,2,0,0,0,0,0,1,2,27,0,0,0,0,0.5,0,3.0,7.0,2.0,1.0,1.0,1.4,2.0,1.0749,0.0988,0.0771,0.045,0.3681,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0,1
SWE,2012-02-05,18:00:00,Atvidabergs,Hacken,0.0,3.0,A,,,,2.92,3.29,2.32,3.13,3.52,2.41,,,,,1510.1,1499.7,10.4,3009.8,0.0035,0,4,4,2,2,0.4444,0.2667,0.2222,0.1333,2,2,4,2,2,1,25,-24,-2,1,0,0,0,0,1,2,27,0,0,0,0,0.5,0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0775,0.0719,0.0719,0.0388,0.2958,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1,0
SWE,2012-02-05,18:00:00,Goteborg,Sundsvall,2.0,0.0,H,,,,1.49,4.07,6.37,1.55,4.5,7.4,,,,,1490.2,1501.8,-11.6,2992.0,0.0039,0,1,1,1,1,0.1111,0.0667,0.1111,0.0667,0,0,1,1,0,26,25,1,0,0,0,0,0,0,1,2,27,0,0,0,0,0.5,0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0738,0.1617,0.0403,0.1617,-0.0417,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0,1
SWE,2012-02-05,18:00:00,Syrianska,Elfsborg,1.0,4.0,A,,,,5.7,3.93,1.55,6.5,4.23,1.61,,,,,1491.0,1512.3,-21.3,3003.2,0.0071,0,3,3,3,3,0.3333,0.2,0.3333,0.2,0,0,3,3,0,26,25,1,0,0,0,0,0,0,1,2,27,0,0,0,0,0.5,0,1.5,1.0,1.5,3.0,3.0,2.0,-1.5,1.0751,0.1404,0.1404,0.0387,0.4065,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1,0
SWE,2012-02-05,18:05:00,Helsingborg,AIK,0.0,0.0,D,,,,1.85,3.44,4.15,2.0,3.77,4.68,,,,,1492.2,1500.1,-7.8,2992.3,0.0026,0,0,0,2,2,0.0,0.0,0.2222,0.1333,-2,-2,0,2,-2,1,25,-24,-2,1,0,0,0,0,1,2,27,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.0,1.0,0.5,1.0722,0.1277,0.0811,0.1277,0.0844,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0,1
SWE,2012-02-07,18:00:00,Helsingborg,Gefle,4.0,1.0,H,,,,1.43,4.17,7.6,1.46,4.5,8.82,,,,,1490.8,1513.1,-22.3,3003.9,0.0074,0,1,1,4,4,0.1111,0.0667,0.4444,0.2667,-3,-3,1,4,-3,2,3,-1,0,2,1,1,0,0,1,2,28,0,0,0,0,0.5,0,1.0,0.0,0.0,2.0,1.5,1.0,-1.0,1.0707,0.1605,0.021,0.1605,-0.085,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0,0
SWE,2012-02-07,18:00:00,Malmo FF,AIK,4.0,0.0,H,,,,1.77,3.5,4.53,1.85,3.73,5.09,,,,,1511.3,1501.6,9.8,3012.9,0.0032,0,5,6,3,3,0.5556,0.4,0.3333,0.2,2,3,4,3,1,3,2,1,0,1,1,1,0,0,1,2,28,0,0,0,0,0.5,0,1.0,0.667,0.667,1.0,0.5,0.5,0.0,1.0714,0.1236,0.0452,0.1236,0.0855,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0,0
SWE,2012-02-09,16:30:00,Sundsvall,Goteborg,3.0,3.0,D,,,,2.48,3.2,2.77,2.66,3.4,3.0,,,,,1489.6,1502.4,-12.8,2992.0,0.0043,0,1,1,4,4,0.1111,0.0667,0.4444,0.2667,-3,-3,1,4,-3,4,4,0,0,1,1,0,0,0,1,2,28,0,1,0,-2,0.5,1,1.5,1.3,1.1,0.0,1.0,2.0,1.5,1.0767,0.083,0.0726,0.083,0.2071,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0,0
SWE,2012-02-09,16:30:00,Norrkoping,Gefle,0.0,1.0,A,,,,1.89,3.4,3.99,2.04,3.65,4.59,,,,,1526.0,1497.6,28.4,3023.6,0.0094,0,6,6,4,4,0.6667,0.4,0.4444,0.2667,2,2,6,4,2,5,2,3,1,1,2,0,0,0,1,2,28,0,0,0,0,0.5,0,3.0,4.0,1.0,1.333,1.333,2.0,1.667,1.0738,0.1504,0.0794,0.1504,0.1452,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1,1
SWE,2012-02-09,14:00:00,GAIS,Kalmar,1.0,2.0,A,,,,2.67,3.21,2.58,2.91,3.45,2.75,,,,,1470.5,1500.0,-29.5,2970.5,0.0099,0,0,0,3,5,0.0,0.0,0.3333,0.3333,-3,-5,0,1,-1,29,7,22,2,0,0,0,0,0,1,2,28,0,0,0,0,0.5,0,0.0,2.0,3.0,1.0,1.0,1.4,-1.0,1.0737,0.0899,0.0899,0.0659,0.2091,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1,0
