Division,MatchDate,MatchTime,HomeTeam,AwayTeam,FTHome,FTAway,FTResult,HTHome,HTAway,HTResult,OddHome,OddDraw,OddAway,MaxHome,MaxDraw,MaxAway,MaxUnder25,MaxOver25,HomeElo,AwayElo,elo_diff,elo_sum,elo_mismatch,elo_mismatch_flag,Form3Home,Form5Home,Form3Away,Form5Away,Form3Home_ratio,Form5Home_ratio,Form3Away_ratio,Form5Away_ratio,form_diff_3,form_diff_5,form_momentum_home,form_momentum_away,form_momentum,home_rest_days,away_rest_days,rest_diff,rest_diff_nonlinear,home_congestion_14d,away_congestion_14d,is_midweek,is_early_kickoff,is_evening_match,winter_period,season_phase,match_week,h2h_home_wins,h2h_away_wins,h2h_draws,h2h_home_goals_diff,h2h_home_venue_record,h2h_matches_count,home_team_home_ppg,home_team_goals_scored_avg,home_team_goals_conceded_avg,away_team_away_ppg,away_team_goals_scored_avg,away_team_goals_conceded_avg,venue_ppg_diff,overround,odds_disagreement,sharp_money_home,sharp_money_away,elo_vs_odds_home,home_shots_avg,home_shots_against_avg,away_shots_avg,away_shots_against_avg,shots_dominance_home,shots_dominance_away,corners_diff,discipline_diff,target_home,target_draw,target_away,target_UNDER25
AUT,2024-12-07,16:00:00,Tirol,Sturm Graz,0.0,3.0,A,,,,6.84,4.29,1.46,7.62,4.5,1.5,,,1413.0,1814.9,-401.9,3227.9,0.1245,1,4,7,5,11,0.4444,0.4667,0.5556,0.7333,-1,-4,1,-1,2,6,2,4,1,2,3,0,0,0,1,2,19,0,8,2,-11,0.0,10,0.8,0.3,0.7,1.7,1.5,1.1,-0.9,1.0642,0.114,0.114,0.0274,-0.0085,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1,0
AUT,2024-12-07,16:00:00,Wolfsberger AC,LASK,2.0,1.0,H,,,,2.63,3.28,2.65,2.72,3.49,2.84,,,1561.5,1620.6,-59.1,3182.1,0.0186,0,6,9,4,10,0.6667,0.6,0.4444,0.6667,2,-1,3,-2,5,7,2,5,2,2,4,0,0,0,1,2,19,6,4,0,-3,0.5,10,1.2,1.5,1.4,1.6,1.3,1.6,-0.4,1.0625,0.0717,0.0342,0.0717,0.1578,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0,0
AUT,2024-12-07,16:00:00,Salzburg,SK Rapid,2.0,2.0,D,,,,2.2,3.46,3.14,2.36,3.6,3.4,,,1752.7,1668.4,84.3,3421.1,0.0246,0,6,7,4,8,0.6667,0.4667,0.4444,0.5333,2,-1,5,0,5,2,2,0,0,5,3,0,0,0,1,2,19,5,3,2,2,0.6,10,2.1,2.8,0.8,1.5,0.9,0.8,0.6,1.062,0.0828,0.0727,0.0828,0.2805,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0,0
AUT,2024-12-08,16:00:00,Austria Vienna,Altach,3.0,0.0,H,,,,1.49,4.09,6.84,1.62,4.3,7.5,,,1640.4,1421.3,219.1,3061.7,0.0716,1,9,12,1,4,1.0,0.8,0.1111,0.2667,8,8,6,-2,8,7,8,-1,0,2,2,0,0,0,1,2,19,3,3,4,1,0.6666666666666666,10,2.5,2.0,1.1,1.1,0.9,1.3,1.4,1.0618,0.0965,0.0872,0.0965,0.2088,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0,0
AUT,2024-12-08,13:30:00,BW Linz,A. Klagenfurt,2.0,1.0,H,,,,1.75,3.74,4.42,1.91,4.01,4.72,,,1492.3,1470.6,21.7,2962.9,0.0073,0,6,6,0,1,0.6667,0.4,0.0,0.0667,6,5,6,-1,7,7,3,4,1,2,2,0,0,0,1,2,19,0,2,1,-4,0.0,3,1.6,1.3,0.9,0.8,0.7,2.7,0.8,1.0651,0.0914,0.0914,0.0679,0.0924,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0,0
AUT,2024-12-08,13:30:00,Grazer AK,Hartberg,0.0,3.0,A,,,,2.43,3.35,2.82,2.6,3.47,3.0,,,1470.8,1533.8,-63.0,3004.7,0.021,0,6,8,1,1,0.6667,0.5333,0.1111,0.0667,5,7,4,1,3,8,3,5,2,2,4,0,0,0,1,2,19,0,0,1,0,0.5,1,0.75,1.625,2.0,0.6,1.0,2.1,0.15,1.0646,0.07,0.07,0.0638,0.1236,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1,0
AUT,2024-12-14,16:00:00,Salzburg,A. Klagenfurt,3.0,0.0,H,,,,1.15,8.35,16.11,1.26,9.83,19.0,,,1749.1,1462.5,286.6,3211.6,0.0892,1,7,8,0,0,0.7778,0.5333,0.0,0.0,7,8,6,0,6,7,6,1,0,5,3,0,0,0,1,2,20,7,1,2,16,1.0,10,1.9,2.3,0.9,0.8,0.8,2.7,1.1,1.0514,0.1794,0.0957,0.1794,0.0592,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0,0
AUT,2025-02-07,19:30:00,Sturm Graz,Austria Vienna,2.0,2.0,D,,,,2.18,3.19,3.45,2.25,3.41,3.62,,,1818.8,1646.7,172.1,3465.5,0.0497,0,5,11,9,15,0.5556,0.7333,1.0,1.0,-4,-4,-1,3,-4,30,30,0,0,0,0,0,0,0,1,2,28,8,1,1,13,0.8,10,2.5,2.9,0.9,1.7,1.1,0.9,0.8,1.0621,0.069,0.0321,0.0493,0.3693,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0,0
AUT,2025-02-08,16:00:00,Altach,Grazer AK,1.0,2.0,A,,,,2.13,3.2,3.57,2.33,3.41,3.82,,,1415.1,1454.4,-39.3,2869.5,0.0137,0,1,4,3,7,0.1111,0.2667,0.3333,0.4667,-2,-3,-2,-1,-1,30,30,0,0,0,0,0,0,0,1,2,28,0,0,1,0,0.5,1,0.7,0.9,1.2,0.7,1.1,1.9,0.0,1.0621,0.0939,0.0939,0.07,0.102,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1,0
AUT,2025-02-08,16:00:00,SK Rapid,Wolfsberger AC,1.0,3.0,A,,,,1.74,3.74,4.53,1.82,4.0,4.8,,,1671.9,1572.0,100.0,3243.9,0.0308,0,4,8,9,9,0.4444,0.5333,1.0,0.6,-5,-1,0,9,-9,30,30,0,0,0,0,0,0,0,1,2,28,5,3,2,2,0.4,10,2.2,1.5,0.9,1.6,2.0,1.4,0.6,1.0628,0.0695,0.046,0.0596,0.1861,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1,0
