Division,MatchDate,MatchTime,HomeTeam,AwayTeam,FTHome,FTAway,FTResult,HTHome,HTAway,HTResult,OddHome,OddDraw,OddAway,MaxHome,MaxDraw,MaxAway,HomeElo,AwayElo,elo_diff,elo_sum,elo_mismatch,elo_mismatch_flag,Form3Home,Form5Home,Form3Away,Form5Away,Form3Home_ratio,Form5Home_ratio,Form3Away_ratio,Form5Away_ratio,form_diff_3,form_diff_5,form_momentum_home,form_momentum_away,form_momentum,home_rest_days,away_rest_days,rest_diff,rest_diff_nonlinear,home_congestion_14d,away_congestion_14d,is_midweek,is_early_kickoff,is_evening_match,winter_period,season_phase,match_week,h2h_home_wins,h2h_away_wins,h2h_draws,h2h_home_goals_diff,h2h_home_venue_record,h2h_matches_count,home_team_home_ppg,home_team_goals_scored_avg,home_team_goals_conceded_avg,away_team_away_ppg,away_team_goals_scored_avg,away_team_goals_conceded_avg,venue_ppg_diff,overround,odds_disagreement,sharp_money_home,sharp_money_away,elo_vs_odds_home,home_shots_avg,home_shots_against_avg,away_shots_avg,away_shots_against_avg,shots_dominance_home,shots_dominance_away,corners_diff,discipline_diff,target_home,target_draw,target_away
B1,2025-07-25,19:45:00,Antwerp,St. Gilloise,1.0,1.0,D,1.0,0.0,H,3.87,3.45,1.9,4.26,3.53,1.95,1657.8,1881.2,-223.4,3539.0,0.0631,1,4,7,9,13,0.4444,0.4667,1.0,0.8667,-5,-6,1,5,-4,30,30,0,0,0,0,0,0,0,0,3,46,2,6,2,-13,0.4,10,1.1,1.3,1.9,2.7,2.2,0.5,-1.6,1.0746,0.1008,0.1008,0.0263,0.052,10.8,14.9,11.1,8.0,-4.1,3.1,-0.5,-0.3,0,1,0
B1,2025-07-26,19:45:00,RAAL La Louviere,Standard,0.0,2.0,A,0.0,2.0,A,2.54,3.26,2.65,2.63,3.4,2.77,1500.0,1529.5,-29.5,3029.5,0.0097,0,3,5,3,4,0.3333,0.3333,0.3333,0.2667,0,1,1,2,-1,7,30,-23,-2,0,0,0,0,0,0,3,46,0,0,0,0,0.5,0,1.5,1.3,1.1,1.1,0.9,1.3,0.4,1.0778,0.0453,0.0354,0.0453,0.1928,12.73,12.73,9.8,12.4,0.0,-2.6,0.21,0.65,0,0,1
B1,2025-07-26,17:15:00,Waregem,Mechelen,1.0,1.0,D,0.0,1.0,A,3.13,3.54,2.11,3.25,3.65,2.15,1436.9,1586.4,-149.5,3023.4,0.0494,0,3,4,3,7,0.3333,0.2667,0.3333,0.4667,0,-3,2,-1,3,30,30,0,0,0,0,0,0,0,0,3,46,5,3,2,3,0.6,10,0.7,1.7,2.6,1.2,1.1,1.6,-0.5,1.0759,0.0383,0.0383,0.019,0.0906,10.9,13.0,16.2,11.2,-2.1,5.0,-1.2,0.3,0,1,0
B1,2025-07-26,15:00:00,Dender,Cercle Brugge,0.0,0.0,D,0.0,0.0,D,2.79,3.39,2.37,2.91,3.5,2.41,1502.9,1542.1,-39.2,3045.0,0.0129,0,5,5,3,6,0.5556,0.3333,0.3333,0.4,2,-1,5,0,5,30,30,0,0,0,0,0,0,0,0,3,46,2,3,1,-4,0.3333333333333333,6,1.6,1.3,0.7,0.8,1.1,1.8,0.8,1.0753,0.043,0.043,0.0169,0.2109,11.7,15.1,14.8,10.9,-3.4,3.9,-1.5,-1.6,0,1,0
B1,2025-07-27,12:30:00,Anderlecht,Westerlo,5.0,2.0,H,2.0,0.0,H,1.7,3.86,4.37,1.75,4.0,4.6,1706.8,1570.9,135.8,3277.7,0.0414,0,0,6,4,8,0.0,0.4,0.4444,0.5333,-4,-2,-6,0,-6,30,30,0,0,0,0,0,0,0,0,3,46,5,3,2,5,0.4,10,1.3,1.6,1.2,1.5,1.6,1.4,-0.2,1.0761,0.0526,0.0294,0.0526,0.2192,11.2,11.9,15.6,13.1,-0.7,2.5,-2.7,-0.3,1,0,0
B1,2025-07-27,17:30:00,Club Brugge,Genk,2.0,1.0,H,0.0,1.0,A,1.73,3.82,4.29,1.78,4.0,4.6,1865.1,1759.9,105.2,3625.0,0.029,0,7,11,6,6,0.7778,0.7333,0.6667,0.4,1,5,3,6,-3,30,30,0,0,0,0,0,0,0,0,3,46,7,2,1,13,0.8,10,2.0,1.9,1.0,2.0,1.5,0.9,0.0,1.0729,0.0723,0.0289,0.0723,0.194,18.3,8.3,11.6,13.2,10.0,-1.6,0.8,-0.2,1,0,0
B1,2025-07-27,15:00:00,Oud-Heverlee Leuven,Charleroi,2.0,2.0,D,1.0,0.0,H,2.79,3.3,2.4,2.91,3.4,2.45,1521.9,1621.6,-99.7,3143.5,0.0317,0,0,1,7,13,0.0,0.0667,0.7778,0.8667,-7,-12,-1,1,-2,30,30,0,0,0,0,0,0,0,0,3,46,5,1,4,7,0.4,10,1.4,1.3,1.3,1.4,1.3,1.2,0.0,1.0781,0.043,0.043,0.0208,0.1249,11.7,15.5,16.2,13.9,-3.8,2.3,1.0,1.2,0,1,0
B1,2025-07-27,18:15:00,St Truiden,Gent,3.0,1.0,H,0.0,0.0,D,2.04,3.55,3.29,2.1,3.66,3.5,1535.6,1591.6,-56.0,3127.2,0.0179,0,4,7,0,0,0.4444,0.4667,0.0,0.0,4,7,1,0,1,30,30,0,0,0,0,0,0,0,0,3,46,2,5,3,-6,0.4,10,1.5,1.6,1.5,1.0,0.7,1.9,0.5,1.0758,0.0638,0.0294,0.0638,0.0645,13.2,9.8,9.5,16.2,3.4,-6.7,0.5,1.1,1,0,0
B1,2025-08-01,19:45:00,Mechelen,Club Brugge,2.0,1.0,H,1.0,0.0,H,3.82,3.83,1.83,4.2,3.96,1.91,1584.1,1870.5,-286.5,3454.6,0.0829,1,3,7,7,13,0.3333,0.4667,0.7778,0.8667,-4,-6,-1,1,-2,6,5,1,0,1,1,0,0,0,0,1,1,1,5,4,-11,0.2,10,1.2,1.6,1.4,2.1,2.3,0.9,-0.9,1.0693,0.0995,0.0995,0.0437,-0.0214,15.6,12.3,18.2,9.6,3.3,8.6,1.3,-0.2,1,0,0
B1,2025-08-02,19:45:00,Gent,RAAL La Louviere,1.0,0.0,H,0.0,0.0,D,1.7,3.76,4.56,1.75,3.95,5.25,1577.9,1484.4,93.5,3062.2,0.0305,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,6,7,-1,0,1,1,0,0,0,0,1,1,0,0,0,0,0.5,0,0.8,0.8,2.2,1.0,1.0,1.4,-0.2,1.0735,0.1513,0.0294,0.1513,0.1714,9.6,16.1,14.0,9.0,-6.5,5.0,-1.1,0.2,1,0,0
