Division,MatchDate,MatchTime,HomeTeam,AwayTeam,FTHome,FTAway,FTResult,HTHome,HTAway,HTResult,OddHome,OddDraw,OddAway,MaxHome,MaxDraw,MaxAway,HomeElo,AwayElo,elo_diff,elo_sum,elo_mismatch,elo_mismatch_flag,Form3Home,Form5Home,Form3Away,Form5Away,Form3Home_ratio,Form5Home_ratio,Form3Away_ratio,Form5Away_ratio,form_diff_3,form_diff_5,form_momentum_home,form_momentum_away,form_momentum,home_rest_days,away_rest_days,rest_diff,rest_diff_nonlinear,home_congestion_14d,away_congestion_14d,is_midweek,is_early_kickoff,is_evening_match,winter_period,season_phase,match_week,h2h_home_wins,h2h_away_wins,h2h_draws,h2h_home_goals_diff,h2h_home_venue_record,h2h_matches_count,home_team_home_ppg,home_team_goals_scored_avg,home_team_goals_conceded_avg,away_team_away_ppg,away_team_goals_scored_avg,away_team_goals_conceded_avg,venue_ppg_diff,overround,odds_disagreement,sharp_money_home,sharp_money_away,elo_vs_odds_home,home_shots_avg,home_shots_against_avg,away_shots_avg,away_shots_against_avg,shots_dominance_home,shots_dominance_away,corners_diff,discipline_diff,target_home,target_draw,target_away
BRASIL,2024-12-08,19:00:00,Palmeiras,Fluminense,0.0,1.0,A,,,,1.46,4.41,6.74,1.51,4.6,7.1,1703.5,1548.3,155.3,3251.8,0.0477,0,3,9,4,6,0.3333,0.6,0.4444,0.4,-1,3,-3,2,-5,3,1,2,0,3,5,0,0,0,1,2,19,3,4,3,-1,0.6,10,1.9,2.1,1.2,0.8,0.8,1.2,1.1,1.0601,0.0534,0.0342,0.0534,0.1391,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1
BRASIL,2024-12-08,19:00:00,Juventude,Cruzeiro,0.0,1.0,A,,,,2.13,3.37,3.44,2.21,3.47,3.59,1492.6,1541.9,-49.2,3034.5,0.0162,0,7,11,4,5,0.7778,0.7333,0.4444,0.3333,3,6,3,3,0,4,3,1,0,2,4,0,0,0,1,2,19,0,1,0,-2,0.5,1,1.5,1.7,2.0,1.2,1.0,1.0,0.3,1.0569,0.0436,0.0376,0.0436,0.0857,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1
BRASIL,2024-12-08,19:00:00,Gremio,Corinthians,0.0,3.0,A,,,,2.67,3.34,2.61,2.77,3.46,2.74,1563.4,1604.6,-41.2,3168.1,0.013,0,5,6,9,15,0.5556,0.4,1.0,1.0,-4,-9,4,3,1,4,5,-1,0,3,3,0,0,0,1,2,19,0,3,7,-3,0.0,10,1.6,1.7,1.6,1.1,1.1,1.5,0.5,1.0571,0.0498,0.0375,0.0498,0.1871,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1
BRASIL,2024-12-08,19:00:00,Fortaleza,Internacional,3.0,0.0,H,,,,2.59,3.18,2.8,2.65,3.25,2.9,1620.9,1678.0,-57.1,3298.8,0.0173,0,4,5,3,9,0.4444,0.3333,0.3333,0.6,1,-4,3,-3,6,1,3,-2,-1,5,3,0,0,0,1,2,19,4,5,1,5,0.75,10,2.4,1.4,0.3,1.6,1.7,1.2,0.8,1.0577,0.0357,0.0232,0.0357,0.1535,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
BRASIL,2024-12-08,19:00:00,Flamengo RJ,Vitoria,2.0,2.0,D,,,,1.37,5.02,7.66,1.4,5.3,8.25,1686.9,1490.2,196.7,3177.0,0.0619,0,6,10,1,5,0.6667,0.6667,0.1111,0.3333,5,5,2,-3,5,1,1,0,0,4,4,0,0,0,1,2,19,7,2,1,3,0.5,10,1.8,1.5,1.1,1.2,1.2,1.4,0.6,1.0597,0.077,0.0219,0.077,0.1339,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0
BRASIL,2024-12-08,19:00:00,Atletico-MG,Athletico-PR,1.0,0.0,H,,,,2.07,3.09,3.99,2.14,3.3,4.27,1566.0,1513.2,52.8,3079.2,0.0171,0,6,7,4,8,0.6667,0.4667,0.4444,0.5333,2,-1,5,0,5,1,3,-2,-1,5,4,0,0,0,1,2,19,5,3,2,4,0.6,10,1.5,1.5,1.4,0.7,1.1,1.6,0.8,1.0573,0.0702,0.0338,0.0702,0.2128,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
BRASIL,2024-12-08,19:00:00,Bragantino,Criciuma,5.0,1.0,H,,,,1.38,4.81,7.85,1.42,5.01,8.61,1527.7,1429.7,98.0,2957.5,0.0331,0,3,4,1,2,0.3333,0.2667,0.1111,0.1333,2,2,2,0,2,2,1,1,0,5,4,0,0,0,1,2,19,0,1,0,-1,0.5,1,0.9,1.0,1.2,0.5,0.5,1.6,0.4,1.0599,0.0968,0.029,0.0968,0.0409,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
BRASIL,2024-12-08,19:00:00,Botafogo RJ,Sao Paulo,2.0,1.0,H,,,,1.26,5.24,13.76,1.33,5.6,17.0,1736.6,1595.1,141.5,3331.7,0.0425,0,9,13,0,2,1.0,0.8667,0.0,0.1333,9,11,5,-2,7,1,1,0,0,5,4,0,0,0,1,2,19,5,3,2,-4,0.75,10,2.2,1.7,0.4,0.8,0.9,1.3,1.4,1.0572,0.2355,0.0556,0.2355,0.0209,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
BRASIL,2024-12-08,19:00:00,Bahia,Atletico GO,2.0,0.0,H,,,,1.42,4.72,7.09,1.46,5.0,7.5,1549.0,1410.4,138.6,2959.4,0.0468,0,6,7,4,4,0.6667,0.4667,0.4444,0.2667,2,3,5,4,1,3,3,0,0,4,3,0,0,0,1,2,19,2,3,5,1,0.3333333333333333,10,1.7,1.1,0.8,0.1,0.5,2.2,1.6,1.0571,0.0593,0.0282,0.0578,0.1025,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
BRASIL,2024-12-08,19:00:00,Cuiaba,Vasco,1.0,2.0,A,,,,3.52,3.16,2.19,3.71,3.3,2.27,1475.2,1545.5,-70.2,3020.7,0.0232,0,1,2,7,7,0.1111,0.1333,0.7778,0.4667,-6,-5,0,7,-7,3,3,0,0,2,4,0,0,0,1,2,19,0,4,0,-6,0.0,4,0.8,0.9,1.4,0.6,0.6,1.9,0.2,1.0572,0.054,0.054,0.0365,0.2309,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1
