Division,MatchDate,MatchTime,HomeTeam,AwayTeam,FTHome,FTAway,FTResult,HTHome,HTAway,HTResult,OddHome,OddDraw,OddAway,MaxHome,MaxDraw,MaxAway,HomeElo,AwayElo,elo_diff,elo_sum,elo_mismatch,elo_mismatch_flag,Form3Home,Form5Home,Form3Away,Form5Away,Form3Home_ratio,Form5Home_ratio,Form3Away_ratio,Form5Away_ratio,form_diff_3,form_diff_5,form_momentum_home,form_momentum_away,form_momentum,home_rest_days,away_rest_days,rest_diff,rest_diff_nonlinear,home_congestion_14d,away_congestion_14d,is_midweek,is_early_kickoff,is_evening_match,winter_period,season_phase,match_week,h2h_home_wins,h2h_away_wins,h2h_draws,h2h_home_goals_diff,h2h_home_venue_record,h2h_matches_count,home_team_home_ppg,home_team_goals_scored_avg,home_team_goals_conceded_avg,away_team_away_ppg,away_team_goals_scored_avg,away_team_goals_conceded_avg,venue_ppg_diff,overround,odds_disagreement,sharp_money_home,sharp_money_away,elo_vs_odds_home,home_shots_avg,home_shots_against_avg,away_shots_avg,away_shots_against_avg,shots_dominance_home,shots_dominance_away,corners_diff,discipline_diff,target_home,target_draw,target_away
CHN,2025-02-22,12:00,Shanghai Shenhua,Changchun Yatai,2.0,1.0,H,,,,1.26,5.51,9.66,1.3,6.63,13.0,1824.1,1534.2,289.9,3358.3,0.0863,1,5,11,5,8,0.5556,0.7333,0.5556,0.5333,0,3,-1,2,-3,30,30,0,0,0,0,0,1,0,1,2,30,4,1,5,3,0.4,10,2.8,3.4,1.0,0.5,1.0,2.8,2.3,1.0787,0.3458,0.0317,0.3458,0.1524,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
CHN,2025-02-22,11:35,Chengdu Rongcheng,Wuhan Three Towns,1.0,0.0,H,,,,1.35,4.67,8.26,1.36,5.2,9.5,1743.9,1537.3,206.6,3281.3,0.063,1,4,10,1,1,0.4444,0.6667,0.1111,0.0667,3,9,-2,1,-3,30,30,0,0,0,0,0,1,0,1,2,30,2,1,4,1,0.25,7,2.5,2.7,0.9,0.7,0.7,1.4,1.8,1.0759,0.1501,0.0074,0.1501,0.1425,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
CHN,2025-02-22,12:00,Yunnan Yukun,Beijing Guoan,0.0,2.0,A,,,,4.41,3.74,1.71,4.9,3.95,1.78,1500.0,1687.4,-187.4,3187.4,0.0588,0,3,5,4,8,0.3333,0.3333,0.4444,0.5333,-1,-3,1,0,1,7,30,-23,-2,0,0,0,1,0,1,2,30,0,0,0,0,0.5,0,1.5,1.3,1.1,1.0,1.5,2.1,0.5,1.0789,0.1111,0.1111,0.0409,0.1271,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1
CHN,2025-02-23,07:30,Zhejiang Professional,Dalian Yingbo,1.0,1.0,D,,,,1.66,4.01,4.36,1.71,4.3,4.6,1601.5,1500.0,101.5,3101.5,0.0327,0,4,8,3,5,0.4444,0.5333,0.3333,0.3333,1,3,0,1,-1,30,7,23,2,0,0,0,1,0,1,2,30,0,0,0,0,0.5,0,1.5,2.4,1.9,1.0,1.0,1.4,0.5,1.0811,0.0723,0.0301,0.055,0.1713,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0
CHN,2025-02-23,11:35,Shanghai Port,Shenzhen Xinpengcheng,3.0,1.0,H,,,,1.39,4.71,6.61,1.43,5.2,7.16,1875.2,1456.8,418.5,3332.0,0.1256,1,9,12,4,5,1.0,0.8,0.4444,0.3333,5,7,6,3,3,30,30,0,0,0,0,0,1,0,1,2,30,2,0,0,8,1.0,2,3.0,5.1,1.0,0.9,1.0,1.8,2.1,1.083,0.104,0.0288,0.0832,0.279,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
CHN,2025-02-23,07:30,Tianjin Jinmen Tiger,Meizhou Hakka,2.0,2.0,D,,,,1.45,4.35,6.08,1.51,4.7,7.0,1619.9,1474.0,145.8,3093.9,0.0471,0,4,7,3,5,0.4444,0.4667,0.3333,0.3333,1,2,1,1,0,30,30,0,0,0,0,0,1,0,1,2,30,2,2,4,1,0.6666666666666666,8,2.6,1.9,0.9,0.3,1.5,3.2,2.3,1.084,0.1513,0.0414,0.1513,0.1398,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0
CHN,2025-02-23,07:30,Qingdao Hainiu,Qingdao West Coast,2.0,2.0,D,,,,2.47,2.94,2.99,2.65,3.2,3.19,1438.2,1525.5,-87.3,2963.6,0.0295,0,3,4,7,8,0.3333,0.2667,0.7778,0.5333,-4,-4,2,6,-4,30,30,0,0,0,0,0,1,0,1,2,30,1,1,0,1,1.0,2,1.4,1.2,1.2,1.2,1.2,1.6,0.2,1.0794,0.0884,0.0729,0.0669,0.1001,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0
CHN,2025-02-23,07:30,Shandong Taishan,Henan Songshan Longmen,0.0,0.0,D,,,,1.5,4.08,5.84,1.56,4.34,7.0,1672.1,1559.1,113.0,3231.3,0.035,0,7,13,2,5,0.7778,0.8667,0.2222,0.3333,5,8,1,-1,2,30,30,0,0,0,0,0,1,0,1,2,30,5,3,2,6,0.6666666666666666,10,1.6,1.5,0.7,1.0,1.1,1.2,0.6,1.083,0.1986,0.04,0.1986,0.1259,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0
CHN,2025-02-28,07:30,Shandong Taishan,Dalian Yingbo,4.0,1.0,H,,,,1.4,4.63,6.67,1.45,5.2,7.8,1667.3,1504.6,162.8,3171.9,0.0513,0,7,11,1,1,0.7778,0.7333,0.1111,0.0667,6,10,3,1,2,5,5,0,0,1,1,0,1,0,1,2,31,0,0,0,0,0.5,0,1.4,1.2,0.7,1.0,1.0,1.0,0.4,1.0802,0.1694,0.0357,0.1694,0.1312,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
CHN,2025-02-28,11:35,Shanghai Port,Changchun Yatai,2.0,0.0,H,,,,1.51,4.44,5.26,1.58,4.9,5.71,1876.8,1531.9,344.9,3408.8,0.1012,1,9,12,2,8,1.0,0.8,0.2222,0.5333,7,4,6,-4,10,5,6,-1,0,1,1,0,1,0,1,2,31,8,1,1,21,0.8,10,3.0,4.9,1.0,0.4,0.9,2.8,2.6,1.0776,0.1036,0.0464,0.0856,0.3014,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
