Division,MatchDate,MatchTime,HomeTeam,AwayTeam,FTHome,FTAway,FTResult,HTHome,HTAway,HTResult,OddHome,OddDraw,OddAway,MaxHome,MaxDraw,MaxAway,HomeElo,AwayElo,elo_diff,elo_sum,elo_mismatch,elo_mismatch_flag,Form3Home,Form5Home,Form3Away,Form5Away,Form3Home_ratio,Form5Home_ratio,Form3Away_ratio,Form5Away_ratio,form_diff_3,form_diff_5,form_momentum_home,form_momentum_away,form_momentum,home_rest_days,away_rest_days,rest_diff,rest_diff_nonlinear,home_congestion_14d,away_congestion_14d,is_midweek,is_early_kickoff,is_evening_match,winter_period,season_phase,match_week,h2h_home_wins,h2h_away_wins,h2h_draws,h2h_home_goals_diff,h2h_home_venue_record,h2h_matches_count,home_team_home_ppg,home_team_goals_scored_avg,home_team_goals_conceded_avg,away_team_away_ppg,away_team_goals_scored_avg,away_team_goals_conceded_avg,venue_ppg_diff,overround,odds_disagreement,sharp_money_home,sharp_money_away,elo_vs_odds_home,home_shots_avg,home_shots_against_avg,away_shots_avg,away_shots_against_avg,shots_dominance_home,shots_dominance_away,corners_diff,discipline_diff,target_home,target_draw,target_away
E3,2025-08-02,15:00:00,Walsall,Swindon,2.0,1.0,H,1.0,0.0,H,2.17,3.36,3.08,2.25,3.5,3.2,1513.8,1529.8,-16.1,3043.6,0.0053,0,4,5,2,8,0.4444,0.3333,0.2222,0.5333,2,-3,3,-4,7,30,30,0,0,0,0,0,0,0,0,1,1,3,5,2,-6,0.25,10,1.0,1.6,1.7,1.7,1.9,0.9,-0.7,1.0831,0.0417,0.0369,0.039,0.1515,13.2,11.3,13.6,8.2,1.9,5.4,-0.4,0.8,1,0,0
E3,2025-08-02,15:00:00,Shrewsbury,Bromley,0.0,0.0,D,0.0,0.0,D,2.28,3.44,2.82,2.38,3.6,3.0,1643.4,1526.0,117.4,3169.4,0.037,0,6,9,7,10,0.6667,0.6,0.7778,0.6667,-1,-1,3,4,-1,30,30,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.5,0,2.0,1.7,0.8,1.2,1.2,1.9,0.8,1.0839,0.0638,0.0439,0.0638,0.3416,9.7,6.3,11.6,12.1,3.4,-0.5,0.4,-0.6,0,1,0
E3,2025-08-02,15:00:00,Salford,Crewe,1.0,3.0,A,1.0,3.0,A,1.86,3.66,3.65,1.95,3.8,4.0,1519.9,1455.4,64.5,2975.2,0.0217,0,7,8,0,1,0.7778,0.5333,0.0,0.0667,7,7,6,-1,7,30,30,0,0,0,0,0,0,0,0,1,1,4,2,2,4,0.75,8,1.1,1.6,1.7,1.1,0.6,1.0,0.0,1.0848,0.0959,0.0484,0.0959,0.1889,13.9,10.5,9.1,14.7,3.4,-5.6,1.9,-0.2,0,0,1
E3,2025-08-02,16:00:00,Newport County,Notts County,1.0,1.0,D,0.0,0.0,D,4.62,3.75,1.67,4.8,4.0,1.73,1373.3,1521.0,-147.8,2894.3,0.0511,0,1,2,3,4,0.1111,0.1333,0.3333,0.2667,-2,-2,0,2,-2,30,30,0,0,0,0,0,0,0,0,1,1,4,4,2,-2,0.4,10,1.2,0.9,1.3,1.7,1.5,0.9,-0.5,1.0819,0.0667,0.039,0.0359,0.1898,8.2,15.0,13.7,8.5,-6.8,5.2,-1.7,0.2,0,1,0
E3,2025-08-02,15:00:00,Milton Keynes Dons,Oldham,0.0,0.0,D,0.0,0.0,D,1.63,3.74,5.02,1.67,4.11,5.5,1429.9,1368.4,61.5,2798.4,0.022,0,5,6,1,1,0.5556,0.4,0.1111,0.0667,4,5,4,1,3,30,30,0,0,0,0,0,0,0,0,1,1,2,0,0,2,1.0,2,0.9,0.6,1.2,0.9,1.1,1.6,0.0,1.0801,0.0989,0.0245,0.0956,0.1127,9.7,10.6,11.5,14.8,-0.9,-3.3,-1.6,1.0,0,1,0
E3,2025-08-02,15:00:00,Grimsby,Crawley Town,3.0,0.0,H,2.0,0.0,H,1.98,3.57,3.36,2.05,3.7,3.5,1464.5,1521.1,-56.6,2985.6,0.019,0,2,3,5,5,0.2222,0.2,0.5556,0.3333,-3,-2,1,5,-4,30,30,0,0,0,0,0,0,0,0,1,1,4,4,2,1,0.6,10,1.4,1.0,1.3,1.9,1.8,1.1,-0.5,1.0828,0.0417,0.0354,0.0417,0.0528,11.7,11.1,14.0,14.2,0.6,-0.2,-1.5,-0.1,1,0,0
E3,2025-08-02,15:00:00,Colchester,Tranmere,1.0,1.0,D,0.0,1.0,A,2.1,3.17,3.46,2.15,3.3,3.75,1506.3,1459.4,47.0,2965.7,0.0158,0,1,5,7,8,0.1111,0.3333,0.7778,0.5333,-6,-3,-3,6,-9,30,30,0,0,0,0,0,0,0,0,1,1,4,2,4,4,0.6,10,2.1,1.2,0.5,1.0,1.3,1.5,1.1,1.0807,0.0838,0.0238,0.0838,0.2216,9.2,13.5,11.2,8.5,-4.3,2.7,-0.6,0.0,0,1,0
E3,2025-08-02,15:00:00,Cambridge,Cheltenham,1.0,0.0,H,0.0,0.0,D,1.83,3.56,3.89,1.91,3.7,4.21,1547.2,1484.5,62.7,3031.7,0.0207,0,3,9,6,10,0.3333,0.6,0.6667,0.6667,-3,-1,-3,2,-5,30,30,0,0,0,0,0,0,0,0,1,1,3,4,3,-2,0.5,10,1.6,1.1,0.9,1.3,1.3,1.9,0.3,1.0844,0.0823,0.0437,0.0823,0.1783,11.3,13.3,10.3,14.8,-2.0,-4.5,-0.7,-1.0,1,0,0
E3,2025-08-02,15:00:00,Bristol Rvs,Harrogate,0.0,1.0,A,0.0,0.0,D,1.81,3.45,4.14,1.85,3.55,4.5,1634.0,1441.0,193.0,3075.0,0.0628,0,7,13,6,8,0.7778,0.8667,0.6667,0.5333,1,5,1,4,-3,30,30,0,0,0,0,0,0,0,0,1,1,2,0,0,4,1.0,2,2.4,1.8,0.2,0.6,0.5,1.3,1.8,1.0839,0.087,0.0221,0.087,0.3099,17.4,10.6,15.0,14.4,6.8,0.6,3.5,1.1,0,0,1
E3,2025-08-02,15:00:00,Barnet,Fleetwood Town,0.0,2.0,A,0.0,1.0,A,1.96,3.39,3.58,2.05,3.55,3.75,1418.6,1476.8,-58.2,2895.4,0.0201,0,9,13,3,4,1.0,0.8667,0.3333,0.2667,6,9,5,2,3,30,30,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1.0,2,1.8,1.3,0.9,1.0,1.4,1.7,0.8,1.0845,0.0475,0.0459,0.0475,0.0465,12.6,10.8,11.4,10.4,1.8,1.0,1.8,-0.1,0,0,1
E3,2025-08-02,15:00:00,Accrington,Gillingham,1.0,1.0,D,0.0,0.0,D,2.74,3.13,2.51,2.88,3.25,2.73,1425.4,1482.8,-57.3,2908.2,0.0197,0,4,8,7,11,0.4444,0.5333,0.7778,0.7333,-3,-3,0,3,-3,30,30,0,0,0,0,0,0,0,0,1,1,3,4,3,0,0.4,10,1.1,1.4,1.2,1.0,0.9,1.3,0.1,1.0829,0.0876,0.0511,0.0876,0.1812,8.4,11.4,10.1,11.1,-3.0,-1.0,-0.2,0.0,0,1,0
E3,2025-08-02,15:00:00,Chesterfield,Barrow,1.0,0.0,H,1.0,0.0,H,1.64,3.74,4.91,1.67,4.0,5.5,1523.5,1487.6,35.9,3011.2,0.0119,0,7,11,3,7,0.7778,0.7333,0.3333,0.4667,4,4,3,-1,4,30,30,0,0,0,0,0,0,0,0,1,1,2,0,0,2,1.0,2,2.1,2.4,1.2,1.3,1.2,1.2,0.8,1.0808,0.1202,0.0183,0.1202,0.0837,14.1,9.2,11.4,11.6,4.9,-0.2,2.5,-0.5,1,0,0
E3,2025-08-09,12:30:00,Tranmere,Shrewsbury,4.0,0.0,H,2.0,0.0,H,2.05,3.25,3.61,2.15,3.4,4.0,1462.1,1638.8,-176.7,3101.0,0.057,0,7,8,4,7,0.7778,0.5333,0.4444,0.4667,3,1,6,1,5,7,7,0,0,1,1,0,0,0,0,1,2,1,1,0,0,1.0,2,1.6,1.4,1.0,2.1,1.4,0.7,-0.5,1.0725,0.108,0.0488,0.108,-0.1037,11.9,7.9,8.6,7.3,4.0,1.3,-1.6,0.0,1,0,0
E3,2025-08-09,15:00:00,Swindon,Cambridge,3.0,2.0,H,2.0,1.0,H,2.07,3.44,3.27,2.15,3.6,3.4,1520.9,1554.0,-33.1,3074.9,0.0108,0,2,5,6,9,0.2222,0.3333,0.6667,0.6,-4,-4,-1,3,-4,7,7,0,0,1,1,0,0,0,0,1,2,4,1,1,7,0.6666666666666666,6,1.7,1.9,1.5,1.9,2.2,1.7,-0.2,1.0796,0.0465,0.0386,0.0398,0.1054,13.7,8.1,11.2,13.2,5.6,-2.0,1.6,0.3,1,0,0
