Division,MatchDate,MatchTime,HomeTeam,AwayTeam,FTHome,FTAway,FTResult,HTHome,HTAway,HTResult,OddHome,OddDraw,OddAway,MaxHome,MaxDraw,MaxAway,HomeElo,AwayElo,elo_diff,elo_sum,elo_mismatch,elo_mismatch_flag,Form3Home,Form5Home,Form3Away,Form5Away,Form3Home_ratio,Form5Home_ratio,Form3Away_ratio,Form5Away_ratio,form_diff_3,form_diff_5,form_momentum_home,form_momentum_away,form_momentum,home_rest_days,away_rest_days,rest_diff,rest_diff_nonlinear,home_congestion_14d,away_congestion_14d,is_midweek,is_early_kickoff,is_evening_match,winter_period,season_phase,match_week,h2h_home_wins,h2h_away_wins,h2h_draws,h2h_home_goals_diff,h2h_home_venue_record,h2h_matches_count,home_team_home_ppg,home_team_goals_scored_avg,home_team_goals_conceded_avg,away_team_away_ppg,away_team_goals_scored_avg,away_team_goals_conceded_avg,venue_ppg_diff,overround,odds_disagreement,sharp_money_home,sharp_money_away,elo_vs_odds_home,home_shots_avg,home_shots_against_avg,away_shots_avg,away_shots_against_avg,shots_dominance_home,shots_dominance_away,corners_diff,discipline_diff,target_home,target_draw,target_away
EC,2025-08-09,15:00:00,Woking,Carlisle,0.0,2.0,A,0.0,0.0,D,4.36,3.6,1.68,4.6,3.75,1.75,1471.9,1500.0,-28.1,2971.9,0.0095,0,1,2,3,5,0.1111,0.1333,0.3333,0.3333,-2,-3,0,1,-1,30,7,23,2,0,0,0,0,0,0,1,2,0,0,0,0,0.5,0,1.6,1.4,1.3,1.0,1.0,1.4,0.6,1.1024,0.055,0.055,0.0417,0.3519,9.79,9.79,9.79,9.79,0.0,0.0,-0.0,0.02,0,0,1
EC,2025-08-09,15:00:00,Wealdstone,Truro,2.0,0.0,H,1.0,0.0,H,2.29,3.34,2.72,2.33,3.6,2.88,1411.3,1500.0,-88.7,2911.3,0.0305,0,3,5,3,5,0.3333,0.3333,0.3333,0.3333,0,0,1,1,0,30,7,23,2,0,0,0,0,0,0,1,2,0,0,0,0,0.5,0,1.0,0.6,1.4,1.0,1.0,1.4,0.0,1.1037,0.0778,0.0175,0.0588,0.0774,9.79,9.79,9.79,9.79,0.0,0.0,-0.0,0.6,1,0,0
EC,2025-08-09,15:00:00,York,Sutton,2.0,2.0,D,1.0,1.0,D,1.49,4.19,5.34,1.55,4.33,5.75,1576.9,1571.2,5.7,3148.1,0.0018,0,7,11,0,4,0.7778,0.7333,0.0,0.2667,7,7,3,-4,7,30,30,0,0,0,0,0,0,0,0,1,2,0,0,3,0,0.0,3,2.2,1.7,0.5,1.4,1.6,1.6,0.8,1.0971,0.0768,0.0403,0.0768,-0.0045,9.79,9.79,9.79,9.79,0.0,0.0,0.0,-1.6,0,1,0
EC,2025-08-09,15:00:00,Yeovil,Hartlepool,0.0,0.0,D,0.0,0.0,D,2.35,3.28,2.7,2.45,3.5,2.85,1452.8,1490.9,-38.1,2943.7,0.0129,0,7,9,5,5,0.7778,0.6,0.5556,0.3333,2,4,5,5,0,30,30,0,0,0,0,0,0,0,0,1,2,0,4,1,-5,0.0,5,0.8,0.5,1.2,1.4,1.3,1.4,-0.6,1.1008,0.0671,0.0426,0.0556,0.1593,9.79,9.79,9.79,9.79,0.0,0.0,0.0,-0.3,0,1,0
EC,2025-08-09,15:00:00,Tamworth,Scunthorpe,1.0,2.0,A,1.0,2.0,A,2.06,3.42,3.09,2.13,3.6,3.25,1417.3,1365.2,52.1,2782.6,0.0187,0,7,7,0,0,0.7778,0.4667,0.0,0.0,7,7,7,0,7,30,30,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0.5,0,1.7,1.6,1.4,0.5,0.5,1.8,1.2,1.1015,0.0526,0.034,0.0518,0.2281,9.79,9.79,9.79,9.79,0.0,0.0,0.0,-0.3,0,0,1
EC,2025-08-09,15:00:00,Altrincham,Aldershot,3.0,2.0,H,2.0,0.0,H,1.88,3.63,3.38,1.95,3.8,3.6,1542.2,1471.3,70.9,3013.6,0.0235,0,2,8,4,5,0.2222,0.5333,0.4444,0.3333,-2,3,-4,3,-7,30,30,0,0,0,0,0,0,0,0,1,2,4,4,2,1,0.8,10,1.9,1.5,0.8,1.0,1.2,1.7,0.9,1.1033,0.0651,0.0372,0.0651,0.2102,9.79,9.79,9.79,9.79,0.0,0.0,0.0,-0.2,1,0,0
EC,2025-08-09,15:00:00,Gateshead,Southend,0.0,3.0,A,0.0,1.0,A,3.0,3.37,2.12,3.15,3.5,2.2,1600.7,1555.8,44.8,3156.5,0.0142,0,4,10,4,5,0.4444,0.6667,0.4444,0.3333,0,5,-2,3,-5,30,30,0,0,0,0,0,0,0,0,1,2,3,1,1,4,0.5,5,2.4,1.9,0.8,1.6,1.3,0.9,0.8,1.1018,0.05,0.05,0.0377,0.357,9.79,9.79,9.79,9.79,0.0,0.0,0.0,0.0,0,0,1
EC,2025-08-09,15:00:00,Boreham Wood,Rochdale,0.0,2.0,A,0.0,0.0,D,2.87,3.19,2.29,3.1,3.4,2.38,1475.7,1559.2,-83.5,3034.9,0.0275,0,5,8,4,10,0.5556,0.5333,0.4444,0.6667,1,-2,2,-2,4,30,30,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0.0,2,1.3,1.6,1.4,1.7,1.6,1.0,-0.4,1.0986,0.0801,0.0801,0.0393,0.1634,9.79,9.79,9.79,9.79,0.0,0.0,0.0,0.2,0,0,1
EC,2025-08-09,15:00:00,Solihull,Forest Green,2.0,2.0,D,1.0,0.0,H,3.49,3.33,1.94,3.8,3.4,2.05,1553.4,1686.4,-133.1,3239.8,0.0411,0,9,10,9,12,1.0,0.6667,1.0,0.8,0,-2,8,6,2,30,30,0,0,0,0,0,0,0,0,1,2,0,3,0,-3,0.0,3,1.7,1.6,1.5,1.8,1.7,0.9,-0.1,1.1023,0.0888,0.0888,0.0567,0.1503,9.79,9.79,9.79,9.79,0.0,0.0,0.0,0.6,0,1,0
EC,2025-08-09,15:00:00,Braintree Town,Halifax,3.0,0.0,H,2.0,0.0,H,2.16,3.14,3.11,2.25,3.25,3.25,1424.8,1558.1,-133.3,2982.9,0.0447,0,3,6,6,7,0.3333,0.4,0.6667,0.4667,-3,-1,0,5,-5,30,30,0,0,0,0,0,0,0,0,1,2,4,2,3,4,0.6,9,2.0,1.1,0.4,1.7,1.0,0.5,0.3,1.103,0.045,0.0417,0.045,-0.0098,9.79,9.79,9.79,9.79,0.0,0.0,0.0,0.8,1,0,0
