Division,MatchDate,MatchTime,HomeTeam,AwayTeam,FTHome,FTAway,FTResult,HTHome,HTAway,HTResult,OddHome,OddDraw,OddAway,MaxHome,MaxDraw,MaxAway,HomeElo,AwayElo,elo_diff,elo_sum,elo_mismatch,elo_mismatch_flag,Form3Home,Form5Home,Form3Away,Form5Away,Form3Home_ratio,Form5Home_ratio,Form3Away_ratio,Form5Away_ratio,form_diff_3,form_diff_5,form_momentum_home,form_momentum_away,form_momentum,home_rest_days,away_rest_days,rest_diff,rest_diff_nonlinear,home_congestion_14d,away_congestion_14d,is_midweek,is_early_kickoff,is_evening_match,winter_period,season_phase,match_week,h2h_home_wins,h2h_away_wins,h2h_draws,h2h_home_goals_diff,h2h_home_venue_record,h2h_matches_count,home_team_home_ppg,home_team_goals_scored_avg,home_team_goals_conceded_avg,away_team_away_ppg,away_team_goals_scored_avg,away_team_goals_conceded_avg,venue_ppg_diff,overround,odds_disagreement,sharp_money_home,sharp_money_away,elo_vs_odds_home,home_shots_avg,home_shots_against_avg,away_shots_avg,away_shots_against_avg,shots_dominance_home,shots_dominance_away,corners_diff,discipline_diff,target_home,target_draw,target_away
F1,2025-08-15,19:45:00,Rennes,Marseille,1.0,0.0,H,0.0,0.0,D,3.46,3.52,2.04,3.55,3.6,2.1,1579.7,1686.4,-106.7,3266.2,0.0327,0,3,6,7,13,0.3333,0.4,0.7778,0.8667,-4,-7,0,1,-1,30,30,0,0,0,0,0,0,0,0,1,3,3,6,1,-4,0.6,10,1.5,1.1,1.2,1.3,1.2,1.7,0.2,1.0633,0.0294,0.026,0.0294,0.1756,13.0,11.7,14.4,8.8,1.3,5.6,-1.7,-0.1,1,0,0
F1,2025-08-16,16:00:00,Lens,Lyon,0.0,1.0,A,0.0,1.0,A,2.29,3.56,2.87,2.33,3.6,3.0,1630.7,1675.3,-44.5,3306.0,0.0135,0,7,10,3,6,0.7778,0.6667,0.3333,0.4,4,4,4,0,4,30,30,0,0,0,0,0,0,0,0,1,3,4,3,3,3,0.4,10,1.2,1.1,1.5,1.0,1.7,1.9,0.2,1.066,0.0453,0.0175,0.0453,0.127,14.2,11.2,13.9,13.0,3.0,0.9,-0.8,0.3,0,0,1
F1,2025-08-16,18:00:00,Monaco,Le Havre,3.0,1.0,H,1.0,0.0,H,1.33,5.23,8.08,1.36,5.5,8.5,1711.0,1449.4,261.6,3160.5,0.0828,1,6,8,6,7,0.6667,0.5333,0.6667,0.4667,0,1,4,5,-1,30,30,0,0,0,0,0,0,0,0,1,3,3,1,4,5,0.25,8,2.8,2.9,0.8,1.7,1.9,2.0,1.1,1.0668,0.052,0.0226,0.052,0.1661,13.1,9.3,11.6,12.8,3.8,-1.2,2.0,0.6,1,0,0
F1,2025-08-16,20:05:00,Nice,Toulouse,0.0,1.0,A,0.0,0.0,D,2.08,3.34,3.47,2.15,3.4,3.66,1693.6,1562.2,131.4,3255.7,0.0404,0,6,12,7,8,0.6667,0.8,0.7778,0.5333,-1,4,0,6,-6,30,30,0,0,0,0,0,0,0,0,1,3,3,1,6,5,0.4,10,2.2,2.0,0.8,1.5,1.7,1.1,0.7,1.0684,0.0548,0.0337,0.0548,0.3112,16.0,12.7,11.3,11.2,3.3,0.1,1.0,-0.2,0,0,1
F1,2025-08-17,19:45:00,Nantes,Paris SG,0.0,1.0,A,0.0,0.0,D,7.97,5.43,1.32,8.5,5.75,1.36,1493.8,1879.7,-385.9,3373.4,0.1144,1,4,6,6,7,0.4444,0.4,0.6667,0.4667,-2,-1,2,5,-3,30,30,0,0,0,0,0,0,0,0,1,3,2,6,2,-10,0.2,10,1.3,1.1,0.9,2.3,2.7,1.1,-1.0,1.0672,0.0665,0.0665,0.0303,0.0221,9.2,12.6,18.8,8.9,-3.4,9.9,-2.2,1.4,0,0,1
F1,2025-08-17,16:15:00,Metz,Strasbourg,0.0,1.0,A,0.0,0.0,D,3.03,3.38,2.26,3.2,3.45,2.3,1433.4,1637.9,-204.5,3071.3,0.0666,1,0,3,3,7,0.0,0.2,0.3333,0.4667,-3,-4,-3,-1,-2,30,30,0,0,0,0,0,0,0,0,1,3,2,5,3,-4,0.4,10,0.6,1.0,1.9,2.0,1.2,0.5,-1.4,1.0684,0.0561,0.0561,0.0177,0.0067,9.7,16.9,11.0,13.9,-7.2,-2.9,-1.1,0.1,0,0,1
F1,2025-08-17,16:15:00,Auxerre,Lorient,1.0,0.0,H,0.0,0.0,D,2.32,3.35,2.96,2.4,3.5,3.05,1539.5,1477.3,62.2,3016.8,0.0206,0,1,4,3,3,0.1111,0.2667,0.3333,0.2,-2,1,-2,3,-5,30,30,0,0,0,0,0,0,0,0,1,3,4,1,5,5,0.2,10,1.1,1.2,1.2,1.0,1.0,2.2,0.1,1.0674,0.0448,0.0345,0.0304,0.2777,10.8,15.1,14.2,14.7,-4.3,-0.5,-0.7,-0.0,1,0,0
F1,2025-08-17,16:15:00,Angers,Paris FC,1.0,0.0,H,1.0,0.0,H,2.62,3.12,2.74,2.71,3.2,2.8,1431.3,1500.0,-68.7,2931.3,0.0235,0,6,6,3,5,0.6667,0.4,0.3333,0.3333,3,1,6,1,5,30,7,23,2,0,0,0,0,0,0,1,3,0,0,0,0,0.5,0,1.3,0.9,1.5,1.0,1.0,1.4,0.3,1.0672,0.0344,0.0344,0.0219,0.1442,8.0,14.8,12.4,12.4,-6.8,0.0,-0.46,-0.34,1,0,0
F1,2025-08-17,14:00:00,Brest,Lille,3.0,3.0,D,1.0,2.0,A,3.22,3.41,2.16,3.33,3.5,2.2,1599.8,1692.5,-92.7,3292.3,0.0281,0,6,6,4,10,0.6667,0.4,0.4444,0.6667,2,-4,6,-2,8,30,30,0,0,0,0,0,0,0,0,1,3,3,3,4,1,0.6,10,2.0,1.8,1.3,1.1,1.0,1.3,0.9,1.0668,0.0342,0.0342,0.0185,0.1763,12.5,12.5,12.6,8.8,0.0,3.8,-0.9,0.8,0,1,0
F1,2025-08-22,19:45:00,Paris SG,Angers,1.0,0.0,H,0.0,0.0,D,1.08,11.06,24.94,1.1,12.0,31.0,1882.1,1441.9,440.2,3324.0,0.1324,1,9,9,6,9,1.0,0.6,0.6667,0.6,3,0,9,3,6,5,5,0,0,1,1,0,0,0,0,1,4,10,0,0,21,1.0,10,2.5,2.4,1.1,1.0,0.9,1.4,1.5,1.0564,0.243,0.0185,0.243,0.0732,18.7,8.2,8.1,14.6,10.5,-6.5,2.1,-1.0,1,0,0
