Division,MatchDate,MatchTime,HomeTeam,AwayTeam,FTHome,FTAway,FTResult,HTHome,HTAway,HTResult,OddHome,OddDraw,OddAway,MaxHome,MaxDraw,MaxAway,HomeElo,AwayElo,elo_diff,elo_sum,elo_mismatch,elo_mismatch_flag,Form3Home,Form5Home,Form3Away,Form5Away,Form3Home_ratio,Form5Home_ratio,Form3Away_ratio,Form5Away_ratio,form_diff_3,form_diff_5,form_momentum_home,form_momentum_away,form_momentum,home_rest_days,away_rest_days,rest_diff,rest_diff_nonlinear,home_congestion_14d,away_congestion_14d,is_midweek,is_early_kickoff,is_evening_match,winter_period,season_phase,match_week,h2h_home_wins,h2h_away_wins,h2h_draws,h2h_home_goals_diff,h2h_home_venue_record,h2h_matches_count,home_team_home_ppg,home_team_goals_scored_avg,home_team_goals_conceded_avg,away_team_away_ppg,away_team_goals_scored_avg,away_team_goals_conceded_avg,venue_ppg_diff,overround,odds_disagreement,sharp_money_home,sharp_money_away,elo_vs_odds_home,home_shots_avg,home_shots_against_avg,away_shots_avg,away_shots_against_avg,shots_dominance_home,shots_dominance_away,corners_diff,discipline_diff,target_home,target_draw,target_away
FIN,2025-04-05,17:00,Haka,Gnistan,3.0,2.0,H,,,,3.06,3.37,2.27,3.22,3.5,2.37,1609.6,1547.0,62.6,3156.7,0.0198,0,7,11,2,5,0.7778,0.7333,0.2222,0.3333,5,6,3,-1,4,30,30,0,0,0,0,0,0,0,0,3,36,1,1,1,2,0.0,3,1.1,1.5,1.7,1.2,1.3,1.6,-0.1,1.0641,0.0523,0.0523,0.0441,0.375,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
FIN,2025-04-05,13:00,Ilves,HJK,3.0,2.0,H,,,,2.49,3.26,2.8,2.65,3.35,3.05,1749.2,1724.5,24.7,3473.8,0.0071,0,9,15,9,9,1.0,1.0,1.0,0.6,0,6,3,9,-6,30,30,0,0,0,0,0,1,0,0,3,36,3,5,2,0,0.4,10,2.8,2.8,0.6,1.9,1.9,0.9,0.9,1.0655,0.0893,0.0643,0.0893,0.2561,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
FIN,2025-04-05,15:00,Inter Turku,KuPS,1.0,1.0,D,,,,2.63,3.29,2.62,2.72,3.41,2.72,1599.9,1773.0,-173.2,3372.9,0.0513,0,1,5,4,10,0.1111,0.3333,0.4444,0.6667,-3,-5,-3,-2,-1,30,30,0,0,0,0,0,0,0,0,3,36,4,4,2,-2,0.0,10,1.8,2.1,1.2,1.5,1.3,1.2,0.3,1.0659,0.0382,0.0342,0.0382,-0.001,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0
FIN,2025-04-05,15:00,KTP,SJK,0.0,1.0,A,,,,3.83,3.68,1.88,4.13,4.04,1.97,1329.8,1611.7,-281.9,2941.5,0.0958,1,0,0,7,8,0.0,0.0,0.7778,0.5333,-7,-8,0,6,-6,30,30,0,0,0,0,0,0,0,0,3,36,1,5,3,-6,0.0,9,0.6,0.9,2.0,1.2,1.2,1.7,-0.6,1.0648,0.0978,0.0783,0.0479,-0.0172,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1
FIN,2025-04-05,15:00,Mariehamn,Jaro,0.0,2.0,A,,,,2.28,3.16,3.24,2.38,3.25,3.44,1434.9,1443.4,-8.5,2878.3,0.0029,0,1,4,3,7,0.1111,0.2667,0.3333,0.4667,-2,-3,-2,-1,-1,30,30,0,0,0,0,0,0,0,0,3,36,4,2,4,2,0.6,10,0.9,0.6,1.2,0.2,0.1,1.5,0.7,1.0637,0.0617,0.0439,0.0617,0.1753,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1
FIN,2025-04-05,15:00,VPS,AC Oulu,4.0,3.0,H,,,,1.75,3.68,4.47,1.81,3.88,4.62,1587.7,1493.3,94.3,3081.0,0.0306,0,2,5,3,6,0.2222,0.3333,0.3333,0.4,-1,-1,-1,0,-1,30,30,0,0,0,0,0,0,0,0,3,36,6,1,3,17,0.6,10,1.0,1.2,1.6,0.6,1.0,2.2,0.4,1.0669,0.0543,0.0343,0.0336,0.1847,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
FIN,2025-04-11,18:00,SJK,HJK,1.0,0.0,H,,,,3.08,3.62,2.15,3.32,3.84,2.23,1615.9,1716.7,-100.8,3332.6,0.0302,0,9,10,6,9,1.0,0.6667,0.6667,0.6,3,1,8,3,5,6,6,0,0,1,1,0,0,0,0,3,37,0,6,4,-10,0.0,10,1.7,2.2,1.8,1.6,1.7,1.2,0.1,1.066,0.0779,0.0779,0.0372,0.1513,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
FIN,2025-04-11,16:00,KTP,VPS,2.0,2.0,D,,,,3.43,3.59,2.02,3.66,3.8,2.07,1325.6,1593.7,-268.1,2919.3,0.0918,1,0,0,4,5,0.0,0.0,0.4444,0.3333,-4,-5,0,3,-3,6,6,0,0,1,1,0,0,0,0,3,37,4,1,3,3,0.6666666666666666,8,0.3,0.7,2.1,0.8,1.3,2.0,-0.5,1.0651,0.0671,0.0671,0.0248,-0.0315,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0
FIN,2025-04-12,13:00,Haka,Mariehamn,0.0,1.0,A,,,,1.82,3.62,4.15,1.88,3.88,4.49,1616.5,1419.0,197.5,3035.5,0.0651,0,9,13,1,4,1.0,0.8667,0.1111,0.2667,8,9,5,-2,7,7,7,0,0,1,1,0,1,0,0,3,37,4,4,2,2,0.6,10,1.3,1.6,1.7,0.3,0.6,2.2,1.0,1.0667,0.0819,0.033,0.0819,0.3083,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1
FIN,2025-04-12,12:30,Ilves,Jaro,2.0,1.0,H,,,,1.36,4.75,8.26,1.41,5.4,9.18,1757.1,1459.3,297.8,3216.4,0.0926,1,9,15,6,9,1.0,1.0,0.6667,0.6,3,6,3,3,0,7,7,0,0,1,1,0,1,0,0,3,37,1,2,0,-4,1.0,3,2.8,2.8,0.8,0.5,0.3,1.4,2.3,1.0669,0.1368,0.0368,0.1114,0.2033,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
FIN,2025-04-12,15:00,Inter Turku,Gnistan,3.0,0.0,H,,,,1.73,3.79,4.42,1.76,4.0,4.61,1603.2,1540.2,63.0,3143.4,0.02,0,2,3,1,5,0.2222,0.2,0.1111,0.3333,1,-2,1,-3,4,7,7,0,0,1,1,0,0,0,0,3,37,1,2,1,-1,0.5,4,1.8,2.0,1.1,1.2,1.4,1.6,0.6,1.0681,0.0554,0.0173,0.043,0.1414,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
FIN,2025-04-12,17:23,KuPS,AC Oulu,1.0,0.0,H,,,,1.56,3.95,5.82,1.61,4.4,6.4,1769.7,1487.3,282.4,3257.0,0.0867,1,2,8,2,3,0.2222,0.5333,0.2222,0.2,0,5,-4,1,-5,7,7,0,0,1,1,0,0,0,0,3,37,9,1,0,17,1.0,10,2.4,1.9,0.7,0.6,1.2,2.2,1.8,1.066,0.1139,0.0321,0.0997,0.2824,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
FIN,2025-04-19,13:00,VPS,Inter Turku,0.0,2.0,A,,,,2.97,3.49,2.25,3.11,3.68,2.32,1588.2,1615.0,-26.8,3203.2,0.0084,0,4,6,4,5,0.4444,0.4,0.4444,0.3333,0,1,2,3,-1,8,7,1,0,2,2,0,1,0,0,3,38,6,2,2,13,0.6,10,1.2,1.5,1.8,1.4,1.3,0.6,-0.2,1.0677,0.0544,0.0471,0.0311,0.2464,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1
