Division,MatchDate,MatchTime,HomeTeam,AwayTeam,FTHome,FTAway,FTResult,HTHome,HTAway,HTResult,OddHome,OddDraw,OddAway,MaxHome,MaxDraw,MaxAway,HomeElo,AwayElo,elo_diff,elo_sum,elo_mismatch,elo_mismatch_flag,Form3Home,Form5Home,Form3Away,Form5Away,Form3Home_ratio,Form5Home_ratio,Form3Away_ratio,Form5Away_ratio,form_diff_3,form_diff_5,form_momentum_home,form_momentum_away,form_momentum,home_rest_days,away_rest_days,rest_diff,rest_diff_nonlinear,home_congestion_14d,away_congestion_14d,is_midweek,is_early_kickoff,is_evening_match,winter_period,season_phase,match_week,h2h_home_wins,h2h_away_wins,h2h_draws,h2h_home_goals_diff,h2h_home_venue_record,h2h_matches_count,home_team_home_ppg,home_team_goals_scored_avg,home_team_goals_conceded_avg,away_team_away_ppg,away_team_goals_scored_avg,away_team_goals_conceded_avg,venue_ppg_diff,overround,odds_disagreement,sharp_money_home,sharp_money_away,elo_vs_odds_home,home_shots_avg,home_shots_against_avg,away_shots_avg,away_shots_against_avg,shots_dominance_home,shots_dominance_away,corners_diff,discipline_diff,target_home,target_draw,target_away
G1,2025-08-23,18:00:00,Olympiakos,Asteras Tripolis,2.0,0.0,H,0.0,0.0,D,1.19,5.8,12.75,1.23,6.25,15.0,1953.6,1513.8,439.9,3467.4,0.1269,1,9,12,3,9,1.0,0.8,0.3333,0.6,6,3,6,-3,9,30,30,0,0,0,0,0,0,0,0,1,4,7,0,3,19,0.8,10,2.6,2.0,0.8,1.3,1.2,1.4,1.3,1.0912,0.1765,0.0336,0.1765,0.1794,11.8,8.3,9.8,12.9,3.5,-3.1,-0.3,-0.6,1,0,0
G1,2025-08-23,20:00:00,Panetolikos,Atromitos,0.0,2.0,A,0.0,1.0,A,2.87,2.97,2.45,3.1,3.1,2.57,1496.0,1558.3,-62.3,3054.3,0.0204,0,6,7,5,5,0.6667,0.4667,0.5556,0.3333,1,2,5,5,0,30,30,0,0,0,0,0,0,0,0,1,4,5,4,1,1,0.6666666666666666,10,1.0,0.5,1.0,1.8,1.5,1.1,-0.8,1.0933,0.0801,0.0801,0.049,0.1923,10.8,13.9,11.9,12.8,-3.1,-0.9,0.2,-0.2,0,0,1
G1,2025-08-23,18:00:00,Aris,Volos NFC,2.0,0.0,H,0.0,0.0,D,1.67,3.66,4.55,1.7,4.0,5.0,1695.2,1507.1,188.1,3202.3,0.0587,0,5,11,6,9,0.5556,0.7333,0.6667,0.6,-1,2,-1,3,-4,30,30,0,0,0,0,0,0,0,0,1,4,6,3,1,8,0.6,10,2.3,1.4,0.6,1.1,1.1,1.6,1.2,1.0918,0.0989,0.018,0.0989,0.267,12.3,10.4,13.6,7.6,1.9,6.0,-1.8,-1.4,1,0,0
G1,2025-08-24,18:15:00,AEK,Panserraikos,2.0,0.0,H,2.0,0.0,H,1.21,5.74,11.13,1.24,6.33,13.0,1817.2,1469.2,348.0,3286.4,0.1059,1,0,0,1,4,0.0,0.0,0.1111,0.2667,-1,-4,0,-2,2,30,30,0,0,0,0,0,0,0,0,1,4,4,0,3,13,0.5,7,1.6,1.8,1.0,0.4,0.6,2.1,1.2,1.0905,0.168,0.0248,0.168,0.1595,13.4,7.0,12.6,12.4,6.4,0.2,0.3,-0.1,1,0,0
G1,2025-08-24,19:00:00,PAOK,Larisa,1.0,0.0,H,0.0,0.0,D,1.24,5.48,10.19,1.29,6.0,11.5,1850.2,1483.7,366.4,3333.9,0.1099,1,6,9,3,7,0.6667,0.6,0.3333,0.4667,3,2,3,-1,4,30,30,0,0,0,0,0,0,0,0,1,4,7,0,3,11,1.0,10,2.2,2.2,0.8,1.1,0.9,1.2,1.1,1.0871,0.1286,0.0403,0.1286,0.1831,10.7,9.5,7.6,8.0,1.2,-0.4,1.1,-1.7,1,0,0
G1,2025-08-25,17:30:00,Levadeiakos,Kifisia,3.0,2.0,H,2.0,2.0,D,1.86,3.27,4.04,1.9,3.4,4.5,1548.6,1434.3,114.3,2982.9,0.0383,0,6,10,3,6,0.6667,0.6667,0.3333,0.4,3,4,2,0,2,30,30,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0.5,0,1.3,1.5,1.0,1.2,1.3,2.1,0.1,1.091,0.1139,0.0215,0.1139,0.2501,13.9,9.2,13.7,13.3,4.7,0.4,-1.3,-0.9,1,0,0
G1,2025-08-30,19:00:00,Aris,Panetolikos,0.0,2.0,A,0.0,0.0,D,1.45,4.04,6.37,1.49,4.33,7.0,1700.8,1482.1,218.7,3182.9,0.0687,1,7,11,6,7,0.7778,0.7333,0.6667,0.4667,1,4,3,5,-2,7,7,0,0,1,1,0,0,0,0,1,5,7,2,1,12,0.8,10,2.3,1.4,0.5,1.2,0.8,1.0,1.1,1.0942,0.0989,0.0276,0.0989,0.2102,12.7,10.1,10.0,13.9,2.6,-3.9,1.3,-0.2,0,0,1
G1,2025-08-30,19:30:00,Larisa,Kifisia,1.0,1.0,D,0.0,0.0,D,2.15,3.05,3.35,2.2,3.2,3.75,1482.1,1428.8,53.3,2910.9,0.0183,0,3,4,0,3,0.3333,0.2667,0.0,0.2,3,1,2,-3,5,6,5,1,0,1,1,0,0,0,0,1,5,0,0,0,0,0.5,0,0.9,0.7,1.1,1.1,1.4,2.3,-0.2,1.0915,0.1194,0.0233,0.1194,0.2442,7.5,9.1,13.2,12.9,-1.6,0.3,-0.9,0.9,0,1,0
G1,2025-08-30,17:30:00,Panserraikos,OFI Crete,0.0,1.0,A,0.0,0.0,D,2.9,3.33,2.24,3.1,3.55,2.3,1466.6,1528.8,-62.2,2995.5,0.0208,0,1,4,2,2,0.1111,0.2667,0.2222,0.1333,-1,2,-2,2,-4,6,30,-24,-2,1,0,0,0,0,0,1,5,1,2,1,-4,0.5,4,1.6,1.5,1.2,0.9,0.9,1.1,0.7,1.0916,0.069,0.069,0.0268,0.1953,12.4,13.8,11.8,14.8,-1.4,-3.0,-0.1,0.2,0,0,1
G1,2025-08-30,17:00:00,Volos NFC,Olympiakos,0.0,2.0,A,0.0,0.0,D,12.5,5.24,1.22,15.0,5.6,1.25,1501.5,1955.2,-453.7,3456.7,0.1312,1,3,6,9,15,0.3333,0.4,1.0,1.0,-6,-9,0,3,-3,7,7,0,0,1,1,0,0,0,0,1,5,0,8,2,-21,0.0,10,1.1,1.1,1.1,2.5,1.7,0.4,-1.4,1.0905,0.2,0.2,0.0246,0.0256,12.9,8.5,12.0,8.1,4.4,3.9,1.0,1.5,0,0,1
