Division,MatchDate,MatchTime,HomeTeam,AwayTeam,FTHome,FTAway,FTResult,HTHome,HTAway,HTResult,OddHome,OddDraw,OddAway,MaxHome,MaxDraw,MaxAway,HomeElo,AwayElo,elo_diff,elo_sum,elo_mismatch,elo_mismatch_flag,Form3Home,Form5Home,Form3Away,Form5Away,Form3Home_ratio,Form5Home_ratio,Form3Away_ratio,Form5Away_ratio,form_diff_3,form_diff_5,form_momentum_home,form_momentum_away,form_momentum,home_rest_days,away_rest_days,rest_diff,rest_diff_nonlinear,home_congestion_14d,away_congestion_14d,is_midweek,is_early_kickoff,is_evening_match,winter_period,season_phase,match_week,h2h_home_wins,h2h_away_wins,h2h_draws,h2h_home_goals_diff,h2h_home_venue_record,h2h_matches_count,home_team_home_ppg,home_team_goals_scored_avg,home_team_goals_conceded_avg,away_team_away_ppg,away_team_goals_scored_avg,away_team_goals_conceded_avg,venue_ppg_diff,overround,odds_disagreement,sharp_money_home,sharp_money_away,elo_vs_odds_home,home_shots_avg,home_shots_against_avg,away_shots_avg,away_shots_against_avg,shots_dominance_home,shots_dominance_away,corners_diff,discipline_diff,target_home,target_draw,target_away
I1,2025-08-23,17:30:00,Sassuolo,Napoli,0.0,2.0,A,0.0,1.0,A,6.08,4.02,1.54,6.5,4.2,1.58,1471.9,1784.2,-312.2,3256.1,0.0959,1,1,4,5,11,0.1111,0.2667,0.5556,0.7333,-4,-7,-2,-1,-1,30,30,0,0,0,0,0,0,0,0,1,4,1,7,2,-19,0.0,10,1.2,1.1,1.9,1.7,1.3,0.8,-0.5,1.0626,0.0691,0.0691,0.026,0.0439,9.8,12.9,12.5,9.8,-3.1,2.7,0.9,0.7,0,0,1
I1,2025-08-23,19:45:00,Roma,Bologna,1.0,0.0,H,0.0,0.0,D,2.1,3.28,3.56,2.15,3.4,3.65,1753.8,1688.1,65.7,3441.9,0.0191,0,6,12,0,2,0.6667,0.8,0.0,0.1333,6,10,0,-2,2,30,30,0,0,0,0,0,0,0,0,1,4,3,4,3,0,0.4,10,2.6,1.9,0.5,1.0,0.9,1.4,1.6,1.062,0.0366,0.0238,0.0253,0.2375,12.6,12.8,12.4,7.1,-0.2,5.3,-1.6,-0.6,1,0,0
I1,2025-08-23,19:45:00,Milan,Cremonese,1.0,2.0,A,1.0,1.0,D,1.34,5.09,8.57,1.36,5.3,9.5,1729.1,1467.6,261.5,3196.7,0.0818,1,6,12,3,6,0.6667,0.8,0.3333,0.4,3,6,0,0,0,30,30,0,0,0,0,0,0,0,0,1,4,0,0,2,0,0.0,2,1.8,1.6,1.1,0.7,1.2,2.1,1.1,1.0594,0.1085,0.0149,0.1085,0.1664,13.6,12.0,10.9,16.1,1.6,-5.2,1.5,0.3,0,0,1
I1,2025-08-23,17:30:00,Genoa,Lecce,0.0,0.0,D,0.0,0.0,D,1.91,3.28,4.29,1.95,3.4,4.5,1572.6,1481.6,91.1,3054.2,0.0298,0,4,4,7,8,0.4444,0.2667,0.7778,0.5333,-3,-4,4,6,-2,30,30,0,0,0,0,0,0,0,0,1,4,5,1,4,6,0.8,10,1.6,1.3,1.1,1.2,1.2,1.3,0.4,1.0615,0.049,0.0209,0.049,0.2233,8.2,13.3,13.2,14.1,-5.1,-0.9,-1.7,0.1,0,1,0
I1,2025-08-24,19:45:00,Atalanta,Pisa,1.0,1.0,D,0.0,1.0,A,1.38,4.86,7.63,1.41,5.1,8.0,1782.4,1500.0,282.4,3282.4,0.086,1,6,10,3,5,0.6667,0.6667,0.3333,0.3333,3,5,2,1,1,30,7,23,2,0,0,0,0,0,0,1,4,0,0,0,0,0.5,0,1.0,1.0,1.2,1.0,1.0,1.4,0.0,1.0615,0.0494,0.0217,0.0485,0.2011,12.6,12.1,11.53,11.53,0.5,0.0,1.27,-0.28,0,1,0
I1,2025-08-24,17:30:00,Cagliari,Fiorentina,1.0,1.0,D,0.0,0.0,D,3.17,3.27,2.25,3.33,3.33,2.3,1502.4,1704.3,-201.9,3206.7,0.063,1,3,6,6,9,0.3333,0.4,0.6667,0.6,-3,-3,0,3,-3,30,30,0,0,0,0,0,0,0,0,1,4,1,6,3,-7,0.2,10,1.3,1.6,1.3,1.0,1.3,1.6,0.3,1.0657,0.0505,0.0505,0.0222,0.0228,9.2,11.7,10.8,10.5,-2.5,0.3,0.7,-0.6,0,1,0
I1,2025-08-24,17:30:00,Como,Lazio,2.0,0.0,H,0.0,0.0,D,2.44,3.29,2.86,2.5,3.35,3.0,1562.0,1701.2,-139.2,3263.1,0.0427,0,4,10,2,6,0.4444,0.6667,0.2222,0.4,2,4,-2,-2,0,30,30,0,0,0,0,0,0,0,0,1,4,0,3,1,-9,0.0,4,1.7,1.5,1.1,2.0,1.3,1.1,-0.3,1.0634,0.049,0.0246,0.049,0.0163,15.0,10.8,13.8,8.8,4.2,5.0,-1.4,-1.1,1,0,0
I1,2025-08-24,19:45:00,Juventus,Parma,2.0,0.0,H,0.0,0.0,D,1.42,4.58,7.26,1.44,4.75,8.0,1755.3,1485.0,270.2,3240.3,0.0834,1,7,11,4,5,0.7778,0.7333,0.4444,0.3333,3,6,3,3,0,30,30,0,0,0,0,0,0,0,0,1,4,6,2,2,14,0.6,10,2.5,1.8,0.8,0.7,1.0,1.4,1.8,1.0603,0.1019,0.0141,0.1019,0.2122,13.2,10.8,9.2,12.3,2.4,-3.1,2.5,0.2,1,0,0
I1,2025-08-25,19:45:00,Inter,Torino,5.0,0.0,H,2.0,0.0,H,1.41,4.67,7.28,1.44,4.9,8.0,1876.6,1589.4,287.2,3466.0,0.0829,1,7,10,0,1,0.7778,0.6667,0.0,0.0667,7,9,4,-1,5,30,30,0,0,0,0,0,0,0,0,1,4,9,0,1,14,1.0,10,2.3,1.9,1.1,0.8,1.1,1.4,1.5,1.0607,0.0989,0.0213,0.0989,0.2179,12.7,12.7,11.3,12.2,0.0,-0.9,-0.3,0.2,1,0,0
I1,2025-08-25,17:30:00,Udinese,Verona,1.0,1.0,D,0.0,0.0,D,1.95,3.33,3.95,2.0,3.5,4.1,1524.5,1494.7,29.8,3019.3,0.0099,0,0,4,5,5,0.0,0.2667,0.5556,0.3333,-5,-1,-4,5,-9,30,30,0,0,0,0,0,0,0,0,1,4,2,4,4,-4,0.2,10,1.1,1.1,1.4,1.1,0.6,1.0,0.0,1.0663,0.0511,0.0256,0.038,0.1588,11.5,13.1,8.7,9.0,-1.6,-0.3,0.4,0.0,0,1,0
I1,2025-08-29,17:30:00,Cremonese,Sassuolo,3.0,2.0,H,2.0,0.0,H,2.55,3.2,2.82,2.6,3.25,2.9,1484.7,1467.0,17.7,2951.6,0.006,0,6,6,1,4,0.6667,0.4,0.1111,0.2667,5,2,6,-2,8,6,6,0,0,1,1,0,0,0,0,1,5,0,1,1,-1,0.0,2,1.3,1.1,1.6,0.2,0.7,2.3,1.1,1.0593,0.0284,0.0196,0.0284,0.2534,9.6,17.2,9.7,13.2,-7.6,-3.5,-2.1,-0.6,1,0,0
I1,2025-08-29,19:45:00,Lecce,Milan,0.0,2.0,A,0.0,0.0,D,6.03,3.94,1.57,6.5,4.0,1.6,1485.3,1712.0,-226.7,3197.3,0.0709,1,7,8,3,9,0.7778,0.5333,0.3333,0.6,4,-1,6,-3,9,6,6,0,0,1,1,0,0,0,0,1,5,0,7,3,-15,0.0,10,0.6,0.4,1.4,1.5,1.7,1.4,-0.9,1.0566,0.0779,0.0779,0.0191,0.1316,12.4,13.8,15.1,10.9,-1.4,4.2,0.1,0.0,0,0,1
I1,2025-08-30,19:45:00,Pisa,Roma,0.0,1.0,A,0.0,0.0,D,4.96,3.69,1.7,5.33,3.9,1.75,1507.3,1760.7,-253.4,3268.1,0.0775,1,1,1,9,12,0.1111,0.0667,1.0,0.8,-8,-11,1,6,-5,6,7,-1,0,1,1,0,0,0,0,1,5,0,0,0,0,0.5,0,1.5,1.3,1.1,2.3,1.3,0.6,-0.8,1.0609,0.0746,0.0746,0.0294,0.0681,11.0,21.0,12.7,12.7,-10.0,0.0,-0.3,-1.5,0,0,1
I1,2025-08-30,17:30:00,Bologna,Como,1.0,0.0,H,0.0,0.0,D,2.42,3.14,3.04,2.57,3.25,3.1,1681.2,1579.9,101.2,3261.1,0.031,0,0,1,4,10,0.0,0.0667,0.4444,0.6667,-4,-9,-1,-2,1,7,6,1,0,1,1,0,0,0,0,1,5,2,1,1,-1,1.0,4,2.3,2.1,1.0,1.4,1.3,1.1,0.9,1.0606,0.062,0.062,0.0197,0.3386,12.1,7.8,15.4,10.4,4.3,5.0,1.7,-0.2,1,0,0
I1,2025-08-30,19:45:00,Napoli,Cagliari,1.0,0.0,H,0.0,0.0,D,1.3,5.23,10.34,1.33,5.6,11.0,1789.2,1506.7,282.5,3295.9,0.0857,1,7,11,4,4,0.7778,0.7333,0.4444,0.2667,3,7,3,4,-1,7,6,1,0,1,1,0,0,0,0,1,5,6,1,3,12,0.6,10,2.4,1.9,0.7,0.6,0.6,1.4,1.8,1.0571,0.0707,0.0231,0.0638,0.1561,12.3,9.2,9.5,10.8,3.1,-1.3,0.1,-0.6,1,0,0
I1,2025-08-30,17:30:00,Parma,Atalanta,1.0,1.0,D,0.0,0.0,D,3.82,3.49,1.96,4.1,3.55,2.08,1481.0,1775.1,-294.0,3256.1,0.0903,1,4,4,4,10,0.4444,0.2667,0.4444,0.6667,0,-6,4,-2,6,6,6,0,0,1,1,0,0,0,0,1,5,1,8,1,-19,0.0,10,1.3,1.1,1.1,2.3,2.5,0.5,-1.0,1.0585,0.0733,0.0733,0.0612,-0.0314,8.6,13.6,13.1,11.8,-5.0,1.3,-3.2,0.7,0,1,0
I1,2025-08-31,19:45:00,Lazio,Verona,4.0,0.0,H,3.0,0.0,H,1.45,4.41,6.9,1.48,4.75,7.5,1683.2,1496.9,186.3,3180.1,0.0586,0,1,5,5,6,0.1111,0.3333,0.5556,0.4,-4,-1,-3,4,-7,7,6,1,0,1,1,0,0,0,0,1,5,5,2,3,4,0.6,10,1.0,1.5,1.3,1.2,0.7,0.9,-0.2,1.0613,0.087,0.0207,0.087,0.1641,13.6,9.4,8.9,9.3,4.2,-0.4,2.0,1.0,1,0,0
I1,2025-08-31,17:30:00,Torino,Fiorentina,0.0,0.0,D,0.0,0.0,D,3.13,3.15,2.36,3.2,3.25,2.41,1583.6,1700.0,-116.4,3283.6,0.0354,0,0,1,7,7,0.0,0.0667,0.7778,0.4667,-7,-6,-1,7,-8,6,7,-1,0,1,1,0,0,0,0,1,5,2,4,4,1,0.2,10,1.6,1.1,0.9,1.1,1.3,1.5,0.5,1.0607,0.0317,0.0224,0.0212,0.1324,11.2,12.6,10.3,10.8,-1.4,-0.5,1.2,-0.5,0,1,0
I1,2025-08-31,17:30:00,Genoa,Juventus,0.0,1.0,A,0.0,0.0,D,4.38,3.36,1.86,4.5,3.5,1.91,1569.0,1759.2,-190.3,3328.2,0.0572,0,4,5,9,11,0.4444,0.3333,1.0,0.7333,-5,-6,3,7,-4,8,7,1,0,1,1,0,0,0,0,1,5,1,7,2,-12,0.2,10,1.7,1.2,0.9,1.3,1.1,1.3,0.4,1.0636,0.0417,0.0274,0.0269,0.1188,7.9,12.5,14.6,10.7,-4.6,3.9,-2.2,-0.8,0,0,1
I1,2025-08-31,19:45:00,Inter,Udinese,1.0,2.0,A,1.0,2.0,A,1.31,5.31,9.22,1.33,5.5,10.0,1882.3,1522.4,359.9,3404.7,0.1057,1,7,13,1,4,0.7778,0.8667,0.1111,0.2667,6,9,1,-2,3,6,6,0,0,1,1,0,0,0,0,1,5,8,1,1,14,1.0,10,2.5,2.2,0.9,0.9,0.7,1.4,1.6,1.0601,0.0846,0.0153,0.0846,0.2023,13.3,12.3,11.8,13.3,1.0,-1.5,-0.1,-0.6,0,0,1
I1,2025-09-13,14:00:00,Cagliari,Parma,2.0,0.0,H,1.0,0.0,H,2.17,3.21,3.49,2.25,3.3,3.6,1504.1,1487.2,16.9,2991.3,0.0056,0,1,4,4,5,0.1111,0.2667,0.4444,0.3333,-3,-1,-2,3,-5,14,14,0,0,1,1,0,0,0,0,1,7,6,1,3,8,0.8,10,1.4,1.7,1.1,0.7,1.0,1.5,0.7,1.0589,0.0369,0.0369,0.0315,0.1873,9.4,11.6,8.3,14.1,-2.2,-5.8,0.6,-0.5,1,0,0
I1,2025-09-13,19:45:00,Fiorentina,Napoli,1.0,3.0,A,0.0,2.0,A,3.43,3.14,2.22,3.65,3.45,2.3,1698.0,1791.8,-93.8,3489.8,0.0269,0,5,8,9,11,0.5556,0.5333,1.0,0.7333,-4,-3,2,7,-5,13,14,-1,0,1,1,0,0,0,0,1,7,2,6,2,-11,0.0,10,2.3,1.6,0.7,1.7,1.2,0.8,0.6,1.0605,0.0987,0.0641,0.036,0.1909,10.7,10.6,13.5,8.5,0.1,5.0,-1.7,1.2,0,0,1
I1,2025-09-13,17:00:00,Juventus,Inter,4.0,3.0,H,2.0,1.0,H,2.72,3.03,2.77,2.83,3.35,2.85,1765.3,1864.1,-98.8,3629.4,0.0272,0,9,13,6,10,1.0,0.8667,0.6667,0.6667,3,3,5,2,3,13,13,0,0,1,1,0,0,0,0,1,7,4,3,3,1,0.6,10,2.7,1.8,0.6,1.5,1.4,0.9,1.2,1.0587,0.1056,0.0404,0.0289,0.1114,15.0,10.8,13.6,12.2,4.2,1.4,0.2,0.9,1,0,0
I1,2025-09-14,17:00:00,Sassuolo,Lazio,1.0,0.0,H,0.0,0.0,D,3.49,3.49,2.04,3.66,3.6,2.12,1458.7,1691.5,-232.8,3150.3,0.0739,1,1,1,3,5,0.1111,0.0667,0.3333,0.3333,-2,-4,1,1,0,16,14,2,0,0,1,0,0,0,0,1,7,3,6,1,-5,0.4,10,0.9,1.0,2.1,2.0,1.3,1.1,-1.1,1.0633,0.0487,0.0487,0.0392,0.012,9.2,13.1,14.2,9.9,-3.9,4.3,-1.6,-0.6,1,0,0
