Division,MatchDate,MatchTime,HomeTeam,AwayTeam,FTHome,FTAway,FTResult,HTHome,HTAway,HTResult,OddHome,OddDraw,OddAway,MaxHome,MaxDraw,MaxAway,OddUnder25,OddOver25,MaxUnder25,MaxOver25,HomeElo,AwayElo,elo_diff,elo_sum,elo_mismatch,elo_mismatch_flag,Form3Home,Form5Home,Form3Away,Form5Away,Form3Home_ratio,Form5Home_ratio,Form3Away_ratio,Form5Away_ratio,form_diff_3,form_diff_5,form_momentum_home,form_momentum_away,form_momentum,home_rest_days,away_rest_days,rest_diff,rest_diff_nonlinear,home_congestion_14d,away_congestion_14d,is_midweek,is_early_kickoff,is_evening_match,winter_period,season_phase,match_week,h2h_home_wins,h2h_away_wins,h2h_draws,h2h_home_goals_diff,h2h_home_venue_record,h2h_matches_count,home_team_home_ppg,home_team_goals_scored_avg,home_team_goals_conceded_avg,away_team_away_ppg,away_team_goals_scored_avg,away_team_goals_conceded_avg,venue_ppg_diff,overround,odds_disagreement,sharp_money_home,sharp_money_away,elo_vs_odds_home,home_shots_avg,home_shots_against_avg,away_shots_avg,away_shots_against_avg,shots_dominance_home,shots_dominance_away,corners_diff,discipline_diff,target_home,target_draw,target_away,target_UNDER25
N1,2025-08-08,19:00:00,For Sittard,Go Ahead Eagles,2.0,2.0,D,1.0,1.0,D,2.66,3.44,2.5,2.7,3.6,2.55,2.05,1.71,2.1,1.74,1487.9,1576.0,-88.1,3063.9,0.0288,0,5,8,4,5,0.5556,0.5333,0.4444,0.3333,1,3,2,3,-1,30,30,0,0,0,0,0,0,0,0,1,2,2,5,1,-8,0.25,8,1.3,0.7,1.6,1.0,1.8,2.1,0.3,1.0666,0.0465,0.015,0.02,0.1215,9.1,10.3,15.3,17.4,-1.2,-2.1,-1.8,0.8,0,1,0,0
N1,2025-08-09,17:45:00,Feyenoord,NAC Breda,2.0,0.0,H,1.0,0.0,H,1.16,7.56,13.94,1.18,8.5,15.0,2.82,1.39,3.1,1.43,1842.3,1403.1,439.1,3245.4,0.1353,1,3,9,1,2,0.3333,0.6,0.1111,0.1333,2,7,-3,0,-3,30,30,0,0,0,0,0,0,0,0,1,2,6,2,2,11,0.8,10,2.2,2.6,1.1,0.5,0.8,2.0,1.7,1.0661,0.1243,0.0172,0.076,0.1407,14.2,11.6,11.9,11.9,2.6,0.0,-1.0,-0.7,1,0,0,1
N1,2025-08-09,19:00:00,Heerenveen,Volendam,1.0,1.0,D,1.0,0.0,H,1.57,4.03,5.4,1.6,4.2,5.6,2.08,1.68,2.14,1.71,1526.4,1345.6,180.7,2872.0,0.0629,0,3,9,0,0,0.3333,0.6,0.0,0.0,3,9,-3,0,-3,30,30,0,0,0,0,0,0,0,0,1,2,7,1,0,10,0.75,8,2.1,1.8,1.1,0.7,1.1,2.4,1.4,1.0703,0.0422,0.0191,0.037,0.2138,13.0,13.1,11.4,19.7,-0.1,-8.3,1.1,-1.2,0,1,0,1
N1,2025-08-09,15:30:00,Nijmegen,Excelsior,5.0,0.0,H,1.0,0.0,H,1.75,3.73,4.39,1.8,4.0,4.5,1.98,1.76,2.08,1.82,1596.2,1428.6,167.7,3024.8,0.0554,0,9,10,3,7,1.0,0.6667,0.3333,0.4667,6,3,8,-1,9,30,30,0,0,0,0,0,0,0,0,1,2,5,3,2,7,0.4,10,1.4,2.2,1.7,0.1,1.1,3.3,1.3,1.0673,0.0724,0.0286,0.0251,0.2617,12.5,15.2,11.9,16.5,-2.7,-4.6,-1.2,1.1,1,0,0,0
N1,2025-08-09,20:00:00,PSV Eindhoven,Sparta Rotterdam,6.0,1.0,H,3.0,0.0,H,1.18,6.99,12.69,1.21,7.5,14.0,2.88,1.37,3.1,1.4,1909.4,1578.4,331.0,3487.8,0.0949,1,9,15,4,5,1.0,1.0,0.4444,0.3333,5,10,3,3,0,30,30,0,0,0,0,0,0,0,0,1,2,9,0,1,15,0.8,10,2.1,2.6,1.2,1.4,1.3,1.0,0.7,1.0693,0.1032,0.0254,0.1032,0.117,21.9,7.6,12.8,16.4,14.3,-3.6,4.5,0.5,1,0,0,0
N1,2025-08-10,13:30:00,AZ Alkmaar,Groningen,4.0,1.0,H,3.0,1.0,H,1.5,4.32,5.91,1.53,4.5,6.25,2.07,1.69,2.12,1.73,1707.9,1471.1,236.7,3179.0,0.0745,1,7,11,1,7,0.7778,0.7333,0.1111,0.4667,6,4,3,-5,8,30,30,0,0,0,0,0,0,0,0,1,2,5,2,3,6,0.6666666666666666,10,1.8,1.4,0.8,0.5,0.8,2.0,1.3,1.0674,0.0575,0.02,0.0575,0.2293,14.8,11.5,11.3,11.5,3.3,-0.2,3.7,0.0,1,0,0,0
N1,2025-08-10,13:30:00,Ajax,Telstar,2.0,0.0,H,1.0,0.0,H,1.15,7.78,15.16,1.17,8.5,17.0,3.15,1.33,3.4,1.35,1783.1,1500.0,283.1,3283.1,0.0862,1,4,5,3,5,0.4444,0.3333,0.3333,0.3333,1,0,3,1,2,30,7,23,2,0,0,0,0,0,0,1,2,0,0,0,0,0.5,0,2.3,2.1,0.9,1.0,1.0,1.4,1.3,1.0641,0.1214,0.0174,0.1214,0.067,15.9,10.2,13.24,13.24,5.7,0.0,1.72,-0.04,1,0,0,1
N1,2025-08-10,15:45:00,Utrecht,Heracles,4.0,0.0,H,1.0,0.0,H,1.52,4.3,5.55,1.57,4.5,5.8,2.15,1.64,2.25,1.67,1684.8,1481.8,203.0,3166.6,0.0641,1,2,8,3,3,0.2222,0.5333,0.3333,0.2,-1,5,-4,3,-7,30,30,0,0,0,0,0,0,0,0,1,2,7,2,1,9,1.0,10,1.5,1.6,1.2,0.9,1.0,2.1,0.6,1.0706,0.0465,0.0329,0.045,0.2135,15.7,10.9,9.3,14.4,4.8,-5.1,-0.8,-0.8,1,0,0,0
N1,2025-08-10,11:15:00,Zwolle,Twente,1.0,0.0,H,1.0,0.0,H,3.73,3.57,1.92,4.0,3.7,1.95,2.03,1.72,2.12,1.77,1541.0,1682.1,-141.1,3223.2,0.0438,0,7,10,3,6,0.7778,0.6667,0.3333,0.4,4,4,4,0,4,30,30,0,0,0,0,0,0,0,0,1,2,1,7,2,-12,0.25,10,1.3,1.3,1.0,0.7,1.2,2.0,0.6,1.069,0.0724,0.0724,0.0156,0.1483,14.8,13.1,11.2,11.4,1.7,-0.2,-0.3,0.1,1,0,0,1
N1,2025-08-15,19:00:00,Telstar,Zwolle,0.0,2.0,A,0.0,1.0,A,2.61,3.4,2.55,2.7,3.5,2.7,2.02,1.73,2.1,1.77,1496.8,1553.0,-56.2,3049.7,0.0184,0,0,0,9,13,0.0,0.0,1.0,0.8667,-9,-13,0,5,-5,5,5,0,0,1,1,0,0,0,0,1,3,0,0,0,0,0.5,0,1.5,1.3,1.1,1.3,1.5,1.7,0.2,1.0694,0.0588,0.0345,0.0588,0.1616,18.0,15.0,14.6,13.3,3.0,1.3,5.2,-1.6,0,0,1,1
