Division,MatchDate,MatchTime,HomeTeam,AwayTeam,FTHome,FTAway,FTResult,HTHome,HTAway,HTResult,OddHome,OddDraw,OddAway,MaxHome,MaxDraw,MaxAway,HomeElo,AwayElo,elo_diff,elo_sum,elo_mismatch,elo_mismatch_flag,Form3Home,Form5Home,Form3Away,Form5Away,Form3Home_ratio,Form5Home_ratio,Form3Away_ratio,Form5Away_ratio,form_diff_3,form_diff_5,form_momentum_home,form_momentum_away,form_momentum,home_rest_days,away_rest_days,rest_diff,rest_diff_nonlinear,home_congestion_14d,away_congestion_14d,is_midweek,is_early_kickoff,is_evening_match,winter_period,season_phase,match_week,h2h_home_wins,h2h_away_wins,h2h_draws,h2h_home_goals_diff,h2h_home_venue_record,h2h_matches_count,home_team_home_ppg,home_team_goals_scored_avg,home_team_goals_conceded_avg,away_team_away_ppg,away_team_goals_scored_avg,away_team_goals_conceded_avg,venue_ppg_diff,overround,odds_disagreement,sharp_money_home,sharp_money_away,elo_vs_odds_home,home_shots_avg,home_shots_against_avg,away_shots_avg,away_shots_against_avg,shots_dominance_home,shots_dominance_away,corners_diff,discipline_diff,target_home,target_draw,target_away
P1,2025-08-08,20:15:00,Casa Pia,Sp Lisbon,0.0,2.0,A,0.0,1.0,A,9.14,5.11,1.3,10.0,5.6,1.33,1548.0,1952.8,-404.7,3500.8,0.1156,1,4,5,7,13,0.4444,0.3333,0.7778,0.8667,-3,-8,3,1,2,30,30,0,0,0,0,0,0,0,0,1,2,0,6,0,-16,0.0,6,1.9,1.5,1.2,2.0,2.3,0.9,-0.1,1.0743,0.0959,0.0941,0.0231,0.0253,6.6,13.9,15.4,7.4,-7.3,8.0,-1.4,0.5,0,0,1
P1,2025-08-09,15:30:00,Nacional,Gil Vicente,0.0,2.0,A,0.0,2.0,A,2.44,3.15,2.84,2.5,3.3,2.95,1434.9,1510.8,-75.9,2945.7,0.0258,0,1,2,2,8,0.1111,0.1333,0.2222,0.5333,-1,-6,0,-4,4,30,30,0,0,0,0,0,0,0,0,1,2,4,5,1,-3,0.6,10,1.4,1.7,1.6,1.2,1.1,1.0,0.2,1.0794,0.0476,0.0246,0.0387,0.1119,14.8,12.4,10.1,10.3,2.4,-0.2,1.7,0.6,0,0,1
P1,2025-08-09,20:30:00,Arouca,AVS,3.0,1.0,H,1.0,0.0,H,1.82,3.49,4.17,1.85,3.6,4.33,1562.1,1435.7,126.4,2997.8,0.0421,0,5,8,3,4,0.5556,0.5333,0.3333,0.2667,2,4,2,2,0,30,30,0,0,0,0,0,0,0,0,1,2,1,0,1,1,0.0,2,1.4,1.2,1.0,0.8,0.7,2.3,0.6,1.0758,0.0384,0.0165,0.0384,0.2452,12.5,12.4,9.5,16.1,0.1,-6.6,0.4,-1.2,1,0,0
P1,2025-08-10,17:00:00,Famalicao,Santa Clara,3.0,0.0,H,2.0,0.0,H,2.38,3.11,2.97,2.45,3.3,3.2,1606.3,1569.0,37.3,3175.3,0.0117,0,3,4,7,11,0.3333,0.2667,0.7778,0.7333,-4,-7,2,3,-1,30,30,0,0,0,0,0,0,0,0,1,2,6,3,1,6,0.4,10,1.8,1.5,0.7,1.6,1.0,0.9,0.2,1.0784,0.0774,0.0294,0.0774,0.26,11.6,11.4,11.7,11.0,0.2,0.7,3.1,-1.3,1,0,0
P1,2025-08-10,20:30:00,Moreirense,Alverca,2.0,1.0,H,1.0,1.0,D,2.05,3.14,3.52,2.12,3.3,3.6,1550.8,1402.6,148.2,2953.4,0.0502,0,4,5,3,6,0.4444,0.3333,0.3333,0.4,1,-1,3,0,3,30,30,0,0,0,0,0,0,0,0,1,2,2,0,0,3,1.0,2,1.2,1.2,1.3,0.5,0.4,1.9,0.7,1.0904,0.051,0.0341,0.0227,0.331,10.4,12.3,12.0,12.0,-1.9,0.0,-2.5,1.6,1,0,0
P1,2025-08-10,20:30:00,Sp Braga,Tondela,3.0,0.0,H,2.0,0.0,H,1.36,4.63,7.88,1.4,5.0,8.5,1768.5,1433.2,335.3,3201.8,0.1047,1,2,6,2,3,0.2222,0.4,0.2222,0.2,0,3,-2,1,-3,30,30,0,0,0,0,0,0,0,0,1,2,9,1,0,15,1.0,10,2.1,1.9,0.9,0.9,1.0,1.8,1.2,1.0782,0.0799,0.0294,0.0787,0.2296,13.1,8.3,7.7,12.7,4.8,-5.0,3.1,-0.9,1,0,0
P1,2025-08-11,18:45:00,Estoril,Estrela,1.0,1.0,D,1.0,0.0,H,1.89,3.49,3.83,1.93,3.85,4.2,1561.8,1441.8,120.0,3003.6,0.0399,0,4,7,0,3,0.4444,0.4667,0.0,0.2,4,4,1,-3,4,30,30,0,0,0,0,0,0,0,0,1,2,3,1,0,6,1.0,4,1.4,1.5,1.4,0.9,0.4,1.2,0.5,1.0767,0.1032,0.0212,0.0966,0.2576,9.2,9.2,9.8,14.2,0.0,-4.4,-0.3,-1.4,0,1,0
P1,2025-08-11,20:45:00,Porto,Guimaraes,3.0,0.0,H,2.0,0.0,H,1.57,3.93,5.41,1.62,4.1,6.0,1823.8,1669.6,154.2,3493.4,0.0441,0,9,12,3,6,1.0,0.8,0.3333,0.4,6,6,6,0,6,30,30,0,0,0,0,0,0,0,0,1,2,8,1,1,11,0.6,10,2.1,2.0,0.9,1.4,1.2,1.2,0.7,1.0762,0.1091,0.0318,0.1091,0.1924,12.6,8.5,13.4,10.8,4.1,2.6,-1.8,0.4,1,0,0
P1,2025-08-15,15:30:00,AVS,Casa Pia,0.0,2.0,A,0.0,1.0,A,2.74,3.05,2.59,2.9,3.15,2.65,1428.4,1544.6,-116.2,2973.1,0.0391,0,3,3,3,4,0.3333,0.2,0.3333,0.2667,0,-1,3,2,1,6,7,-1,0,1,1,0,0,0,0,1,3,0,0,2,0,0.0,2,0.7,0.8,1.6,0.9,1.1,1.5,-0.2,1.0789,0.0584,0.0584,0.0232,0.0956,10.1,15.0,6.3,14.9,-4.9,-8.6,0.1,0.3,0,0,1
P1,2025-08-16,20:30:00,Estrela,Benfica,0.0,1.0,A,0.0,0.0,D,13.63,6.6,1.18,16.0,7.5,1.2,1446.6,1907.2,-460.6,3353.8,0.1374,1,1,4,5,11,0.1111,0.2667,0.5556,0.7333,-4,-7,-2,-1,-1,5,30,-25,-2,1,0,0,0,0,0,1,3,0,4,0,-7,0.0,4,0.8,0.8,1.4,2.2,2.1,1.1,-1.4,1.0723,0.1739,0.1739,0.0169,0.027,9.9,14.0,15.9,10.9,-4.1,5.0,-2.6,1.5,0,0,1
P1,2025-08-16,18:00:00,Guimaraes,Estoril,3.0,2.0,H,1.0,1.0,D,1.67,3.67,4.85,1.73,3.9,5.25,1661.8,1557.0,104.7,3218.8,0.0325,0,0,6,5,8,0.0,0.4,0.5556,0.5333,-5,-2,-6,2,-8,5,5,0,0,1,1,0,0,0,0,1,3,7,2,1,6,1.0,10,1.8,1.7,1.1,1.8,2.1,1.7,0.0,1.0775,0.0825,0.0359,0.0825,0.1765,12.5,11.8,8.7,8.7,0.7,0.0,2.5,0.1,1,0,0
P1,2025-08-16,15:30:00,Tondela,Famalicao,0.0,1.0,A,0.0,0.0,D,2.82,3.17,2.46,3.0,3.35,2.5,1430.0,1619.0,-189.0,3049.0,0.062,0,1,3,6,7,0.1111,0.2,0.6667,0.4667,-5,-4,-1,5,-6,6,6,0,0,1,1,0,0,0,0,1,3,3,2,1,1,0.6666666666666666,6,0.7,1.2,2.0,1.0,1.2,1.7,-0.3,1.0766,0.0638,0.0638,0.0163,0.0058,7.7,12.6,10.6,10.9,-4.9,-0.3,-3.5,0.4,0,0,1
P1,2025-08-17,18:00:00,Santa Clara,Moreirense,0.0,1.0,A,0.0,1.0,A,1.87,3.12,4.5,1.95,3.25,4.75,1556.3,1555.5,0.9,3111.8,0.0003,0,6,10,7,8,0.6667,0.6667,0.7778,0.5333,-1,2,2,6,-4,7,7,0,0,1,1,0,0,0,0,1,3,3,3,4,2,0.2,10,1.4,1.0,1.0,0.8,1.1,1.6,0.6,1.0775,0.0556,0.0428,0.0556,0.1043,11.2,10.7,10.5,11.7,0.5,-1.2,0.3,0.8,0,0,1
P1,2025-08-17,20:30:00,Sp Lisbon,Arouca,6.0,0.0,H,3.0,0.0,H,1.25,5.68,10.08,1.29,6.1,11.0,1956.1,1569.4,386.8,3525.5,0.1097,1,7,13,7,8,0.7778,0.8667,0.7778,0.5333,0,5,1,6,-5,9,8,1,0,1,1,0,0,0,0,1,3,7,1,2,13,0.6,10,2.6,2.2,0.8,1.3,1.5,1.6,1.3,1.0753,0.0913,0.032,0.0913,0.1887,16.4,7.1,11.4,13.0,9.3,-1.6,2.3,0.0,1,0,0
P1,2025-08-17,15:30:00,Rio Ave,Nacional,1.0,1.0,D,1.0,0.0,H,2.28,3.22,3.01,2.32,3.3,3.2,1536.7,1421.5,115.2,2958.2,0.039,0,5,6,1,2,0.5556,0.4,0.1111,0.1333,4,4,4,0,4,30,8,22,2,0,1,0,0,0,0,1,3,6,1,3,6,0.6,10,1.3,1.3,1.5,0.8,0.7,1.5,0.5,1.0814,0.0631,0.0175,0.0631,0.3383,11.5,13.4,15.1,11.8,-1.9,3.3,-2.4,0.0,0,1,0
P1,2025-08-17,18:00:00,Alverca,Sp Braga,0.0,3.0,A,0.0,3.0,A,5.01,3.72,1.64,5.5,3.9,1.67,1397.9,1771.8,-373.8,3169.7,0.1179,1,3,6,4,6,0.3333,0.4,0.4444,0.4,-1,0,0,2,-2,7,7,0,0,1,1,0,0,0,0,1,3,1,3,2,-3,0.3333333333333333,6,1.6,1.3,1.2,1.8,1.2,0.8,-0.2,1.0782,0.0978,0.0978,0.0183,-0.037,11.5,11.8,13.2,8.3,-0.3,4.9,-0.8,-0.76,0,0,1
P1,2025-08-18,20:15:00,Gil Vicente,Porto,0.0,2.0,A,0.0,1.0,A,6.33,4.24,1.47,6.5,4.5,1.5,1524.2,1831.7,-307.5,3355.9,0.0916,1,5,8,9,12,0.5556,0.5333,1.0,0.8,-4,-4,2,6,-4,9,7,2,0,1,1,0,0,0,0,1,3,2,6,2,-7,0.2,10,0.8,0.7,1.3,1.6,1.1,1.2,-0.8,1.0741,0.0613,0.0269,0.0204,0.056,10.1,11.5,13.6,8.8,-1.4,4.8,-1.3,0.1,0,0,1
