Division,MatchDate,MatchTime,HomeTeam,AwayTeam,FTHome,FTAway,FTResult,HTHome,HTAway,HTResult,OddHome,OddDraw,OddAway,MaxHome,MaxDraw,MaxAway,HomeElo,AwayElo,elo_diff,elo_sum,elo_mismatch,elo_mismatch_flag,Form3Home,Form5Home,Form3Away,Form5Away,Form3Home_ratio,Form5Home_ratio,Form3Away_ratio,Form5Away_ratio,form_diff_3,form_diff_5,form_momentum_home,form_momentum_away,form_momentum,home_rest_days,away_rest_days,rest_diff,rest_diff_nonlinear,home_congestion_14d,away_congestion_14d,is_midweek,is_early_kickoff,is_evening_match,winter_period,season_phase,match_week,h2h_home_wins,h2h_away_wins,h2h_draws,h2h_home_goals_diff,h2h_home_venue_record,h2h_matches_count,home_team_home_ppg,home_team_goals_scored_avg,home_team_goals_conceded_avg,away_team_away_ppg,away_team_goals_scored_avg,away_team_goals_conceded_avg,venue_ppg_diff,overround,odds_disagreement,sharp_money_home,sharp_money_away,elo_vs_odds_home,home_shots_avg,home_shots_against_avg,away_shots_avg,away_shots_against_avg,shots_dominance_home,shots_dominance_away,corners_diff,discipline_diff,target_home,target_draw,target_away
POL,2024-12-09,18:00:00,Korona Kielce,Pogon Szczecin,0.0,0.0,D,,,,3.41,3.36,2.08,3.63,3.5,2.26,1480.3,1620.0,-139.7,3100.3,0.0451,0,3,5,7,7,0.3333,0.3333,0.7778,0.4667,-4,-2,1,7,-6,5,5,0,0,3,2,0,0,0,1,2,19,1,5,4,-7,0.0,10,1.1,1.1,1.6,0.7,1.1,1.7,0.4,1.0716,0.0865,0.0645,0.0865,0.1274,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0
POL,2024-12-14,16:30:00,Slask Wroclaw,Radomiak Radom,1.0,2.0,A,,,,2.05,3.31,3.57,2.16,3.55,4.0,1507.8,1465.0,42.7,2972.8,0.0144,0,1,2,1,5,0.1111,0.1333,0.1111,0.3333,0,-3,0,-3,3,7,8,-1,0,2,2,0,0,0,1,2,20,2,2,2,0,0.3333333333333333,6,1.0,1.1,1.1,0.9,1.0,2.1,0.1,1.07,0.1204,0.0537,0.1204,0.2009,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1
POL,2025-01-31,19:30:00,Lech Poznan,Widzew Lodz,4.0,1.0,H,,,,1.49,4.35,5.97,1.53,4.55,6.37,1669.0,1511.4,157.6,3180.4,0.0495,0,1,7,3,6,0.1111,0.4667,0.3333,0.4,-2,1,-5,0,-5,30,30,0,0,0,0,0,0,0,1,2,27,5,2,3,7,0.8,10,2.4,2.4,0.8,1.2,1.5,1.6,1.2,1.0685,0.067,0.0268,0.067,0.1594,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
POL,2025-01-31,17:00:00,GKS Katowice,Stal Mielec,1.0,0.0,H,,,,2.26,3.39,3.04,2.35,3.57,3.22,1547.4,1520.4,27.0,3067.7,0.0088,0,5,8,4,8,0.5556,0.5333,0.4444,0.5333,1,0,2,0,2,30,30,0,0,0,0,0,0,0,1,2,27,1,0,0,1,0.5,1,1.2,1.2,1.0,0.5,0.8,1.5,0.7,1.0664,0.0592,0.0398,0.0592,0.2212,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
POL,2025-02-01,16:30:00,Cracovia,Rakow,0.0,0.0,D,,,,3.6,2.97,2.22,3.88,3.12,2.36,1593.5,1667.5,-74.0,3260.9,0.0227,0,2,5,5,9,0.2222,0.3333,0.5556,0.6,-3,-4,-1,1,-2,30,30,0,0,0,0,0,0,0,1,2,27,5,1,4,7,1.0,10,1.5,2.4,1.7,1.9,1.3,0.8,-0.4,1.0649,0.0778,0.0778,0.0631,0.2334,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0
POL,2025-02-01,13:45:00,Motor Lublin,Lechia Gdansk,1.0,1.0,D,,,,1.68,3.69,4.98,1.72,3.9,5.82,1549.5,1425.4,124.1,2975.0,0.0417,0,7,13,3,5,0.7778,0.8667,0.3333,0.3333,4,8,1,1,0,30,30,0,0,0,0,0,0,0,1,2,27,1,0,0,2,0.5,1,1.5,1.3,1.3,0.6,1.3,2.2,0.9,1.067,0.1687,0.0238,0.1687,0.1956,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0
POL,2025-02-01,19:15:00,Pogon Szczecin,Zaglebie,1.0,0.0,H,,,,1.86,3.57,4.0,1.92,3.77,4.3,1618.0,1540.5,77.5,3158.5,0.0245,0,5,8,4,4,0.5556,0.5333,0.4444,0.2667,1,4,2,4,-2,30,30,0,0,0,0,0,0,0,1,2,27,4,5,1,-2,0.5,10,2.2,1.8,0.8,1.2,1.1,1.6,1.0,1.0677,0.075,0.0323,0.075,0.1968,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
POL,2025-02-02,11:15:00,Gornik Zabrze,Puszcza,1.0,1.0,D,,,,1.6,3.99,5.23,1.64,4.4,5.77,1627.0,1493.1,133.8,3120.1,0.0429,0,9,13,4,10,1.0,0.8667,0.4444,0.6667,5,3,5,-2,7,30,30,0,0,0,0,0,0,0,1,2,27,0,1,2,-1,0.0,3,1.5,1.2,0.9,0.5,0.4,1.3,1.0,1.0668,0.1033,0.025,0.1033,0.1779,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0
POL,2025-02-02,13:45:00,Jagiellonia,Radomiak Radom,5.0,0.0,H,,,,1.78,3.77,4.21,1.85,4.02,4.73,1694.8,1478.2,216.6,3173.0,0.0683,1,3,7,4,7,0.3333,0.4667,0.4444,0.4667,-1,0,-1,1,-2,30,30,0,0,0,0,0,0,0,1,2,27,3,2,4,2,0.25,9,2.1,2.2,1.3,0.9,1.0,2.1,1.2,1.0646,0.1235,0.0393,0.1235,0.3111,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
POL,2025-02-02,16:30:00,Legia,Korona Kielce,1.0,1.0,D,,,,1.41,4.45,7.39,1.47,4.65,8.23,1688.8,1482.2,206.6,3171.1,0.0651,1,7,10,4,5,0.7778,0.6667,0.4444,0.3333,3,5,4,3,1,30,30,0,0,0,0,0,0,0,1,2,27,8,0,2,14,1.0,10,2.0,2.3,1.2,1.0,0.7,1.5,1.0,1.0693,0.1137,0.0426,0.1137,0.1676,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0
