Division,MatchDate,MatchTime,HomeTeam,AwayTeam,FTHome,FTAway,FTResult,HTHome,HTAway,HTResult,OddHome,OddDraw,OddAway,MaxHome,MaxDraw,MaxAway,HomeElo,AwayElo,elo_diff,elo_sum,elo_mismatch,elo_mismatch_flag,Form3Home,Form5Home,Form3Away,Form5Away,Form3Home_ratio,Form5Home_ratio,Form3Away_ratio,Form5Away_ratio,form_diff_3,form_diff_5,form_momentum_home,form_momentum_away,form_momentum,home_rest_days,away_rest_days,rest_diff,rest_diff_nonlinear,home_congestion_14d,away_congestion_14d,is_midweek,is_early_kickoff,is_evening_match,winter_period,season_phase,match_week,h2h_home_wins,h2h_away_wins,h2h_draws,h2h_home_goals_diff,h2h_home_venue_record,h2h_matches_count,home_team_home_ppg,home_team_goals_scored_avg,home_team_goals_conceded_avg,away_team_away_ppg,away_team_goals_scored_avg,away_team_goals_conceded_avg,venue_ppg_diff,overround,odds_disagreement,sharp_money_home,sharp_money_away,elo_vs_odds_home,home_shots_avg,home_shots_against_avg,away_shots_avg,away_shots_against_avg,shots_dominance_home,shots_dominance_away,corners_diff,discipline_diff,target_home,target_draw,target_away
ROM,2024-12-09,15:30:00,FC Hermannstadt,Otelul,1.0,0.0,H,,,,2.81,2.73,2.81,2.99,2.88,2.94,1567.9,1568.6,-0.7,3136.5,0.0002,0,7,13,6,7,0.7778,0.8667,0.6667,0.4667,1,6,1,5,-4,2,4,-2,-1,4,2,0,0,0,1,2,19,2,3,1,3,1.0,6,1.8,1.4,1.1,1.4,0.9,0.8,0.4,1.078,0.0641,0.0641,0.0463,0.2683,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
ROM,2024-12-09,18:30:00,U. Cluj,CFR Cluj,3.0,2.0,H,,,,2.72,2.85,2.76,2.9,3.0,2.92,1634.8,1754.6,-119.8,3389.4,0.0353,0,4,4,7,11,0.4444,0.2667,0.7778,0.7333,-3,-7,4,3,1,1,8,-7,-2,3,1,0,0,0,1,2,19,5,5,0,-6,0.5,10,1.8,1.6,0.9,2.2,1.5,0.4,-0.4,1.0808,0.0662,0.0662,0.058,0.0887,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
ROM,2024-12-13,15:00:00,FC Botosani,FC Hermannstadt,1.0,2.0,A,,,,2.31,2.99,3.23,2.48,3.12,3.56,1493.9,1576.1,-82.2,3070.1,0.0268,0,1,3,7,13,0.1111,0.2,0.7778,0.8667,-6,-10,-1,1,-2,5,4,1,0,4,5,0,0,0,1,2,20,0,3,7,-4,0.0,10,1.3,1.1,1.1,1.0,1.3,1.9,0.3,1.0769,0.1022,0.0736,0.1022,0.0805,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1
ROM,2024-12-13,18:00:00,Din. Bucuresti,Poli Iasi,2.0,0.0,H,,,,1.78,3.27,4.79,1.85,3.46,5.34,1625.4,1518.8,106.5,3144.2,0.0339,0,7,11,5,6,0.7778,0.7333,0.5556,0.4,2,5,3,4,-1,5,5,0,0,5,4,0,0,0,1,2,20,3,1,6,4,0.5,10,2.1,1.5,0.8,0.6,0.7,1.8,1.5,1.0764,0.1148,0.0393,0.1148,0.2123,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
ROM,2024-12-14,15:00:00,Univ. Craiova,Sepsi Sf. Gheorghe,2.0,1.0,H,,,,1.7,3.67,4.63,1.78,3.87,5.05,1696.6,1662.7,33.8,3359.3,0.0101,0,2,5,7,10,0.2222,0.3333,0.7778,0.6667,-5,-5,-1,4,-5,7,8,-1,0,4,2,0,0,0,1,2,20,9,1,0,11,0.6666666666666666,10,1.4,1.6,1.0,1.2,1.5,1.6,0.2,1.0767,0.0907,0.0471,0.0907,0.0988,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
ROM,2024-12-14,18:00:00,U. Cluj,Petrolul,4.0,1.0,H,,,,1.9,3.06,4.47,1.95,3.21,4.94,1646.4,1542.1,104.4,3188.5,0.0327,0,7,7,2,3,0.7778,0.4667,0.2222,0.2,5,4,7,1,6,5,6,-1,0,4,3,0,0,0,1,2,20,1,5,4,-5,0.0,10,1.8,1.8,1.1,1.4,0.9,0.9,0.4,1.0768,0.1051,0.0263,0.1051,0.243,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
ROM,2024-12-14,12:30:00,Otelul,UTA Arad,1.0,1.0,D,,,,1.89,3.07,4.51,2.0,3.25,4.84,1560.3,1556.8,3.6,3117.1,0.0011,0,3,6,0,4,0.3333,0.4,0.0,0.2667,3,2,0,-4,4,5,6,-1,0,3,5,0,0,0,1,2,20,1,1,3,0,0.0,5,1.3,0.9,1.0,0.9,0.5,1.1,0.4,1.0766,0.0732,0.0582,0.0732,0.1128,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0
ROM,2024-12-15,18:45:00,Farul Constanta,FCSB,1.0,1.0,D,,,,4.9,3.77,1.65,5.25,3.92,1.73,1577.1,1726.6,-149.5,3303.6,0.0453,0,4,5,9,12,0.4444,0.3333,1.0,0.8,-5,-7,3,6,-3,7,7,0,0,4,2,0,0,0,1,2,20,2,6,2,-4,0.3333333333333333,10,1.3,1.1,1.4,1.5,1.4,1.4,-0.2,1.0754,0.0714,0.0714,0.0485,0.1978,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0
ROM,2024-12-15,14:00:00,Unirea Slobozia,CFR Cluj,1.0,1.0,D,,,,4.68,3.37,1.76,5.0,3.54,1.82,1514.2,1742.9,-228.7,3257.1,0.0702,1,6,6,4,8,0.6667,0.4,0.4444,0.5333,2,-2,6,0,6,7,6,1,0,2,2,0,0,0,1,2,20,0,2,0,-6,0.5,2,0.9,1.2,1.5,1.9,1.3,0.6,-1.0,1.0786,0.0684,0.0684,0.0341,0.0881,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0
ROM,2024-12-16,18:00:00,FC Rapid Bucuresti,Gloria Buzau,2.0,0.0,H,,,,1.46,4.19,6.41,1.51,4.52,7.84,1633.9,1451.4,182.5,3085.3,0.0591,0,2,8,3,3,0.2222,0.5333,0.3333,0.2,-1,5,-4,3,-7,10,9,1,0,1,1,0,0,0,1,2,20,0,0,2,0,0.5,2,1.7,1.8,0.8,0.5,1.2,2.4,1.2,1.0796,0.2231,0.0342,0.2231,0.1761,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
