Division,MatchDate,MatchTime,HomeTeam,AwayTeam,FTHome,FTAway,FTResult,HTHome,HTAway,HTResult,OddHome,OddDraw,OddAway,MaxHome,MaxDraw,MaxAway,HomeElo,AwayElo,elo_diff,elo_sum,elo_mismatch,elo_mismatch_flag,Form3Home,Form5Home,Form3Away,Form5Away,Form3Home_ratio,Form5Home_ratio,Form3Away_ratio,Form5Away_ratio,form_diff_3,form_diff_5,form_momentum_home,form_momentum_away,form_momentum,home_rest_days,away_rest_days,rest_diff,rest_diff_nonlinear,home_congestion_14d,away_congestion_14d,is_midweek,is_early_kickoff,is_evening_match,winter_period,season_phase,match_week,h2h_home_wins,h2h_away_wins,h2h_draws,h2h_home_goals_diff,h2h_home_venue_record,h2h_matches_count,home_team_home_ppg,home_team_goals_scored_avg,home_team_goals_conceded_avg,away_team_away_ppg,away_team_goals_scored_avg,away_team_goals_conceded_avg,venue_ppg_diff,overround,odds_disagreement,sharp_money_home,sharp_money_away,elo_vs_odds_home,home_shots_avg,home_shots_against_avg,away_shots_avg,away_shots_against_avg,shots_dominance_home,shots_dominance_away,corners_diff,discipline_diff,target_home,target_draw,target_away
RUS,2024-12-07,16:00,Dynamo Makhachkala,Rubin Kazan,2.0,3.0,A,,,,2.88,2.79,2.91,2.98,2.85,3.03,1510.8,1590.8,-80.0,3101.6,0.0258,0,5,6,5,8,0.5556,0.4,0.5556,0.5333,0,-2,4,2,2,6,7,-1,0,2,1,0,0,0,1,2,19,0,1,0,-2,0.5,1,1.0,0.556,0.778,1.3,1.2,1.3,-0.3,1.0493,0.0412,0.0347,0.0412,0.1547,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1
RUS,2024-12-07,13:30,FK Rostov,Krylya Sovetov,3.0,1.0,H,,,,1.68,3.96,4.8,1.73,4.12,5.2,1601.6,1532.1,69.5,3133.7,0.0222,0,9,10,6,9,1.0,0.6667,0.6667,0.6,3,1,8,3,5,7,6,1,0,2,2,0,1,0,1,2,19,8,2,0,5,1.0,10,1.8,2.0,1.2,1.1,1.0,1.4,0.7,1.0561,0.0833,0.0298,0.0833,0.127,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
RUS,2024-12-07,11:00,Spartak Moscow,Pari NN,3.0,0.0,H,,,,1.18,6.98,15.0,1.21,7.66,17.46,1766.5,1468.8,297.7,3235.3,0.092,1,9,13,1,4,1.0,0.8667,0.1111,0.2667,8,9,5,-2,7,6,2,4,1,2,3,0,1,0,1,2,19,4,2,3,4,0.25,9,2.0,1.9,0.9,1.1,1.1,2.1,0.9,1.0574,0.164,0.0254,0.164,0.091,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
RUS,2024-12-07,13:30,Zenit,Akron Togliatti,1.0,2.0,A,,,,1.15,8.5,14.74,1.17,9.07,17.1,1824.7,1506.7,318.0,3331.3,0.0955,1,6,9,3,7,0.6667,0.6,0.3333,0.4667,3,2,3,-1,4,6,7,-1,0,2,1,0,1,0,1,2,19,1,0,0,5,0.5,1,2.0,1.6,0.7,1.0,1.1,1.9,1.0,1.0551,0.1601,0.0174,0.1601,0.0791,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1
RUS,2024-12-08,16:30,Krasnodar,Lokomotiv Moscow,0.0,0.0,D,,,,1.83,3.92,4.01,1.9,4.1,4.2,1780.8,1734.1,46.7,3515.0,0.0133,0,2,5,3,9,0.2222,0.3333,0.3333,0.6,-1,-4,-1,-3,2,7,3,4,1,1,2,0,0,0,1,2,19,6,2,2,12,0.8,10,2.5,2.2,0.6,1.9,2.1,1.4,0.6,1.0509,0.0474,0.0383,0.0474,0.1419,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0
RUS,2024-12-08,13:30,Fakel Voronezh,CSKA Moscow,0.0,1.0,A,,,,4.5,2.99,2.01,4.7,3.07,2.05,1523.9,1732.3,-208.4,3256.2,0.064,1,3,3,4,7,0.3333,0.2,0.4444,0.4667,-1,-4,3,1,2,3,8,-5,-2,3,1,0,1,0,1,2,19,0,6,2,-16,0.0,8,1.1,0.5,0.6,2.2,1.6,0.7,-1.1,1.0542,0.0444,0.0444,0.0199,0.1,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1
RUS,2024-12-08,11:00,Dynamo Moscow,Khimki,4.0,1.0,H,,,,1.4,5.34,6.56,1.44,5.59,7.05,1713.3,1460.9,252.4,3174.2,0.0795,1,5,9,4,5,0.5556,0.6,0.4444,0.3333,1,4,1,3,-2,6,7,-1,0,2,1,0,1,0,1,2,19,6,2,0,12,0.6666666666666666,8,1.9,1.9,1.1,0.9,1.1,1.9,1.0,1.054,0.0747,0.0286,0.0747,0.1872,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
RUS,2024-12-08,16:00,Akhmat Grozny,Orenburg,1.0,0.0,H,,,,1.79,3.7,4.42,1.83,3.82,4.79,1502.0,1498.5,3.5,3000.4,0.0012,0,1,2,0,0,0.1111,0.1333,0.0,0.0,1,2,0,0,0,6,3,3,1,2,2,0,0,0,1,2,19,6,2,2,10,1.0,10,0.5,0.9,2.0,0.2,0.7,2.1,0.3,1.0552,0.0837,0.0223,0.0837,0.0747,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
RUS,2025-02-28,16:00,Dynamo Makhachkala,Lokomotiv Moscow,1.0,1.0,D,,,,3.46,3.15,2.26,3.73,3.22,2.34,1501.6,1736.9,-235.4,3238.5,0.0727,1,2,5,4,7,0.2222,0.3333,0.4444,0.4667,-2,-2,-1,1,-2,30,30,0,0,0,0,0,0,0,1,2,31,0,2,0,-4,0.5,2,0.9,0.7,1.0,1.7,1.9,1.4,-0.8,1.049,0.078,0.078,0.0354,0.003,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0
RUS,2025-03-01,16:00,Akhmat Grozny,Rubin Kazan,2.0,1.0,H,,,,2.24,3.16,3.44,2.38,3.25,3.63,1510.4,1600.0,-89.6,3110.4,0.0288,0,4,5,7,11,0.4444,0.3333,0.7778,0.7333,-3,-6,3,3,0,30,30,0,0,0,0,0,0,0,0,3,31,0,8,2,-10,0.0,10,0.8,1.0,1.8,1.3,1.1,1.3,-0.5,1.0536,0.0625,0.0625,0.0552,0.048,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
