Division,MatchDate,MatchTime,HomeTeam,AwayTeam,FTHome,FTAway,FTResult,HTHome,HTAway,HTResult,OddHome,OddDraw,OddAway,MaxHome,MaxDraw,MaxAway,OddUnder25,OddOver25,MaxUnder25,MaxOver25,HomeElo,AwayElo,elo_diff,elo_sum,elo_mismatch,elo_mismatch_flag,Form3Home,Form5Home,Form3Away,Form5Away,Form3Home_ratio,Form5Home_ratio,Form3Away_ratio,Form5Away_ratio,form_diff_3,form_diff_5,form_momentum_home,form_momentum_away,form_momentum,home_rest_days,away_rest_days,rest_diff,rest_diff_nonlinear,home_congestion_14d,away_congestion_14d,is_midweek,is_early_kickoff,is_evening_match,winter_period,season_phase,match_week,h2h_home_wins,h2h_away_wins,h2h_draws,h2h_home_goals_diff,h2h_home_venue_record,h2h_matches_count,home_team_home_ppg,home_team_goals_scored_avg,home_team_goals_conceded_avg,away_team_away_ppg,away_team_goals_scored_avg,away_team_goals_conceded_avg,venue_ppg_diff,overround,odds_disagreement,sharp_money_home,sharp_money_away,elo_vs_odds_home,home_shots_avg,home_shots_against_avg,away_shots_avg,away_shots_against_avg,shots_dominance_home,shots_dominance_away,corners_diff,discipline_diff,target_home,target_draw,target_away,target_UNDER25
SC2,2025-08-02,15:00:00,Cove Rangers,Queen of Sth,0.0,2.0,A,0.0,1.0,A,2.24,3.28,2.82,2.35,3.4,2.9,1.84,1.85,1.91,1.97,1550.7,1539.6,11.1,3090.2,0.0036,0,5,8,7,13,0.5556,0.5333,0.7778,0.8667,-2,-5,2,1,1,30,30,0,0,0,0,0,0,0,0,1,1,3,5,0,-2,0.5,8,1.9,1.6,1.1,1.2,1.2,1.1,0.7,1.1059,0.0491,0.0491,0.0284,0.211,8.9,7.6,9.0,8.3,1.3,0.7,0.0,-0.2,0,0,1,1
SC2,2025-08-02,15:00:00,Hamilton,Montrose,2.0,0.0,H,1.0,0.0,H,1.93,3.43,3.35,2.0,3.6,3.6,1.99,1.71,2.05,1.74,1679.9,1462.1,217.8,3142.1,0.0693,1,9,12,1,1,1.0,0.8,0.1111,0.0667,8,11,6,1,5,30,30,0,0,0,0,0,0,0,0,1,1,3,0,1,5,0.5,4,1.5,1.5,1.0,1.3,1.4,1.6,0.2,1.1082,0.0746,0.0363,0.0746,0.3723,11.6,9.8,8.7,11.6,1.8,-2.9,0.3,-0.7,1,0,0,1
SC2,2025-08-02,15:00:00,Kelty Hearts,Inverness C,0.0,3.0,A,0.0,2.0,A,4.37,3.53,1.69,4.63,3.7,1.73,1.81,1.88,1.9,1.96,1437.5,1540.8,-103.3,2978.2,0.0347,0,4,7,7,10,0.4444,0.4667,0.7778,0.6667,-3,-3,1,4,-3,30,30,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.0,3,0.9,0.7,1.9,1.9,1.6,1.2,-1.0,1.1038,0.0595,0.0595,0.0237,0.245,6.1,10.4,11.7,6.7,-4.3,5.0,-2.1,0.8,0,0,1,0
SC2,2025-08-02,15:00:00,Peterhead,East Fife,4.0,1.0,H,3.0,1.0,H,2.18,3.39,2.84,2.25,3.55,3.0,1.92,1.77,1.98,1.83,1303.1,1319.1,-16.0,2622.2,0.0061,0,1,1,0,0,0.1111,0.0667,0.0,0.0,1,1,1,0,1,30,30,0,0,0,0,0,0,0,0,1,1,3,4,3,-2,0.5,10,0.9,0.6,1.5,0.5,0.7,1.8,0.4,1.1058,0.0563,0.0321,0.0563,0.1622,7.1,12.5,8.1,12.5,-5.4,-4.4,-0.5,1.3,1,0,0,0
SC2,2025-08-02,15:00:00,Stenhousemuir,Alloa,1.0,2.0,A,1.0,1.0,D,2.44,3.3,2.53,2.6,3.45,2.7,1.89,1.79,1.95,1.85,1456.0,1531.1,-75.1,2987.1,0.0251,0,4,4,4,10,0.4444,0.2667,0.4444,0.6667,0,-6,4,-2,6,30,30,0,0,0,0,0,0,0,0,1,1,1,7,2,-10,0.0,10,1.2,1.1,1.6,1.3,1.9,1.7,-0.1,1.1081,0.0672,0.0656,0.0672,0.1228,9.0,9.6,10.3,10.1,-0.6,0.2,-1.5,0.5,0,0,1,0
SC2,2025-08-09,15:00:00,Stenhousemuir,Cove Rangers,1.0,0.0,H,1.0,0.0,H,2.96,3.33,2.12,3.1,3.45,2.19,1.89,1.79,1.95,1.85,1447.2,1534.6,-87.4,2981.8,0.0293,0,3,4,4,8,0.3333,0.2667,0.4444,0.5333,-1,-4,2,0,2,7,7,0,0,1,1,0,0,0,0,1,2,2,1,1,0,0.5,4,1.2,1.2,1.7,1.7,2.3,1.1,-0.5,1.1098,0.0473,0.0473,0.033,0.1705,8.8,10.1,8.5,7.8,-1.3,0.7,-0.6,0.4,1,0,0,1
SC2,2025-08-09,15:00:00,Queen of Sth,Hamilton,1.0,4.0,A,0.0,2.0,A,2.16,3.29,2.95,2.23,3.5,3.1,1.8,1.87,1.85,1.95,1555.6,1685.3,-129.7,3240.9,0.04,0,7,13,9,12,0.7778,0.8667,1.0,0.8,-2,1,1,6,-5,7,7,0,0,1,1,0,0,0,0,1,2,1,5,2,-9,0.25,8,2.2,1.9,1.2,2.3,2.3,0.8,-0.1,1.1059,0.0638,0.0324,0.0508,-0.0037,9.8,8.4,11.3,10.4,1.4,0.9,-0.2,0.5,0,0,1,0
SC2,2025-08-09,15:00:00,Inverness C,Peterhead,2.0,0.0,H,1.0,0.0,H,1.65,3.62,4.49,1.69,3.85,5.0,1.79,1.89,1.85,1.95,1554.7,1319.5,235.2,2874.2,0.0818,1,9,10,3,4,1.0,0.6667,0.3333,0.2667,6,6,8,2,6,7,7,0,0,1,1,0,0,0,0,1,2,0,0,0,0,0.5,0,1.4,1.3,1.2,0.0,0.3,3.1,1.4,1.105,0.1136,0.0242,0.1136,0.3044,11.6,6.1,7.7,11.4,5.5,-3.7,2.4,-1.7,1,0,0,1
SC2,2025-08-09,15:00:00,East Fife,Alloa,0.0,1.0,A,0.0,0.0,D,2.93,3.31,2.16,3.0,3.45,2.22,1.86,1.81,1.95,1.85,1302.7,1540.0,-237.3,2842.6,0.0835,1,0,0,6,10,0.0,0.0,0.6667,0.6667,-6,-10,0,2,-2,7,7,0,0,1,1,0,0,0,0,1,2,4,4,2,-6,0.4,10,0.6,0.6,1.6,1.6,2.1,1.6,-1.0,1.1064,0.0423,0.0239,0.0278,-0.0322,7.6,11.3,10.3,9.5,-3.7,0.8,-2.7,-0.2,0,0,1,1
SC2,2025-08-09,15:00:00,Montrose,Kelty Hearts,1.0,2.0,A,1.0,1.0,D,1.94,3.31,3.46,2.0,3.45,3.65,1.76,1.92,1.83,1.98,1456.8,1423.5,33.2,2880.3,0.0115,0,0,1,4,7,0.0,0.0667,0.4444,0.4667,-4,-6,-1,1,-2,7,7,0,0,1,1,0,0,0,0,1,2,5,1,4,6,0.2,10,0.7,1.0,1.8,1.3,0.8,0.8,-0.6,1.1066,0.0549,0.0309,0.0549,0.1785,9.3,11.0,6.1,11.2,-1.7,-5.1,0.8,0.0,0,0,1,0
SC2,2025-08-16,15:00:00,Cove Rangers,Montrose,3.0,3.0,D,2.0,1.0,H,1.91,3.29,3.52,1.96,3.45,3.75,1.76,1.93,1.83,1.98,1523.1,1444.8,78.3,2967.9,0.0264,0,3,5,0,1,0.3333,0.3333,0.0,0.0667,3,4,1,-1,2,7,7,0,0,2,2,0,0,0,0,1,3,5,1,4,4,0.6,10,1.6,1.4,1.3,1.0,1.2,1.7,0.6,1.1116,0.0653,0.0262,0.0653,0.2303,8.1,8.0,10.1,10.9,0.1,-0.8,0.6,0.3,0,1,0,0
SC2,2025-08-16,15:00:00,Hamilton,East Fife,1.0,2.0,A,1.0,0.0,H,1.58,3.78,4.76,1.62,4.0,5.5,1.94,1.75,2.0,1.8,1698.0,1297.9,400.1,2996.0,0.1336,1,9,15,0,0,1.0,1.0,0.0,0.0,9,15,3,0,3,7,7,0,0,2,2,0,0,0,0,1,3,3,0,1,3,0.5,4,1.7,1.6,0.9,0.4,0.7,2.1,1.3,1.1075,0.1555,0.0253,0.1555,0.3659,12.3,10.0,7.9,10.4,2.3,-2.5,0.1,-0.2,0,0,1,0
SC2,2025-08-16,15:00:00,Inverness C,Stenhousemuir,1.0,2.0,A,1.0,1.0,D,1.66,3.43,4.61,1.71,3.65,5.0,1.67,2.06,1.7,2.1,1559.7,1458.7,101.0,3018.3,0.0335,0,9,13,6,7,1.0,0.8667,0.6667,0.4667,3,6,5,5,0,7,7,0,0,2,2,0,0,0,0,1,3,2,0,2,4,0.5,4,1.7,1.5,1.0,1.4,1.3,1.4,0.3,1.1109,0.0846,0.0301,0.0846,0.1857,12.1,5.7,8.5,9.9,6.4,-1.4,1.6,-1.1,0,0,1,0
SC2,2025-08-16,15:00:00,Queen of Sth,Peterhead,4.0,0.0,H,1.0,0.0,H,2.02,3.33,3.16,2.1,3.5,3.3,1.78,1.9,1.83,1.98,1542.9,1314.5,228.3,2857.4,0.0799,1,4,10,3,4,0.4444,0.6667,0.3333,0.2667,1,6,-2,2,-4,7,7,0,0,2,2,0,0,0,0,1,3,4,0,0,8,1.0,4,2.1,1.9,1.5,0.0,0.3,3.0,2.1,1.1118,0.0511,0.0396,0.0443,0.4025,9.1,9.3,8.1,10.7,-0.2,-2.6,0.5,-0.7,1,0,0,0
SC2,2025-08-23,15:00:00,Stenhousemuir,Queen of Sth,0.0,0.0,D,0.0,0.0,D,2.75,3.2,2.29,2.9,3.4,2.38,1.79,1.9,1.9,2.0,1472.3,1550.2,-77.9,3022.5,0.0258,0,6,9,6,10,0.6667,0.6,0.6667,0.6667,0,-1,3,2,1,7,7,0,0,2,2,0,0,0,0,1,4,2,6,2,-8,0.4,10,1.4,1.2,1.6,1.5,1.4,0.9,-0.1,1.1128,0.0625,0.0545,0.0393,0.1619,8.3,11.1,10.5,9.1,-2.8,1.4,-0.8,0.7,0,1,0,1
