Division,MatchDate,MatchTime,HomeTeam,AwayTeam,FTHome,FTAway,FTResult,HTHome,HTAway,HTResult,OddHome,OddDraw,OddAway,MaxHome,MaxDraw,MaxAway,OddUnder25,OddOver25,MaxUnder25,MaxOver25,HomeElo,AwayElo,elo_diff,elo_sum,elo_mismatch,elo_mismatch_flag,Form3Home,Form5Home,Form3Away,Form5Away,Form3Home_ratio,Form5Home_ratio,Form3Away_ratio,Form5Away_ratio,form_diff_3,form_diff_5,form_momentum_home,form_momentum_away,form_momentum,home_rest_days,away_rest_days,rest_diff,rest_diff_nonlinear,home_congestion_14d,away_congestion_14d,is_midweek,is_early_kickoff,is_evening_match,winter_period,season_phase,match_week,h2h_home_wins,h2h_away_wins,h2h_draws,h2h_home_goals_diff,h2h_home_venue_record,h2h_matches_count,home_team_home_ppg,home_team_goals_scored_avg,home_team_goals_conceded_avg,away_team_away_ppg,away_team_goals_scored_avg,away_team_goals_conceded_avg,venue_ppg_diff,overround,odds_disagreement,sharp_money_home,sharp_money_away,elo_vs_odds_home,home_shots_avg,home_shots_against_avg,away_shots_avg,away_shots_against_avg,shots_dominance_home,shots_dominance_away,corners_diff,discipline_diff,target_home,target_draw,target_away,target_UNDER25
SP2,2025-08-15,20:30:00,Burgos,Cultural Leonesa,5.0,1.0,H,3.0,0.0,H,1.8,3.28,4.4,1.85,3.4,4.75,1.58,2.23,1.62,2.35,1513.8,1500.0,13.8,3013.8,0.0046,0,1,4,3,5,0.1111,0.2667,0.3333,0.3333,-2,-1,-2,1,-3,30,7,23,2,0,0,0,0,0,0,1,3,0,0,0,0,0.5,0,1.6,1.6,1.4,1.0,1.0,1.4,0.6,1.0877,0.0795,0.0278,0.0795,0.1076,8.4,12.3,12.66,12.66,-3.9,0.0,-1.46,0.33,1,0,0,0
SP2,2025-08-15,20:30:00,Valladolid,Ceuta,3.0,0.0,H,2.0,0.0,H,1.87,3.43,3.82,1.91,3.55,4.1,1.83,1.88,1.88,1.98,1645.1,1500.0,145.1,3145.1,0.0461,0,4,8,3,5,0.4444,0.5333,0.3333,0.3333,1,3,0,1,-1,30,7,23,2,0,0,0,0,0,0,1,3,0,0,0,0,0.5,0,2.4,1.6,0.4,1.0,1.0,1.4,1.4,1.0881,0.0733,0.0214,0.0733,0.2838,13.5,10.7,12.68,12.68,2.8,0.0,-0.17,0.23,1,0,0,0
SP2,2025-08-16,20:30:00,Granada,La Coruna,1.0,3.0,A,0.0,1.0,A,2.13,3.11,3.37,2.2,3.33,3.65,1.74,1.99,1.8,2.1,1599.7,1516.6,83.1,3116.3,0.0267,0,6,6,0,3,0.6667,0.4,0.0,0.2,6,3,6,-3,9,30,30,0,0,0,0,0,0,0,0,1,3,1,2,1,-1,0.0,4,1.9,1.5,0.8,1.2,1.0,1.2,0.7,1.0878,0.0831,0.0329,0.0831,0.2755,13.4,13.7,11.1,12.2,-0.3,-1.1,-0.5,0.9,0,0,1,0
SP2,2025-08-16,18:30:00,Malaga,Eibar,1.0,1.0,D,0.0,0.0,D,2.28,2.99,3.2,2.38,3.15,3.33,1.48,2.49,1.52,2.6,1494.3,1577.0,-82.7,3071.3,0.0269,0,4,7,6,9,0.4444,0.4667,0.6667,0.6,-2,-2,1,3,-2,30,30,0,0,0,0,0,0,0,0,1,3,2,3,3,-2,0.5,8,1.7,1.1,0.9,1.1,0.7,0.8,0.6,1.0855,0.0535,0.0439,0.0406,0.0777,11.0,12.1,12.2,11.4,-1.1,0.8,0.8,-0.8,0,1,0,1
SP2,2025-08-16,16:00:00,Santander,Castellon,3.0,1.0,H,2.0,1.0,H,2.2,3.42,2.94,2.25,3.6,3.1,2.1,1.66,2.18,1.73,1584.2,1492.4,91.8,3076.6,0.0298,0,4,5,4,7,0.4444,0.3333,0.4444,0.4667,0,-2,3,1,2,30,30,0,0,0,0,0,0,0,0,1,3,1,0,1,1,0.0,2,2.3,2.2,0.9,0.6,1.2,1.7,1.7,1.0871,0.0544,0.0227,0.0544,0.2992,14.3,9.9,16.4,12.0,4.4,4.4,0.7,-0.1,1,0,0,0
SP2,2025-08-17,16:00:00,Sociedad B,Zaragoza,1.0,0.0,H,1.0,0.0,H,2.92,2.93,2.46,3.25,3.0,2.55,1.61,2.19,1.64,2.25,1436.0,1483.6,-47.6,2919.6,0.0163,0,0,6,3,9,0.0,0.4,0.3333,0.6,-3,-3,-6,-3,-3,30,30,0,0,0,0,0,0,0,0,1,3,0,1,1,-1,0.0,2,1.0,1.3,1.8,0.7,1.1,2.3,0.3,1.0903,0.113,0.113,0.0366,0.2181,11.7,13.4,14.4,12.4,-1.7,2.0,-0.7,-0.2,1,0,0,1
SP2,2025-08-17,20:30:00,Las Palmas,Andorra,1.0,1.0,D,1.0,0.0,H,1.58,3.84,5.21,1.62,4.2,5.75,1.85,1.86,1.96,1.95,1626.8,1466.5,160.3,3093.3,0.0518,0,5,9,6,6,0.5556,0.6,0.6667,0.4,-1,3,1,6,-5,30,30,0,0,0,0,0,0,0,0,1,3,1,0,1,2,1.0,2,1.7,1.2,0.6,0.6,0.5,1.5,1.1,1.0853,0.1036,0.0253,0.1036,0.2069,12.9,11.7,13.7,11.7,1.2,2.0,-0.8,0.6,0,1,0,1
SP2,2025-08-17,20:30:00,Huesca,Leganes,1.0,1.0,D,0.0,0.0,D,2.79,3.03,2.5,2.9,3.15,2.62,1.57,2.26,1.61,2.38,1542.0,1612.3,-70.3,3154.3,0.0223,0,6,6,7,10,0.6667,0.4,0.7778,0.6667,-1,-4,6,4,2,30,30,0,0,0,0,0,0,0,0,1,3,2,4,2,-4,0.25,8,1.9,2.0,1.4,1.3,0.8,0.8,0.6,1.0885,0.048,0.0394,0.048,0.1703,12.1,12.9,9.1,8.4,-0.8,0.7,0.6,0.3,0,1,0,1
SP2,2025-08-17,18:30:00,Cadiz,Mirandes,1.0,0.0,H,1.0,0.0,H,1.64,3.69,4.93,1.7,4.0,5.25,1.79,1.92,1.87,2.0,1549.3,1607.8,-58.5,3157.1,0.0185,0,3,6,7,13,0.3333,0.4,0.7778,0.8667,-4,-7,0,1,-1,30,30,0,0,0,0,0,0,0,0,1,3,3,1,2,3,0.6666666666666666,6,2.1,1.6,0.5,1.1,1.2,1.5,1.0,1.0836,0.084,0.0366,0.0649,-0.0461,11.7,12.9,14.5,10.8,-1.2,3.7,-0.7,-0.1,1,0,0,1
SP2,2025-08-18,20:30:00,Almeria,Albacete,4.0,4.0,D,1.0,1.0,D,1.59,3.95,4.88,1.67,4.3,5.25,2.03,1.7,2.1,1.73,1617.0,1542.1,74.9,3159.0,0.0237,0,7,10,4,7,0.7778,0.6667,0.4444,0.4667,3,3,4,1,3,30,30,0,0,0,0,0,0,0,0,1,3,5,2,3,7,0.6,10,2.4,2.2,0.7,0.7,1.0,1.7,1.7,1.087,0.0886,0.0503,0.0758,0.1186,16.1,12.8,12.4,18.5,3.3,-6.1,-0.1,0.5,0,1,0,0
SP2,2025-08-18,18:00:00,Sp Gijon,Cordoba,2.0,1.0,H,1.0,1.0,D,2.31,3.23,2.9,2.4,3.35,3.0,1.8,1.91,1.84,2.0,1530.1,1497.9,32.2,3028.0,0.0106,0,6,9,1,4,0.6667,0.6,0.1111,0.2667,5,5,3,-2,5,30,30,0,0,0,0,0,0,0,0,1,3,4,2,4,3,0.6,10,1.6,1.4,1.2,1.8,1.4,1.3,-0.2,1.0873,0.039,0.039,0.0345,0.2448,14.1,14.0,18.1,11.1,0.1,7.0,-4.0,-1.4,1,0,0,0
SP2,2025-08-22,20:30:00,Castellon,Valladolid,0.0,1.0,A,0.0,1.0,A,1.91,3.63,3.41,1.98,3.8,3.6,2.08,1.67,2.16,1.72,1485.2,1652.1,-166.9,3137.3,0.0532,0,3,4,6,8,0.3333,0.2667,0.6667,0.5333,-3,-4,2,4,-2,6,7,-1,0,1,1,0,0,0,0,1,4,0,1,1,-1,0.0,2,1.8,2.2,1.4,1.3,1.0,0.8,0.5,1.0923,0.0557,0.0366,0.0557,-0.1152,15.9,12.5,14.0,10.3,3.4,3.7,1.2,-0.1,0,0,1,1
SP2,2025-08-22,18:30:00,Eibar,Granada,3.0,0.0,H,1.0,0.0,H,1.93,3.16,3.97,1.97,3.33,4.2,1.5,2.42,1.53,2.5,1577.4,1578.8,-1.5,3156.2,0.0005,0,4,10,3,6,0.4444,0.6667,0.3333,0.4,1,4,-2,0,-2,6,6,0,0,1,1,0,0,0,0,1,4,2,0,2,6,0.5,4,1.6,1.4,1.0,1.3,1.4,1.6,0.3,1.0865,0.0579,0.0207,0.0579,0.1205,11.9,11.6,14.0,13.8,0.3,0.2,-0.2,0.0,1,0,0,0
SP2,2025-08-22,20:30:00,Leganes,Cadiz,1.0,1.0,D,1.0,0.0,H,2.19,2.92,3.45,2.3,3.0,3.7,1.48,2.49,1.5,2.6,1613.0,1558.3,54.7,3171.3,0.0173,0,5,8,6,9,0.5556,0.5333,0.6667,0.6,-1,-1,2,3,-1,5,5,0,0,1,1,0,0,0,0,1,4,0,0,0,0,0.5,0,1.9,1.4,0.4,0.8,1.1,1.7,1.1,1.0889,0.0725,0.0502,0.0725,0.2528,9.2,9.2,13.2,12.0,0.0,1.2,-0.6,0.8,0,1,0,1
SP2,2025-08-23,20:30:00,Zaragoza,Andorra,1.0,3.0,A,0.0,1.0,A,1.78,3.48,4.22,1.86,3.75,4.5,1.71,2.01,1.75,2.1,1475.0,1472.7,2.2,2947.7,0.0008,0,3,6,4,7,0.3333,0.4,0.4444,0.4667,-1,-1,0,1,-1,6,6,0,0,1,1,0,0,0,0,1,4,3,1,0,2,0.5,4,1.4,1.2,1.2,0.7,0.6,1.4,0.7,1.0861,0.0776,0.0449,0.0664,0.0852,15.7,10.5,13.5,11.9,5.2,1.6,0.6,0.2,0,0,1,0
SP2,2025-08-23,18:00:00,Ceuta,Sp Gijon,0.0,1.0,A,0.0,1.0,A,2.64,2.97,2.67,2.75,3.1,3.0,1.57,2.25,1.62,2.35,1493.1,1536.6,-43.5,3029.6,0.0144,0,0,0,9,12,0.0,0.0,1.0,0.8,-9,-12,0,6,-6,8,5,3,1,1,1,0,0,0,0,1,4,0,0,0,0,0.5,0,1.5,1.3,1.1,0.9,1.3,1.6,0.6,1.09,0.1236,0.0417,0.1236,0.1906,5.0,16.0,13.9,13.1,-11.0,0.8,0.0,0.4,0,0,1,1
SP2,2025-08-23,16:00:00,Mirandes,Huesca,0.0,1.0,A,0.0,1.0,A,3.14,2.75,2.46,3.25,2.8,2.55,1.38,2.83,1.42,3.1,1598.9,1541.3,57.6,3140.2,0.0183,0,4,10,4,7,0.4444,0.6667,0.4444,0.4667,0,3,-2,1,-3,6,6,0,0,1,1,0,0,0,0,1,4,3,5,2,-6,0.4,10,2.6,2.2,0.9,0.9,0.8,1.5,1.7,1.0886,0.0366,0.035,0.0366,0.3832,13.4,12.2,11.1,12.5,1.2,-1.4,-0.4,-1.1,0,0,1,1
SP2,2025-08-24,20:30:00,Malaga,Sociedad B,1.0,0.0,H,0.0,0.0,D,1.83,3.37,4.08,1.91,3.6,4.5,1.68,2.07,1.75,2.12,1494.0,1444.7,49.3,2938.7,0.0168,0,2,5,3,6,0.2222,0.3333,0.3333,0.4,-1,-1,-1,0,-1,8,7,1,0,1,1,0,0,0,0,1,4,1,1,0,-1,1.0,2,1.8,1.1,0.8,1.3,1.2,1.3,0.5,1.0883,0.1029,0.0437,0.1029,0.1631,11.2,11.3,10.5,14.2,-0.1,-3.7,2.1,-0.6,1,0,0,1
SP2,2025-08-24,18:30:00,Cultural Leonesa,Almeria,0.0,1.0,A,0.0,0.0,D,2.98,3.44,2.18,3.1,3.65,2.25,1.95,1.76,2.0,1.8,1486.0,1612.4,-126.4,3098.5,0.0408,0,0,0,5,8,0.0,0.0,0.5556,0.5333,-5,-8,0,2,-2,9,6,3,1,1,1,0,0,0,0,1,4,0,0,0,0,0.5,0,1.5,1.3,1.1,0.5,1.0,1.9,1.0,1.085,0.061,0.0403,0.0321,0.1103,8.0,15.0,17.8,13.6,-7.0,4.2,-3.2,0.2,0,0,1,1
SP2,2025-08-24,16:00:00,La Coruna,Burgos,0.0,0.0,D,0.0,0.0,D,1.8,3.34,4.31,1.83,3.5,4.5,1.65,2.12,1.67,2.15,1537.4,1527.8,9.7,3065.2,0.0031,0,3,3,4,7,0.3333,0.2,0.4444,0.4667,-1,-4,3,1,2,8,9,-1,0,1,1,0,0,0,0,1,4,1,1,0,-1,0.0,2,1.3,1.5,1.4,1.2,0.7,0.9,0.1,1.087,0.0479,0.0167,0.0441,0.1016,12.0,12.6,9.4,11.3,-0.6,-1.9,1.7,-0.6,0,1,0,1
SP2,2025-08-25,18:30:00,Albacete,Santander,2.0,3.0,A,0.0,0.0,D,2.59,3.2,2.57,2.71,3.3,2.71,1.93,1.79,1.98,1.83,1546.6,1591.4,-44.8,3138.0,0.0143,0,5,8,7,8,0.5556,0.5333,0.7778,0.5333,-2,0,2,6,-4,7,9,-2,-1,1,1,0,0,0,0,1,4,3,4,3,-2,0.4,10,2.4,2.0,1.0,0.9,1.4,1.8,1.5,1.0877,0.0545,0.0463,0.0545,0.1812,13.1,20.4,13.1,11.1,-7.3,2.0,0.0,-0.5,0,0,1,0
SP2,2025-08-25,20:30:00,Cordoba,Las Palmas,1.0,3.0,A,0.0,1.0,A,2.44,3.15,2.78,2.5,3.2,2.9,1.75,1.99,1.8,2.03,1491.4,1620.5,-129.1,3111.9,0.0415,0,1,1,5,9,0.1111,0.0667,0.5556,0.6,-4,-8,1,1,0,7,8,-1,0,1,1,0,0,0,0,1,4,6,4,0,5,0.8,10,1.0,1.7,1.4,1.6,1.2,1.0,-0.6,1.087,0.0432,0.0246,0.0432,0.0387,17.9,11.2,11.9,11.8,6.7,0.1,3.3,0.0,0,0,1,0
SP2,2025-08-29,18:30:00,Sociedad B,Almeria,2.0,2.0,D,1.0,1.0,D,4.11,3.5,1.79,4.33,3.65,1.85,1.82,1.87,1.93,1.97,1438.6,1621.5,-182.9,3060.0,0.0598,0,3,3,7,11,0.3333,0.2,0.7778,0.7333,-4,-8,3,3,0,5,5,0,0,2,2,0,0,0,0,1,5,0,2,0,-4,0.0,2,1.3,1.3,1.6,0.5,0.8,1.9,0.8,1.0877,0.0535,0.0535,0.0335,0.1193,10.5,14.5,17.0,12.9,-4.0,4.1,-2.8,-0.4,0,1,0,0
SP2,2025-08-29,20:30:00,Sp Gijon,Cultural Leonesa,1.0,0.0,H,0.0,0.0,D,1.6,3.58,5.46,1.67,3.85,6.0,1.63,2.14,1.7,2.2,1548.0,1477.0,71.0,3025.0,0.0235,0,9,12,0,0,1.0,0.8,0.0,0.0,9,12,6,0,6,6,5,1,0,2,2,0,0,0,0,1,5,0,0,0,0,0.5,0,1.8,1.5,1.2,0.0,1.0,5.0,1.8,1.0875,0.0989,0.0437,0.0989,0.1178,13.5,13.0,9.0,14.0,0.5,-5.0,0.7,-0.4,1,0,0,1
SP2,2025-08-30,20:30:00,Castellon,Zaragoza,1.0,1.0,D,0.0,0.0,D,1.76,3.65,4.03,1.81,3.9,4.25,2.01,1.71,2.1,1.73,1477.2,1456.9,20.3,2934.2,0.0069,0,3,4,0,3,0.3333,0.2667,0.0,0.2,3,1,2,-3,5,8,7,1,0,2,2,0,0,0,0,1,5,3,1,2,2,0.6666666666666666,6,1.8,2.1,1.3,0.7,1.1,2.3,1.1,1.0903,0.0685,0.0284,0.0546,0.106,14.0,12.8,16.2,11.5,1.2,4.7,0.2,0.3,0,1,0,1
