Division,MatchDate,MatchTime,HomeTeam,AwayTeam,FTHome,FTAway,FTResult,HTHome,HTAway,HTResult,OddHome,OddDraw,OddAway,MaxHome,MaxDraw,MaxAway,HomeElo,AwayElo,elo_diff,elo_sum,elo_mismatch,elo_mismatch_flag,Form3Home,Form5Home,Form3Away,Form5Away,Form3Home_ratio,Form5Home_ratio,Form3Away_ratio,Form5Away_ratio,form_diff_3,form_diff_5,form_momentum_home,form_momentum_away,form_momentum,home_rest_days,away_rest_days,rest_diff,rest_diff_nonlinear,home_congestion_14d,away_congestion_14d,is_midweek,is_early_kickoff,is_evening_match,winter_period,season_phase,match_week,h2h_home_wins,h2h_away_wins,h2h_draws,h2h_home_goals_diff,h2h_home_venue_record,h2h_matches_count,home_team_home_ppg,home_team_goals_scored_avg,home_team_goals_conceded_avg,away_team_away_ppg,away_team_goals_scored_avg,away_team_goals_conceded_avg,venue_ppg_diff,overround,odds_disagreement,sharp_money_home,sharp_money_away,elo_vs_odds_home,home_shots_avg,home_shots_against_avg,away_shots_avg,away_shots_against_avg,shots_dominance_home,shots_dominance_away,corners_diff,discipline_diff,target_home,target_draw,target_away
SWE,2025-03-29,14:00:00,Djurgarden,Malmo FF,0.0,1.0,A,,,,2.73,3.26,2.61,2.9,3.4,2.7,1664.1,1813.8,-149.8,3477.9,0.0431,0,6,9,7,11,0.6667,0.6,0.7778,0.7333,-1,-2,3,3,0,30,30,0,0,0,0,0,0,0,0,3,35,5,3,2,2,0.8,10,1.9,1.6,1.1,1.5,1.4,1.2,0.4,1.0562,0.0623,0.0623,0.0345,0.0404,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1
SWE,2025-03-29,16:30:00,Hacken,Brommapojkarna,2.0,0.0,H,,,,1.6,4.23,5.1,1.64,4.35,5.7,1685.3,1527.0,158.3,3212.4,0.0493,0,3,6,2,2,0.3333,0.4,0.2222,0.1333,1,4,0,2,-2,30,30,0,0,0,0,0,0,0,0,3,35,6,4,0,11,1.0,10,1.4,2.2,1.6,1.0,1.8,2.0,0.4,1.0575,0.1176,0.025,0.1176,0.1972,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
SWE,2025-03-30,13:00:00,Hammarby,Goteborg,4.0,0.0,H,,,,1.94,3.5,3.89,2.03,3.6,4.2,1736.5,1529.1,207.4,3265.5,0.0635,1,4,8,1,2,0.4444,0.5333,0.1111,0.1333,3,6,0,0,0,30,30,0,0,0,0,0,0,0,0,3,35,6,1,3,11,0.5,10,1.7,1.7,1.0,0.9,1.0,1.4,0.8,1.0582,0.0797,0.0464,0.0797,0.3445,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
SWE,2025-03-30,13:00:00,Elfsborg,Mjallby,2.0,2.0,D,,,,2.21,3.21,3.37,2.31,3.35,3.6,1667.0,1671.4,-4.5,3338.4,0.0013,0,4,7,6,8,0.4444,0.4667,0.6667,0.5333,-2,-1,1,4,-3,30,30,0,0,0,0,0,0,0,0,3,35,4,2,4,0,0.6,10,2.0,1.8,1.1,1.2,1.0,1.1,0.8,1.0608,0.0682,0.0452,0.0682,0.1667,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0
SWE,2025-03-30,15:30:00,Halmstad,Degerfors,0.0,5.0,A,,,,2.29,3.06,3.39,2.38,3.15,3.6,1498.8,1460.0,38.8,2958.8,0.0131,0,3,9,1,2,0.3333,0.6,0.1111,0.1333,2,7,-3,0,-3,30,30,0,0,0,0,0,0,0,0,3,35,0,3,3,-5,0.0,6,1.1,0.8,1.0,0.9,1.0,1.6,0.2,1.0585,0.0619,0.0393,0.0619,0.2391,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1
SWE,2025-03-30,15:30:00,Norrkoping,Oster,4.0,3.0,H,,,,1.98,3.58,3.68,2.06,3.75,3.9,1507.8,1469.5,38.3,2977.3,0.0129,0,3,7,0,0,0.3333,0.4667,0.0,0.0,3,7,-1,0,-1,30,30,0,0,0,0,0,0,0,0,3,35,0,0,0,0,0.5,0,1.1,1.2,1.7,0.0,1.0,2.0,1.1,1.0561,0.0598,0.0404,0.0598,0.1728,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
SWE,2025-03-31,18:00:00,Varnamo,Sirius,1.0,2.0,A,,,,2.21,3.41,3.22,2.28,3.51,3.4,1548.6,1656.3,-107.7,3204.9,0.0336,0,5,9,6,7,0.5556,0.6,0.6667,0.4667,-1,2,1,5,-4,30,30,0,0,0,0,0,0,0,0,3,35,3,5,2,-6,0.0,10,0.9,0.9,1.4,1.9,1.7,1.3,-1.0,1.0563,0.0559,0.0317,0.0559,0.0175,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1
SWE,2025-03-31,18:10:00,GAIS,AIK,0.0,1.0,A,,,,2.66,2.98,2.89,2.81,3.1,3.1,1517.3,1646.9,-129.6,3164.2,0.041,0,6,10,6,9,0.6667,0.6667,0.6667,0.6,0,1,2,3,-1,30,30,0,0,0,0,0,0,0,0,3,35,2,2,0,1,0.5,4,1.9,1.3,0.4,2.2,1.3,0.8,-0.3,1.0575,0.0727,0.0564,0.0727,0.0596,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1
SWE,2025-04-05,14:00:00,Goteborg,Halmstad,1.0,0.0,H,,,,1.46,4.28,7.28,1.5,4.5,8.2,1521.9,1470.4,51.5,2992.3,0.0172,0,1,1,0,6,0.1111,0.0667,0.0,0.4,1,-5,1,-6,7,6,6,0,0,1,1,0,0,0,0,3,36,2,2,6,2,0.5,10,0.9,1.0,1.1,0.4,0.7,2.5,0.5,1.0559,0.1264,0.0274,0.1264,0.0195,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
SWE,2025-04-05,16:30:00,Oster,Hacken,2.0,0.0,H,,,,3.59,3.67,1.98,3.8,3.8,2.04,1462.2,1691.7,-229.5,3153.9,0.0728,1,0,0,6,6,0.0,0.0,0.6667,0.4,-6,-6,0,6,-6,6,7,-1,0,1,1,0,0,0,0,3,36,0,0,0,0,0.5,0,0.0,1.0,2.0,1.5,1.8,1.8,-1.5,1.0561,0.0585,0.0585,0.0303,0.0215,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
SWE,2025-04-05,14:00:00,Sirius,Djurgarden,0.0,1.0,A,,,,3.3,3.45,2.17,3.6,3.55,2.26,1664.9,1656.7,8.2,3321.5,0.0025,0,6,10,6,9,0.6667,0.6667,0.6667,0.6,0,1,2,3,-1,5,7,-2,-1,1,1,0,0,0,0,3,36,3,5,2,-4,0.16666666666666666,10,1.6,2.0,1.6,1.3,1.0,1.6,0.3,1.0537,0.0909,0.0909,0.0415,0.3231,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1
SWE,2025-04-06,13:00:00,AIK,Norrkoping,4.0,3.0,H,,,,1.77,3.52,4.82,1.84,3.75,5.0,1654.8,1515.2,139.6,3170.0,0.044,0,9,9,3,9,1.0,0.6,0.3333,0.6,6,0,9,-3,12,6,7,-1,0,1,1,0,0,0,0,3,36,5,5,0,-2,0.6666666666666666,10,1.9,1.3,0.9,0.9,1.0,1.9,1.0,1.0565,0.0653,0.0395,0.0373,0.235,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
