Division,MatchDate,MatchTime,HomeTeam,AwayTeam,FTHome,FTAway,FTResult,HTHome,HTAway,HTResult,OddHome,OddDraw,OddAway,MaxHome,MaxDraw,MaxAway,OddUnder25,OddOver25,MaxUnder25,MaxOver25,HomeElo,AwayElo,elo_diff,elo_sum,elo_mismatch,elo_mismatch_flag,Form3Home,Form5Home,Form3Away,Form5Away,Form3Home_ratio,Form5Home_ratio,Form3Away_ratio,Form5Away_ratio,form_diff_3,form_diff_5,form_momentum_home,form_momentum_away,form_momentum,home_rest_days,away_rest_days,rest_diff,rest_diff_nonlinear,home_congestion_14d,away_congestion_14d,is_midweek,is_early_kickoff,is_evening_match,winter_period,season_phase,match_week,h2h_home_wins,h2h_away_wins,h2h_draws,h2h_home_goals_diff,h2h_home_venue_record,h2h_matches_count,home_team_home_ppg,home_team_goals_scored_avg,home_team_goals_conceded_avg,away_team_away_ppg,away_team_goals_scored_avg,away_team_goals_conceded_avg,venue_ppg_diff,overround,odds_disagreement,sharp_money_home,sharp_money_away,elo_vs_odds_home,home_shots_avg,home_shots_against_avg,away_shots_avg,away_shots_against_avg,shots_dominance_home,shots_dominance_away,corners_diff,discipline_diff,target_home,target_draw,target_away,target_UNDER25
T1,2025-08-08,19:30:00,Gaziantep,Galatasaray,0.0,3.0,A,0.0,3.0,A,7.45,5.12,1.33,8.0,5.5,1.37,2.53,1.47,2.63,1.5,1543.1,1977.6,-434.5,3520.7,0.1234,1,3,3,9,15,0.3333,0.2,1.0,1.0,-6,-12,3,3,0,30,30,0,0,0,0,0,0,0,0,1,2,1,9,0,-14,0.2,10,1.7,1.2,1.0,2.3,2.1,0.9,-0.6,1.0814,0.0742,0.0738,0.0301,-0.0149,12.8,14.2,19.9,9.0,-1.4,10.9,-3.5,0.8,0,0,1,0
T1,2025-08-09,19:30:00,Antalyaspor,Kasimpasa,2.0,1.0,H,2.0,1.0,H,2.68,3.45,2.38,2.75,3.65,2.45,2.11,1.67,2.18,1.73,1523.4,1612.2,-88.8,3135.5,0.0283,0,1,4,1,5,0.1111,0.2667,0.1111,0.3333,0,-1,-2,-3,1,30,30,0,0,0,0,0,0,0,0,1,2,2,3,5,-3,0.2,10,1.8,1.1,1.1,1.1,1.7,2.0,0.7,1.0832,0.058,0.0261,0.0294,0.1284,8.7,11.1,14.4,9.9,-2.4,4.5,-2.6,-0.9,1,0,0,0
T1,2025-08-09,17:00:00,Samsunspor,Genclerbirligi,2.0,1.0,H,1.0,0.0,H,1.69,3.7,4.53,1.75,3.8,4.9,1.9,1.82,1.94,1.88,1618.6,1463.7,154.8,3082.3,0.0502,0,7,13,3,3,0.7778,0.8667,0.3333,0.2,4,10,1,3,-2,30,30,0,0,0,0,0,0,0,0,1,2,5,2,3,4,0.8,10,2.1,1.7,1.2,0.8,1.1,1.9,1.3,1.0827,0.0817,0.0355,0.0817,0.2384,12.2,13.3,10.1,15.5,-1.1,-5.4,0.1,1.0,1,0,0,0
T1,2025-08-10,19:30:00,Eyupspor,Konyaspor,1.0,4.0,A,0.0,3.0,A,2.28,3.33,2.87,2.36,3.5,3.0,1.8,1.93,1.85,1.98,1540.8,1576.0,-35.3,3116.8,0.0113,0,3,3,3,6,0.3333,0.2,0.3333,0.4,0,-3,3,0,3,30,30,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1.0,2,1.6,1.8,1.7,0.5,1.0,1.6,1.1,1.0873,0.0511,0.0351,0.0453,0.1464,10.7,13.2,13.4,12.7,-2.5,0.7,-1.2,-0.5,0,0,1,0
T1,2025-08-10,17:00:00,Rizespor,Goztep,0.0,3.0,A,0.0,0.0,D,2.11,3.55,3.05,2.17,3.8,3.3,2.0,1.74,2.04,1.8,1568.6,1532.3,36.2,3100.9,0.0117,0,9,12,3,7,1.0,0.8,0.3333,0.4667,6,5,6,-1,7,30,30,0,0,0,0,0,0,0,0,1,2,5,4,1,4,0.8,10,2.0,2.3,1.4,0.8,1.2,1.9,1.2,1.0835,0.082,0.0284,0.082,0.2109,12.0,15.4,18.1,11.6,-3.4,6.5,1.6,0.7,0,0,1,0
T1,2025-08-11,19:30:00,Trabzonspor,Kocaelispor,1.0,0.0,H,0.0,0.0,D,1.56,4.01,5.18,1.6,4.25,5.6,2.0,1.74,2.05,1.8,1686.7,1420.8,265.9,3107.5,0.0856,1,5,6,3,3,0.5556,0.4,0.3333,0.2,2,3,4,3,1,30,30,0,0,0,0,0,0,0,0,1,2,4,3,0,3,0.75,7,2.0,2.3,1.2,0.8,1.4,2.4,1.2,1.0835,0.0811,0.0256,0.0811,0.282,12.9,11.2,12.0,12.0,1.7,0.0,-1.1,0.4,1,0,0,1
T1,2025-08-15,19:30:00,Galatasaray,Karagumruk,3.0,0.0,H,1.0,0.0,H,1.16,7.17,13.81,1.18,7.5,15.0,2.92,1.36,3.05,1.4,1981.7,1573.9,407.8,3555.6,0.1147,1,9,15,3,7,1.0,1.0,0.3333,0.4667,6,8,3,-1,4,7,30,-23,-2,1,0,0,0,0,0,1,3,4,1,3,5,0.5,8,2.6,2.4,0.7,0.5,0.8,2.2,2.1,1.074,0.0862,0.0172,0.0862,0.1372,19.1,8.9,13.3,15.1,10.2,-1.8,1.0,-0.8,1,0,0,0
T1,2025-08-16,19:30:00,Alanyaspor,Rizespor,0.0,0.0,D,0.0,0.0,D,2.15,3.53,3.02,2.2,3.8,3.2,1.98,1.75,2.02,1.8,1596.1,1545.5,50.6,3141.6,0.0161,0,7,11,6,9,0.7778,0.7333,0.6667,0.6,1,2,3,3,0,30,6,24,2,0,1,0,0,0,0,1,3,5,2,3,3,1.0,10,1.7,1.6,1.4,0.9,1.3,1.9,0.8,1.0795,0.0765,0.0233,0.0596,0.2361,10.3,10.3,12.7,15.7,0.0,-3.0,-3.0,-0.4,0,1,0,1
T1,2025-08-16,19:30:00,Goztep,Fenerbahce,0.0,0.0,D,0.0,0.0,D,4.06,3.79,1.75,4.3,4.0,1.8,2.15,1.64,2.25,1.71,1555.4,1892.1,-336.7,3447.5,0.0977,1,6,7,6,9,0.6667,0.4667,0.6667,0.6,0,-2,5,3,2,6,30,-24,-2,1,0,0,0,0,0,1,3,2,5,3,-5,0.2,10,1.4,1.6,1.0,2.3,2.6,1.2,-0.9,1.0816,0.0591,0.0591,0.0286,-0.0505,19.2,11.7,19.0,10.2,7.5,8.8,-0.7,-0.6,0,1,0,1
T1,2025-08-16,17:00:00,Kocaelispor,Samsunspor,0.0,1.0,A,0.0,0.0,D,2.8,3.26,2.4,2.9,3.5,2.46,1.72,2.02,1.77,2.08,1418.4,1622.6,-204.2,3041.0,0.0672,1,3,3,7,13,0.3333,0.2,0.7778,0.8667,-4,-10,3,1,2,5,7,-2,-1,1,1,0,0,0,0,1,3,2,2,1,0,0.5,5,1.2,1.6,1.9,1.3,0.9,1.2,-0.1,1.0806,0.0736,0.0357,0.025,-0.0146,12.0,11.9,12.9,11.3,0.1,1.6,1.4,-0.86,0,0,1,1
