league,recommendation,market,strategy,is_best,ml_model,feature_tier,n_features,ml_model_comparison,strat_pct,strat_edge,strat_min_odds,n_bets,n_wins,win_rate,profit,roi,roi_mean,roi_median,roi_std,avg_odds,p_value,fdr_pass,profitable_seasons,total_seasons,profitable_pct,max_drawdown,sharpe_ratio,train_auc,test_auc,auc_gap,two_layer_bets,two_layer_profit,two_layer_roi,sel_simple,sel_strict,sel_fdr,sel_ensemble,sel_hybrid
ARG,MONITOR,HOME,ULTRA_CONS,True,LogisticRegression,BASIC+,21,"{""RandomForest"": {""train_auc_mean"": 0.7035, ""test_auc_mean"": 0.5814, ""auc_gap"": 0.1221, ""n_seasons"": 7}, ""LogisticRegression"": {""train_auc_mean"": 0.6126, ""test_auc_mean"": 0.5865, ""auc_gap"": 0.026, ""n_seasons"": 7}, ""Ensemble"": {""train_auc_mean"": 0.6569, ""test_auc_mean"": 0.5855, ""auc_gap"": 0.0714, ""n_seasons"": 7}}",90,0.02,2.5,8,5,62.5,5.74,71.75,71.47,85.33,97.16,2.812,0.088,False,4,5,80.0,1.0,0.5375,0.6126,0.5865,0.026,76,-14.95,-19.7,STANDARD,FAVORITE,,STANDARD,ULTRA_CONS
ARG,MONITOR,HOME,CONSERVATIVE,False,LogisticRegression,BASIC+,21,"{""RandomForest"": {""train_auc_mean"": 0.7035, ""test_auc_mean"": 0.5814, ""auc_gap"": 0.1221, ""n_seasons"": 7}, ""LogisticRegression"": {""train_auc_mean"": 0.6126, ""test_auc_mean"": 0.5865, ""auc_gap"": 0.026, ""n_seasons"": 7}, ""Ensemble"": {""train_auc_mean"": 0.6569, ""test_auc_mean"": 0.5855, ""auc_gap"": 0.0714, ""n_seasons"": 7}}",88,0.0,2.3,22,10,45.45,3.56,16.18,28.31,45.33,86.21,2.567,0.265,False,4,6,66.7,5.0,0.1263,0.6126,0.5865,0.026,76,-14.95,-19.7,,,,,
ARG,MONITOR,HOME,UPSET_HIGH,False,LogisticRegression,BASIC+,21,"{""RandomForest"": {""train_auc_mean"": 0.7035, ""test_auc_mean"": 0.5814, ""auc_gap"": 0.1221, ""n_seasons"": 7}, ""LogisticRegression"": {""train_auc_mean"": 0.6126, ""test_auc_mean"": 0.5865, ""auc_gap"": 0.026, ""n_seasons"": 7}, ""Ensemble"": {""train_auc_mean"": 0.6569, ""test_auc_mean"": 0.5855, ""auc_gap"": 0.0714, ""n_seasons"": 7}}",85,0.0,2.2,64,22,34.38,-11.15,-17.42,0.83,-14.94,69.65,2.426,0.8803,False,3,7,42.9,13.86,-0.1519,0.6126,0.5865,0.026,76,-14.95,-19.7,,,,,
ARG,MONITOR,HOME,UPSET,False,LogisticRegression,BASIC+,21,"{""RandomForest"": {""train_auc_mean"": 0.7035, ""test_auc_mean"": 0.5814, ""auc_gap"": 0.1221, ""n_seasons"": 7}, ""LogisticRegression"": {""train_auc_mean"": 0.6126, ""test_auc_mean"": 0.5865, ""auc_gap"": 0.026, ""n_seasons"": 7}, ""Ensemble"": {""train_auc_mean"": 0.6569, ""test_auc_mean"": 0.5855, ""auc_gap"": 0.0714, ""n_seasons"": 7}}",85,-0.01,2.0,128,48,37.5,-21.05,-16.45,-14.4,-3.17,37.69,2.261,0.9527,False,3,7,42.9,23.94,-0.1513,0.6126,0.5865,0.026,76,-14.95,-19.7,,,,,
ARG,MONITOR,HOME,SELECTIVE,False,LogisticRegression,BASIC+,21,"{""RandomForest"": {""train_auc_mean"": 0.7035, ""test_auc_mean"": 0.5814, ""auc_gap"": 0.1221, ""n_seasons"": 7}, ""LogisticRegression"": {""train_auc_mean"": 0.6126, ""test_auc_mean"": 0.5865, ""auc_gap"": 0.026, ""n_seasons"": 7}, ""Ensemble"": {""train_auc_mean"": 0.6569, ""test_auc_mean"": 0.5855, ""auc_gap"": 0.0714, ""n_seasons"": 7}}",82,-0.01,2.0,182,75,41.21,-14.83,-8.15,-11.73,-7.24,29.92,2.274,0.8382,False,3,7,42.9,19.78,-0.0736,0.6126,0.5865,0.026,76,-14.95,-19.7,,,,,
ARG,MONITOR,HOME,STANDARD,False,LogisticRegression,BASIC+,21,"{""RandomForest"": {""train_auc_mean"": 0.7035, ""test_auc_mean"": 0.5814, ""auc_gap"": 0.1221, ""n_seasons"": 7}, ""LogisticRegression"": {""train_auc_mean"": 0.6126, ""test_auc_mean"": 0.5865, ""auc_gap"": 0.026, ""n_seasons"": 7}, ""Ensemble"": {""train_auc_mean"": 0.6569, ""test_auc_mean"": 0.5855, ""auc_gap"": 0.0714, ""n_seasons"": 7}}",80,-0.02,1.9,275,127,46.18,-0.84,-0.31,1.16,-3.95,25.86,2.2,0.5172,False,3,7,42.9,19.76,-0.0028,0.6126,0.5865,0.026,76,-14.95,-19.7,,,,,
ARG,MONITOR,HOME,VALUE,False,LogisticRegression,BASIC+,21,"{""RandomForest"": {""train_auc_mean"": 0.7035, ""test_auc_mean"": 0.5814, ""auc_gap"": 0.1221, ""n_seasons"": 7}, ""LogisticRegression"": {""train_auc_mean"": 0.6126, ""test_auc_mean"": 0.5865, ""auc_gap"": 0.026, ""n_seasons"": 7}, ""Ensemble"": {""train_auc_mean"": 0.6569, ""test_auc_mean"": 0.5855, ""auc_gap"": 0.0714, ""n_seasons"": 7}}",80,-0.02,2.0,211,91,43.13,-6.52,-3.09,-4.44,-6.17,24.33,2.279,0.6538,False,3,7,42.9,14.66,-0.0275,0.6126,0.5865,0.026,76,-14.95,-19.7,,,,,
ARG,MONITOR,HOME,FAVORITE,False,LogisticRegression,BASIC+,21,"{""RandomForest"": {""train_auc_mean"": 0.7035, ""test_auc_mean"": 0.5814, ""auc_gap"": 0.1221, ""n_seasons"": 7}, ""LogisticRegression"": {""train_auc_mean"": 0.6126, ""test_auc_mean"": 0.5865, ""auc_gap"": 0.026, ""n_seasons"": 7}, ""Ensemble"": {""train_auc_mean"": 0.6569, ""test_auc_mean"": 0.5855, ""auc_gap"": 0.0714, ""n_seasons"": 7}}",75,0.0,1.8,389,182,46.79,0.47,0.12,2.68,2.44,23.48,2.195,0.4943,False,4,7,57.1,20.99,0.0011,0.6126,0.5865,0.026,76,-14.95,-19.7,,,,,
ARG,SKIP,DRAW,LONGSHOT_STRICT,False,LogisticRegression,BASIC+,21,"{""RandomForest"": {""train_auc_mean"": 0.7657, ""test_auc_mean"": 0.5184, ""auc_gap"": 0.2473, ""n_seasons"": 7}, ""LogisticRegression"": {""train_auc_mean"": 0.5533, ""test_auc_mean"": 0.5248, ""auc_gap"": 0.0284, ""n_seasons"": 7}, ""Ensemble"": {""train_auc_mean"": 0.6654, ""test_auc_mean"": 0.5228, ""auc_gap"": 0.1426, ""n_seasons"": 7}}",92,0.0,3.2,55,17,30.91,4.64,8.44,-2.42,4.37,56.66,3.494,0.3311,False,3,6,50.0,7.2,0.0517,0.5533,0.5248,0.0284,22,9.01,41.0,,,,,
ARG,SKIP,DRAW,LONGSHOT,False,LogisticRegression,BASIC+,21,"{""RandomForest"": {""train_auc_mean"": 0.7657, ""test_auc_mean"": 0.5184, ""auc_gap"": 0.2473, ""n_seasons"": 7}, ""LogisticRegression"": {""train_auc_mean"": 0.5533, ""test_auc_mean"": 0.5248, ""auc_gap"": 0.0284, ""n_seasons"": 7}, ""Ensemble"": {""train_auc_mean"": 0.6654, ""test_auc_mean"": 0.5228, ""auc_gap"": 0.1426, ""n_seasons"": 7}}",90,-0.02,2.8,218,73,33.49,11.52,5.28,3.35,2.58,9.03,3.14,0.295,False,4,7,57.1,13.81,0.0353,0.5533,0.5248,0.0284,22,9.01,41.0,,,,,
