league,recommendation,market,strategy,is_best,ml_model,feature_tier,n_features,ml_model_comparison,strat_pct,strat_edge,strat_min_odds,n_bets,n_wins,win_rate,profit,roi,roi_mean,roi_median,roi_std,avg_odds,p_value,fdr_pass,profitable_seasons,total_seasons,profitable_pct,max_drawdown,sharpe_ratio,train_auc,test_auc,auc_gap,two_layer_bets,two_layer_profit,two_layer_roi,sel_simple,sel_strict,sel_fdr,sel_ensemble,sel_hybrid
ARG,SKIP,HOME,STRICT,True,LogisticRegression,BASIC+,21,"{""RandomForest"": {""train_auc_mean"": 0.7035, ""test_auc_mean"": 0.5814, ""auc_gap"": 0.1221, ""n_seasons"": 7}, ""LogisticRegression"": {""train_auc_mean"": 0.6126, ""test_auc_mean"": 0.5865, ""auc_gap"": 0.026, ""n_seasons"": 7}, ""Ensemble"": {""train_auc_mean"": 0.6569, ""test_auc_mean"": 0.5855, ""auc_gap"": 0.0714, ""n_seasons"": 7}}",95,0.0,2.5,1,1,100.0,1.87,187.0,187.0,187.0,0.0,2.87,0.3473,False,1,1,100.0,0.0,0.0,0.6126,0.5865,0.026,31,-5.78,-18.6,STANDARD,,,STANDARD,__SKIP__
ARG,SKIP,DRAW,SELECTIVE,True,LogisticRegression,BASIC+,21,"{""RandomForest"": {""train_auc_mean"": 0.7657, ""test_auc_mean"": 0.5184, ""auc_gap"": 0.2473, ""n_seasons"": 7}, ""LogisticRegression"": {""train_auc_mean"": 0.5533, ""test_auc_mean"": 0.5248, ""auc_gap"": 0.0284, ""n_seasons"": 7}, ""Ensemble"": {""train_auc_mean"": 0.6654, ""test_auc_mean"": 0.5228, ""auc_gap"": 0.1426, ""n_seasons"": 7}}",90,0.0,2.5,209,71,33.97,14.46,6.92,10.15,2.21,15.06,3.148,0.2472,False,4,7,57.1,13.81,0.046,0.5533,0.5248,0.0284,26,3.44,13.2,STRICT,SELECTIVE,,STRICT,__SKIP__
ARG,SKIP,AWAY,STRICT,True,Ensemble,BASIC+,21,"{""RandomForest"": {""train_auc_mean"": 0.7263, ""test_auc_mean"": 0.5972, ""auc_gap"": 0.1291, ""n_seasons"": 7}, ""LogisticRegression"": {""train_auc_mean"": 0.6207, ""test_auc_mean"": 0.5967, ""auc_gap"": 0.024, ""n_seasons"": 7}, ""Ensemble"": {""train_auc_mean"": 0.6794, ""test_auc_mean"": 0.6009, ""auc_gap"": 0.0785, ""n_seasons"": 7}}",95,0.0,2.8,17,7,41.18,4.58,26.94,5.38,19.0,86.44,3.242,0.215,False,3,6,50.0,5.0,0.1764,0.6794,0.6009,0.0785,38,-10.51,-27.7,STRICT,,,STRICT,__SKIP__
AUT,SKIP,HOME,SELECTIVE,True,Ensemble,BASIC+,21,"{""RandomForest"": {""train_auc_mean"": 0.7739, ""test_auc_mean"": 0.7036, ""auc_gap"": 0.0703, ""n_seasons"": 7}, ""LogisticRegression"": {""train_auc_mean"": 0.6894, ""test_auc_mean"": 0.7037, ""auc_gap"": -0.0143, ""n_seasons"": 7}, ""Ensemble"": {""train_auc_mean"": 0.7337, ""test_auc_mean"": 0.7055, ""auc_gap"": 0.0282, ""n_seasons"": 7}}",90,0.0,2.0,2,2,100.0,2.52,126.0,126.0,126.0,22.0,2.26,0.1961,False,2,2,100.0,0.0,5.7273,0.7337,0.7055,0.0282,1,1.48,148.0,STANDARD,,,STANDARD,__SKIP__
AUT,SKIP,DRAW,STRICT,True,Ensemble,BASIC+,21,"{""RandomForest"": {""train_auc_mean"": 0.8177, ""test_auc_mean"": 0.5618, ""auc_gap"": 0.2559, ""n_seasons"": 7}, ""LogisticRegression"": {""train_auc_mean"": 0.5834, ""test_auc_mean"": 0.5588, ""auc_gap"": 0.0246, ""n_seasons"": 7}, ""Ensemble"": {""train_auc_mean"": 0.7216, ""test_auc_mean"": 0.5625, ""auc_gap"": 0.1591, ""n_seasons"": 7}}",95,0.0,3.0,45,15,33.33,7.85,17.44,13.17,2.71,62.09,3.599,0.2299,False,4,7,57.1,6.0,0.1049,0.7216,0.5625,0.1591,25,6.0,24.0,STRICT,,,STRICT,__SKIP__
AUT,SKIP,AWAY,SELECTIVE,True,Ensemble,BASIC+,21,"{""RandomForest"": {""train_auc_mean"": 0.7751, ""test_auc_mean"": 0.6774, ""auc_gap"": 0.0977, ""n_seasons"": 7}, ""LogisticRegression"": {""train_auc_mean"": 0.6801, ""test_auc_mean"": 0.6798, ""auc_gap"": 0.0003, ""n_seasons"": 7}, ""Ensemble"": {""train_auc_mean"": 0.7291, ""test_auc_mean"": 0.6818, ""auc_gap"": 0.0473, ""n_seasons"": 7}}",90,0.0,2.3,9,4,44.44,0.71,7.89,4.23,28.5,91.46,2.542,0.4384,False,3,5,60.0,2.0,0.0653,0.7291,0.6818,0.0473,2,-2.0,-100.0,STANDARD,,,STANDARD,__SKIP__
B1,SKIP,HOME,STANDARD,True,Ensemble,BASIC+,21,"{""RandomForest"": {""train_auc_mean"": 0.7432, ""test_auc_mean"": 0.6862, ""auc_gap"": 0.057, ""n_seasons"": 7}, ""LogisticRegression"": {""train_auc_mean"": 0.6941, ""test_auc_mean"": 0.6856, ""auc_gap"": 0.0086, ""n_seasons"": 7}, ""Ensemble"": {""train_auc_mean"": 0.7195, ""test_auc_mean"": 0.687, ""auc_gap"": 0.0325, ""n_seasons"": 7}}",85,0.0,1.9,6,3,50.0,0.26,4.33,3.8,7.0,92.63,2.042,0.391,False,3,5,60.0,1.0,0.0414,0.7195,0.687,0.0325,0,0.0,0.0,,,,,__SKIP__
B1,MONITOR,DRAW,STRICT,True,LogisticRegression,BASIC+,21,"{""RandomForest"": {""train_auc_mean"": 0.7285, ""test_auc_mean"": 0.5451, ""auc_gap"": 0.1834, ""n_seasons"": 7}, ""LogisticRegression"": {""train_auc_mean"": 0.5716, ""test_auc_mean"": 0.5478, ""auc_gap"": 0.0238, ""n_seasons"": 7}, ""Ensemble"": {""train_auc_mean"": 0.6535, ""test_auc_mean"": 0.5477, ""auc_gap"": 0.1058, ""n_seasons"": 7}}",95,0.0,3.0,104,36,34.62,23.42,22.52,27.75,20.39,43.16,3.587,0.0791,False,5,7,71.4,13.69,0.1333,0.5716,0.5478,0.0238,85,21.94,25.8,SELECTIVE,STRICT,,SELECTIVE,__SKIP__
B1,SKIP,AWAY,SELECTIVE,True,Ensemble,BASIC+,21,"{""RandomForest"": {""train_auc_mean"": 0.7498, ""test_auc_mean"": 0.6885, ""auc_gap"": 0.0613, ""n_seasons"": 7}, ""LogisticRegression"": {""train_auc_mean"": 0.6894, ""test_auc_mean"": 0.69, ""auc_gap"": -0.0006, ""n_seasons"": 7}, ""Ensemble"": {""train_auc_mean"": 0.7209, ""test_auc_mean"": 0.6908, ""auc_gap"": 0.0301, ""n_seasons"": 7}}",90,0.0,2.3,8,4,50.0,1.82,22.75,24.1,16.5,112.85,2.474,0.3348,False,3,5,60.0,1.0,0.1849,0.7209,0.6908,0.0301,3,-0.41,-13.7,STANDARD,,,STANDARD,__SKIP__
BRA,SKIP,HOME,STANDARD,True,RandomForest,BASIC+,21,"{""RandomForest"": {""train_auc_mean"": 0.7107, ""test_auc_mean"": 0.6541, ""auc_gap"": 0.0566, ""n_seasons"": 7}, ""LogisticRegression"": {""train_auc_mean"": 0.6191, ""test_auc_mean"": 0.649, ""auc_gap"": -0.0299, ""n_seasons"": 7}, ""Ensemble"": {""train_auc_mean"": 0.6627, ""test_auc_mean"": 0.6532, ""auc_gap"": 0.0095, ""n_seasons"": 7}}",85,0.0,1.9,50,25,50.0,1.14,2.28,4.39,3.67,58.63,2.082,0.4472,False,4,7,57.1,5.04,0.0222,0.7107,0.6541,0.0566,6,4.71,78.5,STANDARD,,,STANDARD,__SKIP__
