league,recommendation,market,strategy,is_best,ml_model,feature_tier,n_features,ml_model_comparison,strat_pct,strat_edge,strat_min_odds,n_bets,n_wins,win_rate,profit,roi,roi_mean,roi_median,roi_std,avg_odds,p_value,fdr_pass,profitable_seasons,total_seasons,profitable_pct,max_drawdown,sharpe_ratio,train_auc,test_auc,auc_gap,two_layer_bets,two_layer_profit,two_layer_roi,sel_simple,sel_strict,sel_fdr,sel_ensemble,sel_hybrid
D1,SKIP,HOME,UPSET_HIGH,False,RandomForest,BASIC+,21,"{""RandomForest"": {""train_auc_mean"": 0.7148, ""test_auc_mean"": 0.696, ""auc_gap"": 0.0188, ""n_seasons"": 7}, ""LogisticRegression"": {""train_auc_mean"": 0.6662, ""test_auc_mean"": 0.6928, ""auc_gap"": -0.0266, ""n_seasons"": 7}, ""Ensemble"": {""train_auc_mean"": 0.6897, ""test_auc_mean"": 0.6948, ""auc_gap"": -0.0051, ""n_seasons"": 7}}",85,0.0,2.2,1,0,0.0,-1.0,-100.0,-100.0,-100.0,0.0,2.27,1.0,False,0,1,0.0,0.0,0.0,0.7148,0.696,0.0188,1,0.91,91.0,,,,,
D1,SKIP,HOME,UPSET,False,RandomForest,BASIC+,21,"{""RandomForest"": {""train_auc_mean"": 0.7148, ""test_auc_mean"": 0.696, ""auc_gap"": 0.0188, ""n_seasons"": 7}, ""LogisticRegression"": {""train_auc_mean"": 0.6662, ""test_auc_mean"": 0.6928, ""auc_gap"": -0.0266, ""n_seasons"": 7}, ""Ensemble"": {""train_auc_mean"": 0.6897, ""test_auc_mean"": 0.6948, ""auc_gap"": -0.0051, ""n_seasons"": 7}}",85,-0.01,2.0,3,2,66.67,1.21,40.33,57.0,57.0,50.0,2.16,0.4452,False,2,2,100.0,1.0,0.4063,0.7148,0.696,0.0188,1,0.91,91.0,,,,,
D1,SKIP,HOME,SELECTIVE,True,RandomForest,BASIC+,21,"{""RandomForest"": {""train_auc_mean"": 0.7148, ""test_auc_mean"": 0.696, ""auc_gap"": 0.0188, ""n_seasons"": 7}, ""LogisticRegression"": {""train_auc_mean"": 0.6662, ""test_auc_mean"": 0.6928, ""auc_gap"": -0.0266, ""n_seasons"": 7}, ""Ensemble"": {""train_auc_mean"": 0.6897, ""test_auc_mean"": 0.6948, ""auc_gap"": -0.0051, ""n_seasons"": 7}}",82,-0.01,2.0,4,3,75.0,2.23,55.75,55.75,55.75,48.75,2.125,0.2717,False,2,2,100.0,1.0,0.6193,0.7148,0.696,0.0188,1,0.91,91.0,FAVORITE,,,FAVORITE,__SKIP__
D1,SKIP,HOME,STANDARD,False,RandomForest,BASIC+,21,"{""RandomForest"": {""train_auc_mean"": 0.7148, ""test_auc_mean"": 0.696, ""auc_gap"": 0.0188, ""n_seasons"": 7}, ""LogisticRegression"": {""train_auc_mean"": 0.6662, ""test_auc_mean"": 0.6928, ""auc_gap"": -0.0266, ""n_seasons"": 7}, ""Ensemble"": {""train_auc_mean"": 0.6897, ""test_auc_mean"": 0.6948, ""auc_gap"": -0.0051, ""n_seasons"": 7}}",80,-0.02,1.9,16,9,56.25,1.88,11.75,-1.11,-13.33,64.69,1.988,0.3177,False,3,6,50.0,2.11,0.119,0.7148,0.696,0.0188,1,0.91,91.0,,,,,
D1,SKIP,HOME,VALUE,False,RandomForest,BASIC+,21,"{""RandomForest"": {""train_auc_mean"": 0.7148, ""test_auc_mean"": 0.696, ""auc_gap"": 0.0188, ""n_seasons"": 7}, ""LogisticRegression"": {""train_auc_mean"": 0.6662, ""test_auc_mean"": 0.6928, ""auc_gap"": -0.0266, ""n_seasons"": 7}, ""Ensemble"": {""train_auc_mean"": 0.6897, ""test_auc_mean"": 0.6948, ""auc_gap"": -0.0051, ""n_seasons"": 7}}",80,-0.02,2.0,5,3,60.0,1.23,24.6,3.83,7.0,83.52,2.108,0.3834,False,2,3,66.7,1.0,0.2416,0.7148,0.696,0.0188,1,0.91,91.0,,,,,
D1,SKIP,HOME,FAVORITE,False,RandomForest,BASIC+,21,"{""RandomForest"": {""train_auc_mean"": 0.7148, ""test_auc_mean"": 0.696, ""auc_gap"": 0.0188, ""n_seasons"": 7}, ""LogisticRegression"": {""train_auc_mean"": 0.6662, ""test_auc_mean"": 0.6928, ""auc_gap"": -0.0266, ""n_seasons"": 7}, ""Ensemble"": {""train_auc_mean"": 0.6897, ""test_auc_mean"": 0.6948, ""auc_gap"": -0.0051, ""n_seasons"": 7}}",75,0.0,1.8,75,33,44.0,-10.51,-14.01,-18.03,-31.41,47.9,1.981,0.8937,False,2,7,28.6,19.29,-0.1438,0.7148,0.696,0.0188,1,0.91,91.0,,,,,
D1,SKIP,DRAW,LONGSHOT_STRICT,False,RandomForest,BASIC+,21,"{""RandomForest"": {""train_auc_mean"": 0.7187, ""test_auc_mean"": 0.5576, ""auc_gap"": 0.161, ""n_seasons"": 7}, ""LogisticRegression"": {""train_auc_mean"": 0.5523, ""test_auc_mean"": 0.5437, ""auc_gap"": 0.0085, ""n_seasons"": 7}, ""Ensemble"": {""train_auc_mean"": 0.6321, ""test_auc_mean"": 0.5541, ""auc_gap"": 0.078, ""n_seasons"": 7}}",92,0.0,3.2,108,21,19.44,-28.12,-26.04,-29.45,-40.11,27.82,3.836,0.9503,False,2,7,28.6,30.02,-0.1725,0.7187,0.5576,0.161,74,-22.29,-30.1,,,,,
D1,SKIP,DRAW,LONGSHOT,False,RandomForest,BASIC+,21,"{""RandomForest"": {""train_auc_mean"": 0.7187, ""test_auc_mean"": 0.5576, ""auc_gap"": 0.161, ""n_seasons"": 7}, ""LogisticRegression"": {""train_auc_mean"": 0.5523, ""test_auc_mean"": 0.5437, ""auc_gap"": 0.0085, ""n_seasons"": 7}, ""Ensemble"": {""train_auc_mean"": 0.6321, ""test_auc_mean"": 0.5541, ""auc_gap"": 0.078, ""n_seasons"": 7}}",90,-0.02,2.8,177,47,26.55,-6.05,-3.42,-1.17,-4.82,31.83,3.751,0.6028,False,3,7,42.9,19.97,-0.0212,0.7187,0.5576,0.161,74,-22.29,-30.1,,,,,
D1,SKIP,DRAW,CONSERVATIVE,False,RandomForest,BASIC+,21,"{""RandomForest"": {""train_auc_mean"": 0.7187, ""test_auc_mean"": 0.5576, ""auc_gap"": 0.161, ""n_seasons"": 7}, ""LogisticRegression"": {""train_auc_mean"": 0.5523, ""test_auc_mean"": 0.5437, ""auc_gap"": 0.0085, ""n_seasons"": 7}, ""Ensemble"": {""train_auc_mean"": 0.6321, ""test_auc_mean"": 0.5541, ""auc_gap"": 0.078, ""n_seasons"": 7}}",90,0.0,3.0,135,26,19.26,-35.62,-26.39,-25.87,-31.64,16.6,3.853,0.9683,False,0,7,0.0,38.19,-0.1746,0.7187,0.5576,0.161,74,-22.29,-30.1,,,,,
D1,SKIP,DRAW,SELECTIVE,False,RandomForest,BASIC+,21,"{""RandomForest"": {""train_auc_mean"": 0.7187, ""test_auc_mean"": 0.5576, ""auc_gap"": 0.161, ""n_seasons"": 7}, ""LogisticRegression"": {""train_auc_mean"": 0.5523, ""test_auc_mean"": 0.5437, ""auc_gap"": 0.0085, ""n_seasons"": 7}, ""Ensemble"": {""train_auc_mean"": 0.6321, ""test_auc_mean"": 0.5541, ""auc_gap"": 0.078, ""n_seasons"": 7}}",88,-0.01,3.0,188,43,22.87,-28.84,-15.34,-13.74,-14.03,23.26,3.783,0.899,False,3,7,42.9,32.24,-0.0984,0.7187,0.5576,0.161,74,-22.29,-30.1,,,,,
D1,SKIP,DRAW,MODERATE_HIGH,False,RandomForest,BASIC+,21,"{""RandomForest"": {""train_auc_mean"": 0.7187, ""test_auc_mean"": 0.5576, ""auc_gap"": 0.161, ""n_seasons"": 7}, ""LogisticRegression"": {""train_auc_mean"": 0.5523, ""test_auc_mean"": 0.5437, ""auc_gap"": 0.0085, ""n_seasons"": 7}, ""Ensemble"": {""train_auc_mean"": 0.6321, ""test_auc_mean"": 0.5541, ""auc_gap"": 0.078, ""n_seasons"": 7}}",85,0.0,2.8,181,39,21.55,-32.57,-17.99,-17.83,-16.67,12.0,3.86,0.9277,False,1,7,14.3,44.61,-0.1148,0.7187,0.5576,0.161,74,-22.29,-30.1,,,,,
D1,SKIP,DRAW,MODERATE,False,RandomForest,BASIC+,21,"{""RandomForest"": {""train_auc_mean"": 0.7187, ""test_auc_mean"": 0.5576, ""auc_gap"": 0.161, ""n_seasons"": 7}, ""LogisticRegression"": {""train_auc_mean"": 0.5523, ""test_auc_mean"": 0.5437, ""auc_gap"": 0.0085, ""n_seasons"": 7}, ""Ensemble"": {""train_auc_mean"": 0.6321, ""test_auc_mean"": 0.5541, ""auc_gap"": 0.078, ""n_seasons"": 7}}",85,-0.02,3.0,259,68,26.25,-10.79,-4.17,-3.26,-0.6,19.66,3.74,0.6557,False,3,7,42.9,28.27,-0.0259,0.7187,0.5576,0.161,74,-22.29,-30.1,,,,,
D1,SKIP,DRAW,BALANCED,True,RandomForest,BASIC+,21,"{""RandomForest"": {""train_auc_mean"": 0.7187, ""test_auc_mean"": 0.5576, ""auc_gap"": 0.161, ""n_seasons"": 7}, ""LogisticRegression"": {""train_auc_mean"": 0.5523, ""test_auc_mean"": 0.5437, ""auc_gap"": 0.0085, ""n_seasons"": 7}, ""Ensemble"": {""train_auc_mean"": 0.6321, ""test_auc_mean"": 0.5541, ""auc_gap"": 0.078, ""n_seasons"": 7}}",80,-0.02,2.8,365,98,26.85,-3.44,-0.94,-1.2,-1.67,15.08,3.756,0.5388,False,3,7,42.9,36.49,-0.0057,0.7187,0.5576,0.161,74,-22.29,-30.1,BALANCED,,,BALANCED,__SKIP__
D1,MONITOR,AWAY,ULTRA_CONS,False,LogisticRegression,BASIC+,21,"{""RandomForest"": {""train_auc_mean"": 0.7267, ""test_auc_mean"": 0.7133, ""auc_gap"": 0.0134, ""n_seasons"": 7}, ""LogisticRegression"": {""train_auc_mean"": 0.6758, ""test_auc_mean"": 0.7144, ""auc_gap"": -0.0385, ""n_seasons"": 7}, ""Ensemble"": {""train_auc_mean"": 0.7, ""test_auc_mean"": 0.7147, ""auc_gap"": -0.0147, ""n_seasons"": 7}}",90,0.02,2.8,2,0,0.0,-2.0,-100.0,-100.0,-100.0,0.0,2.96,1.0,False,0,2,0.0,1.0,0.0,0.6758,0.7144,-0.0385,41,0.28,0.7,,,,,
D1,MONITOR,AWAY,CONSERVATIVE,False,LogisticRegression,BASIC+,21,"{""RandomForest"": {""train_auc_mean"": 0.7267, ""test_auc_mean"": 0.7133, ""auc_gap"": 0.0134, ""n_seasons"": 7}, ""LogisticRegression"": {""train_auc_mean"": 0.6758, ""test_auc_mean"": 0.7144, ""auc_gap"": -0.0385, ""n_seasons"": 7}, ""Ensemble"": {""train_auc_mean"": 0.7, ""test_auc_mean"": 0.7147, ""auc_gap"": -0.0147, ""n_seasons"": 7}}",88,0.0,2.5,15,8,53.33,7.3,48.67,62.11,76.5,96.26,2.77,0.0787,False,4,6,66.7,5.0,0.3461,0.6758,0.7144,-0.0385,41,0.28,0.7,,,,,
