league,recommendation,market,strategy,is_best,ml_model,feature_tier,n_features,ml_model_comparison,strat_pct,strat_edge,strat_min_odds,n_bets,n_wins,win_rate,profit,roi,roi_mean,roi_median,roi_std,avg_odds,p_value,fdr_pass,profitable_seasons,total_seasons,profitable_pct,max_drawdown,sharpe_ratio,train_auc,test_auc,auc_gap,two_layer_bets,two_layer_profit,two_layer_roi,sel_simple,sel_strict,sel_fdr,sel_ensemble,sel_hybrid
NOR,MONITOR,HOME,ULTRA_CONS,False,LogisticRegression,BASIC+,21,"{""RandomForest"": {""train_auc_mean"": 0.7296, ""test_auc_mean"": 0.6538, ""auc_gap"": 0.0758, ""n_seasons"": 7}, ""LogisticRegression"": {""train_auc_mean"": 0.6452, ""test_auc_mean"": 0.6574, ""auc_gap"": -0.0123, ""n_seasons"": 7}, ""Ensemble"": {""train_auc_mean"": 0.6883, ""test_auc_mean"": 0.6577, ""auc_gap"": 0.0306, ""n_seasons"": 7}}",90,0.02,2.5,1,0,0.0,-1.0,-100.0,-100.0,-100.0,0.0,2.62,1.0,False,0,1,0.0,0.0,0.0,0.6452,0.6574,-0.0123,19,1.71,9.0,,,,,
NOR,MONITOR,HOME,CONSERVATIVE,False,LogisticRegression,BASIC+,21,"{""RandomForest"": {""train_auc_mean"": 0.7296, ""test_auc_mean"": 0.6538, ""auc_gap"": 0.0758, ""n_seasons"": 7}, ""LogisticRegression"": {""train_auc_mean"": 0.6452, ""test_auc_mean"": 0.6574, ""auc_gap"": -0.0123, ""n_seasons"": 7}, ""Ensemble"": {""train_auc_mean"": 0.6883, ""test_auc_mean"": 0.6577, ""auc_gap"": 0.0306, ""n_seasons"": 7}}",88,0.0,2.3,2,0,0.0,-2.0,-100.0,-100.0,-100.0,0.0,2.61,1.0,False,0,2,0.0,1.0,0.0,0.6452,0.6574,-0.0123,19,1.71,9.0,,,,,
NOR,MONITOR,HOME,UPSET_HIGH,False,LogisticRegression,BASIC+,21,"{""RandomForest"": {""train_auc_mean"": 0.7296, ""test_auc_mean"": 0.6538, ""auc_gap"": 0.0758, ""n_seasons"": 7}, ""LogisticRegression"": {""train_auc_mean"": 0.6452, ""test_auc_mean"": 0.6574, ""auc_gap"": -0.0123, ""n_seasons"": 7}, ""Ensemble"": {""train_auc_mean"": 0.6883, ""test_auc_mean"": 0.6577, ""auc_gap"": 0.0306, ""n_seasons"": 7}}",85,0.0,2.2,7,2,28.57,-2.4,-34.29,-31.3,-100.0,91.11,2.436,0.796,False,2,5,40.0,2.0,-0.3299,0.6452,0.6574,-0.0123,19,1.71,9.0,,,,,
NOR,MONITOR,HOME,UPSET,False,LogisticRegression,BASIC+,21,"{""RandomForest"": {""train_auc_mean"": 0.7296, ""test_auc_mean"": 0.6538, ""auc_gap"": 0.0758, ""n_seasons"": 7}, ""LogisticRegression"": {""train_auc_mean"": 0.6452, ""test_auc_mean"": 0.6574, ""auc_gap"": -0.0123, ""n_seasons"": 7}, ""Ensemble"": {""train_auc_mean"": 0.6883, ""test_auc_mean"": 0.6577, ""auc_gap"": 0.0306, ""n_seasons"": 7}}",85,-0.01,2.0,11,4,36.36,-2.35,-21.36,-10.92,7.0,71.36,2.286,0.7508,False,4,6,66.7,2.73,-0.2047,0.6452,0.6574,-0.0123,19,1.71,9.0,,,,,
NOR,MONITOR,HOME,SELECTIVE,False,LogisticRegression,BASIC+,21,"{""RandomForest"": {""train_auc_mean"": 0.7296, ""test_auc_mean"": 0.6538, ""auc_gap"": 0.0758, ""n_seasons"": 7}, ""LogisticRegression"": {""train_auc_mean"": 0.6452, ""test_auc_mean"": 0.6574, ""auc_gap"": -0.0123, ""n_seasons"": 7}, ""Ensemble"": {""train_auc_mean"": 0.6883, ""test_auc_mean"": 0.6577, ""auc_gap"": 0.0306, ""n_seasons"": 7}}",82,-0.01,2.0,23,12,52.17,3.38,14.7,11.47,13.29,70.45,2.27,0.2726,False,3,6,50.0,3.0,0.1328,0.6452,0.6574,-0.0123,19,1.71,9.0,,,,,
NOR,MONITOR,HOME,STANDARD,True,LogisticRegression,BASIC+,21,"{""RandomForest"": {""train_auc_mean"": 0.7296, ""test_auc_mean"": 0.6538, ""auc_gap"": 0.0758, ""n_seasons"": 7}, ""LogisticRegression"": {""train_auc_mean"": 0.6452, ""test_auc_mean"": 0.6574, ""auc_gap"": -0.0123, ""n_seasons"": 7}, ""Ensemble"": {""train_auc_mean"": 0.6883, ""test_auc_mean"": 0.6577, ""auc_gap"": 0.0306, ""n_seasons"": 7}}",80,-0.02,1.9,40,24,60.0,10.41,26.02,0.61,9.4,66.12,2.153,0.064,False,4,7,57.1,6.73,0.2506,0.6452,0.6574,-0.0123,19,1.71,9.0,STANDARD,,,STANDARD,STANDARD
NOR,MONITOR,HOME,VALUE,False,LogisticRegression,BASIC+,21,"{""RandomForest"": {""train_auc_mean"": 0.7296, ""test_auc_mean"": 0.6538, ""auc_gap"": 0.0758, ""n_seasons"": 7}, ""LogisticRegression"": {""train_auc_mean"": 0.6452, ""test_auc_mean"": 0.6574, ""auc_gap"": -0.0123, ""n_seasons"": 7}, ""Ensemble"": {""train_auc_mean"": 0.6883, ""test_auc_mean"": 0.6577, ""auc_gap"": 0.0306, ""n_seasons"": 7}}",80,-0.02,2.0,28,15,53.57,4.83,17.25,-1.65,-4.87,64.46,2.239,0.2094,False,3,6,50.0,5.0,0.1569,0.6452,0.6574,-0.0123,19,1.71,9.0,,,,,
NOR,MONITOR,HOME,FAVORITE,False,LogisticRegression,BASIC+,21,"{""RandomForest"": {""train_auc_mean"": 0.7296, ""test_auc_mean"": 0.6538, ""auc_gap"": 0.0758, ""n_seasons"": 7}, ""LogisticRegression"": {""train_auc_mean"": 0.6452, ""test_auc_mean"": 0.6574, ""auc_gap"": -0.0123, ""n_seasons"": 7}, ""Ensemble"": {""train_auc_mean"": 0.6883, ""test_auc_mean"": 0.6577, ""auc_gap"": 0.0306, ""n_seasons"": 7}}",75,0.0,1.8,84,42,50.0,0.77,0.92,-9.5,0.68,31.75,2.084,0.4676,False,4,7,57.1,9.95,0.009,0.6452,0.6574,-0.0123,19,1.71,9.0,,,,,
NOR,SKIP,DRAW,LONGSHOT_STRICT,False,LogisticRegression,BASIC+,21,"{""RandomForest"": {""train_auc_mean"": 0.81, ""test_auc_mean"": 0.5279, ""auc_gap"": 0.2821, ""n_seasons"": 7}, ""LogisticRegression"": {""train_auc_mean"": 0.5547, ""test_auc_mean"": 0.5373, ""auc_gap"": 0.0174, ""n_seasons"": 7}, ""Ensemble"": {""train_auc_mean"": 0.7066, ""test_auc_mean"": 0.5339, ""auc_gap"": 0.1726, ""n_seasons"": 7}}",92,0.0,3.2,202,48,23.76,-28.31,-14.01,-11.78,-11.46,17.33,3.71,0.89,False,1,7,14.3,29.05,-0.0906,0.5547,0.5373,0.0174,164,-16.53,-10.1,,,,,
NOR,SKIP,DRAW,LONGSHOT,False,LogisticRegression,BASIC+,21,"{""RandomForest"": {""train_auc_mean"": 0.81, ""test_auc_mean"": 0.5279, ""auc_gap"": 0.2821, ""n_seasons"": 7}, ""LogisticRegression"": {""train_auc_mean"": 0.5547, ""test_auc_mean"": 0.5373, ""auc_gap"": 0.0174, ""n_seasons"": 7}, ""Ensemble"": {""train_auc_mean"": 0.7066, ""test_auc_mean"": 0.5339, ""auc_gap"": 0.1726, ""n_seasons"": 7}}",90,-0.02,2.8,256,71,27.73,-0.3,-0.12,-0.35,4.07,19.12,3.701,0.5008,False,5,7,71.4,20.54,-0.0007,0.5547,0.5373,0.0174,164,-16.53,-10.1,,,,,
