Div,Date,Time,HomeTeam,AwayTeam,AvgH,AvgD,AvgA,MaxH,MaxD,MaxA,B365H,B365D,B365A
E1,24/02/2026,19:45:00,Blackburn,Bristol City,2.38,3.19,3.02,2.45,3.3,3.1,2.32,3.2,3.0
E1,24/02/2026,19:45:00,Hull,Derby,2.51,3.24,2.78,2.6,3.35,2.95,2.55,3.2,2.7
E1,24/02/2026,19:45:00,Middlesbrough,Leicester,1.5,4.3,5.87,1.56,4.5,6.0,1.46,4.33,6.0
E1,24/02/2026,19:45:00,Swansea,Preston,1.76,3.6,4.48,1.83,3.75,4.75,1.68,3.75,4.33
E1,24/02/2026,19:45:00,Watford,Ipswich,3.24,3.24,2.22,3.3,3.33,2.3,3.3,3.25,2.15
E1,24/02/2026,19:45:00,West Brom,Charlton,1.96,3.24,4.06,2.0,3.4,4.2,1.91,3.4,4.0
E1,24/02/2026,19:45:00,Wrexham,Portsmouth,2.04,3.37,3.58,2.08,3.5,3.8,2.01,3.4,3.5
E1,24/02/2026,20:00:00,Southampton,QPR,1.68,3.87,4.58,1.72,4.0,4.75,1.61,3.7,4.33
E1,25/02/2026,19:45:00,Millwall,Birmingham,2.45,3.25,2.85,2.52,3.4,2.95,2.4,3.3,2.82
E1,25/02/2026,19:45:00,Norwich,Sheffield Weds,1.18,6.78,14.17,1.21,7.5,16.5,1.15,6.5,15.0
E1,25/02/2026,19:45:00,Sheffield United,Coventry,2.41,3.49,2.73,2.46,3.65,2.8,2.4,3.4,2.7
E1,25/02/2026,20:00:00,Stoke,Oxford,1.81,3.41,4.56,1.84,3.6,4.75,1.79,3.5,4.5
E2,24/02/2026,19:45:00,Bradford,Rotherham,1.7,3.48,5.05,1.73,3.75,5.33,1.68,3.4,5.25
E2,24/02/2026,19:45:00,Burton,Stockport,3.26,3.34,2.14,3.4,3.5,2.2,3.25,3.4,2.1
E2,24/02/2026,19:45:00,Northampton,Port Vale,2.32,3.2,3.04,2.48,3.25,3.1,2.25,3.2,3.1
E3,24/02/2026,19:45:00,Accrington,Barnet,3.68,3.4,1.96,3.95,3.6,2.15,3.9,3.4,1.91
E3,24/02/2026,19:45:00,Salford,Shrewsbury,1.68,3.72,4.77,1.73,3.9,5.5,1.68,3.7,4.75
EC,24/02/2026,19:45:00,Halifax,Rochdale,4.44,3.58,1.68,4.75,3.8,1.73,4.75,3.4,1.7
EC,24/02/2026,19:45:00,Forest Green,Boston Utd,1.53,3.99,5.11,1.57,4.2,5.33,1.55,3.9,5.0
EC,24/02/2026,19:45:00,Scunthorpe,York,3.74,3.85,1.75,4.0,4.0,1.85,4.0,3.9,1.7
EC,24/02/2026,19:45:00,Southend,Boreham Wood,2.04,3.47,3.12,2.06,3.66,3.25,2.0,3.6,3.2
EC,24/02/2026,19:45:00,Tamworth,Altrincham,2.24,3.33,2.84,2.36,3.4,2.9,2.25,3.3,2.9
EC,24/02/2026,19:45:00,Wealdstone,Brackley Town,2.11,3.24,3.17,2.16,3.35,3.33,2.1,3.2,3.25
EC,25/02/2026,19:45:00,Braintree Town,Aldershot,3.65,3.7,1.8,3.8,4.0,1.84,3.8,3.75,1.8
EC,25/02/2026,19:45:00,Eastleigh,Truro,2.1,3.27,3.18,2.15,3.5,3.3,2.05,3.25,3.3
